target_id,bug,location_category
chart_1f_clipLine__line62_141,Chart_1,DIFF_FILE
chart_1f_readResolve__line213_291,Chart_1,DIFF_FILE
chart_20f_addSWTListener__line1460_1488,Chart_20,DIFF_FILE
chart_20f_widgetSelected__line1386_1433,Chart_20,DIFF_FILE
chart_26f_drawAxisLine__line517_606,Chart_26,DIFF_FILE
chart_4f_deriveRotationAnchorOffsets__line686_768,Chart_4,DIFF_FILE
chart_4f_deriveTextBoundsAnchorOffsets__line599_673,Chart_4,DIFF_FILE
chart_6f_equals__line1488_1582,Chart_6,DIFF_FILE
cli_14f_appendUsage__line298_390,Cli_14,SAME_FILE
cli_1f_findWrapPos__line789_833,Cli_1,DIFF_FILE
cli_1f_parse__line129_220,Cli_1,DIFF_FILE
cli_30f_createValue__line60_102,Cli_30,DIFF_FILE
cli_30f_processProperties__line252_305,Cli_30,SAME_FILE
cli_3f_createValue__line59_101,Cli_3,SAME_FILE
cli_40f_flatten__line94_174,Cli_40,DIFF_FILE
cli_40f_parse__line144_244,Cli_40,DIFF_FILE
cli_7f_appendUsage__line258_320,Cli_7,DIFF_FILE
cli_7f_process__line156_235,Cli_7,DIFF_FILE
cli_7f_wrap__line340_438,Cli_7,DIFF_FILE
closure_106f_precedence__line605_680,Closure_106,DIFF_FILE
closure_125f_precedenceWithDefault__line1179_1254,Closure_125,DIFF_FILE
closure_1f_biggestPowerTen__line180_277,Closure_1,DIFF_FILE
closure_44f_bytecodeName__line179_262,Closure_44,DIFF_FILE
closure_44f_findInstanceIdInfo__line139_191,Closure_44,DIFF_FILE
closure_44f_findPrototypeId__line459_537,Closure_44,DIFF_FILE
closure_44f_hasSideEffects__line950_1043,Closure_44,DIFF_FILE
closure_44f_visit__line381_459,Closure_44,DIFF_FILE
closure_46f_mayBeExpression__line487_559,Closure_46,DIFF_FILE
closure_47f_tokenToName__line1461_1548,Closure_47,DIFF_FILE
codec_11f_pattern__line405_496,Codec_11,DIFF_FILE
codec_13f_encode__line385_469,Codec_13,DIFF_FILE
codec_13f_handleG__line408_461,Codec_13,SAME_FILE
codec_13f_handleJ__line514_545,Codec_13,SAME_FILE
codec_13f_handleS__line597_642,Codec_13,SAME_FILE
codec_17f_transcodeRemaining__line118_167,Codec_17,DIFF_FILE
codec_1f_handleC__line281_330,Codec_1,DIFF_FILE
codec_1f_handleG__line418_469,Codec_1,DIFF_FILE
codec_1f_handleJ__line526_556,Codec_1,DIFF_FILE
codec_1f_handleS__line612_660,Codec_1,DIFF_FILE
codec_9f_colognePhonetic__line293_383,Codec_9,DIFF_FILE
codec_9f_read__line76_117,Codec_9,DIFF_FILE
