mutant_hash,org.apache.commons.compress.IOMethodsTest::testReadJar,org.apache.commons.compress.IOMethodsTest::testReadZip,org.apache.commons.compress.IOMethodsTest::testWriteJar,org.apache.commons.compress.IOMethodsTest::testWriteZip,org.apache.commons.compress.archivers.ArchiveOutputStreamTest::testCallSequenceJar,org.apache.commons.compress.archivers.ArchiveOutputStreamTest::testCallSequenceZip,org.apache.commons.compress.archivers.ArchiveOutputStreamTest::testFinish,org.apache.commons.compress.archivers.ArchiveOutputStreamTest::testOptionalFinish,org.apache.commons.compress.archivers.JarTestCase::testJarArchiveCreation,org.apache.commons.compress.archivers.ZipTestCase::testCopyRawEntriesFromFile,org.apache.commons.compress.archivers.ZipTestCase::testCopyRawZip64EntryFromFile,org.apache.commons.compress.archivers.ZipTestCase::testDirectoryEntryFromFile,org.apache.commons.compress.archivers.ZipTestCase::testExplicitDirectoryEntry,org.apache.commons.compress.archivers.ZipTestCase::testExplicitFileEntry,org.apache.commons.compress.archivers.ZipTestCase::testFileEntryFromFile,org.apache.commons.compress.archivers.ZipTestCase::testUnixModeInAddRaw,org.apache.commons.compress.archivers.ZipTestCase::testZipArchiveCreation,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest::testJarMarker,org.apache.commons.compress.archivers.zip.ParallelScatterZipCreatorTest::callableApi,org.apache.commons.compress.archivers.zip.ParallelScatterZipCreatorTest::concurrent,org.apache.commons.compress.archivers.zip.ScatterSampleTest::testSample,org.apache.commons.compress.archivers.zip.ScatterZipOutputStreamTest::putArchiveEntry,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testASCIIFileRoundtripExplicitUnicodeExtra,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testASCIIFileRoundtripImplicitUnicodeExtra,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testCP437FileRoundtripExplicitUnicodeExtra,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testCP437FileRoundtripImplicitUnicodeExtra,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testUtf8FileRoundtripExplicitUnicodeExtra,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testUtf8FileRoundtripImplicitUnicodeExtra,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testUtf8FileRoundtripNoEFSExplicitUnicodeExtra,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testUtf8FileRoundtripNoEFSImplicitUnicodeExtra,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testZipArchiveInputStreamReadsUnicodeFields,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testZipFileReadsUnicodeFields,org.apache.commons.compress.archivers.zip.X5455_ExtendedTimestampTest::testWriteReadRoundtrip,org.apache.commons.compress.archivers.zip.ZipFileTest::testReadingOfStoredEntry,org.apache.commons.compress.changes.ChangeSetTestCase::testAddAllreadyExistingWithReplaceFalse,org.apache.commons.compress.changes.ChangeSetTestCase::testAddAllreadyExistingWithReplaceTrue,org.apache.commons.compress.changes.ChangeSetTestCase::testAddToEmptyArchive,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteAddToOneFileArchive,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromAndAddToJar,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromAndAddToZip,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromAndAddToZipUsingZipFilePerform,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromJar,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromZip,org.apache.commons.compress.changes.ChangeSetTestCase::testDeletePlusAddSame,org.apache.commons.compress.compressors.Pack200TestCase::testJarArchiveCreationInMemory,org.apache.commons.compress.compressors.Pack200TestCase::testJarArchiveCreationTempFile,n_tests_killing,killed
085f2f14ba5955e8078ba12bc93e318fe9bd448ded69be7ee144c3d3f7cdfad5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0f98595f1e9671495aff0901eab6c905a5b7e34c2e24e6d1ea3b0da5bce87793,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,22,1
159714b4f0af4ff45f076997f524ebcd17b3f6328101051cf691d3637a9df16d,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,15,1
208f41c1e0873926c4293c2a3aad8bb2de3db08759e8ecc6a6ccbb3262af2aa8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b48020c932f35b6b75d2aca523a2cf4983629435f23e4d9ffcf3c66a6493686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b9bd5dd215665818909ecefa0652f86a60718ae2aea8daee84e39376dd14e3c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2e4e549c788a1ea93967ccf11da23b8f5f726b0188c6f44b0d5fcc3ea886eabf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2f40411162d25ef9705a4c3a43d1fb9cbc97c78bd53d1f7e3014e6b766febcb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2f5221f428fdcda2f9c85449786d0f3e9d37b7b08720961ed9238ad3566441f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2fabe2d6a1ae8c65c057dddad810e10c21f5a48d4e074235a74299d295cb0851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3458ac563596ed272518af4446d9ccbdca3135f6be79f3a5b4bc3e8e07b7c538,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,36,1
468a91cee02d92031b98e0f57bed40be33ae9315883041e0c5f73c545cae2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
4bc241dcbb3795d286bd5182fd1bd6bd69be6266982b10b244a0f1719225c930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5087f7e2bc8150d444376f71ff0452d721c9e2f38de3290812f91c3a121c7aae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513d555bf28229fc41b138889c4213ff89adf7970ced478a36fb99fdc3f5c0ed,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,1
549aad9e6e4f5f053fc0eded20d7457191d2c8cd1233a3665a30296ddd0ca685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5aaee3b976ac3351e2daf5b010f5e692a952b99dd115bbb328ecfc44dcf2a572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c3b1fe5a7ab8232ff7f773c6ad5efc094d83e027ba5010a56566695189e303f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c7fd207a9339c7f9fc345ef9a41c464243ff61a2ac3c31247e7c97424febfeb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6508c7fb0a17fc5d2632493c372bad7f014dc52c65d94d1e31b5b8b4c0d066c4,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,1
6adafa1c6b442e82b86419e9e2c7d7f2e4ec1452070a09d48699111e745cd6ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6fcb51bceecd66844e1a87b3a16e6d7de26f97f5d14c8327732a61963e9742df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74def9cae44b43d732aafeb97aeac31b239f4dc97e1ab835df2cc6f5c11124ef,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,36,1
8dc764888e31c607a3a221ffda2b23c14fce7e28b50dde4c04b5690bf3160efd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,15,1
9532b79a8cc7a908826bcc5f16ae59f82e543a4aa3c791e5a5bc84fd56f814a6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46,1
971857e246605f3a894c5473162358cea12c2d7bd96916fd33e30e47a982bac6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
