mutant_hash,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testBox,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testBuildBox,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testCross,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testIsometry,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testTetrahedron,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testBug20040520,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testBug20041003,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testChoppedHexagon,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testConcentric,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testDifference,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testDisjointPolygons,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testEmptyDifference,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testHole,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testIntersection,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testLineIntersection,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testOppositeHyperplanes,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testSimplyConnected,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testSingularPoint,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testStair,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testUnion,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testUnlimitedSubHyperplane,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testXor,n_tests_killing,killed
095f5afd4537af5924b671651f3b6ddf27a6087537a0112d3435a3bfd7a875c2,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1
0b6dead4a507f80877d08fc5cbb1d3db593cbb3889629a6a797fadfddfcc8cf4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15d63aca897221d3364455cf83741442651e6f305f19c1cd76686a5fe89d16f4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29ea17cb14e05fc845a13a15c4dbcc1cc8e49fbe7c095ca72e462cf47a5b4342,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3a5bc58b8f25b4527eab5e2ef7dc9087095308f4ec4f04b1279a06c6a54de9fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
3fb6c54665a2d172198bdc2b58f2e94fa4ce63c117936f59a72994f04ecd76d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3fd4e1f74b7bd92430804515d5d5934324f98989450cd59e97f4f3328f5fca3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41885c50df898650df82422015ac2cae952b37409521187512dfd467db1961ea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1
51603f7af6477a86e214975ba49494bd4acabbc73b739fd310e2567226a5fd41,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,20,1
57066bcf3e6872ef5de4548ae6d8a0918ecaf3512213ca5dbd25de9a97bc4093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
