mutant_hash,org.apache.commons.math.analysis.minimization.BrentMinimizerTest::testMinEndpoints,org.apache.commons.math.analysis.minimization.BrentMinimizerTest::testQuinticMin,org.apache.commons.math.analysis.minimization.BrentMinimizerTest::testSinMin,n_tests_killing,killed
0147edbe52200cd1c6a595535d8e38d79ea5c273b689b6506a10aa8af31326bc,1,1,1,3,1
0eaa030007b8ecc23933e9e475c7e06767a96a50c144ecb499960385da6ab651,0,0,0,0,0
0fbb96476ae8d053b734078da7018c6c086c08146c7367566aea62803d1c76d9,1,1,1,3,1
113e4bf3e6644c088a4fefaa81284b8f2f9ed8e7478474f82b664f5be1eabc68,1,1,1,3,1
1f309fb93f3b7079b86c35dd02b266e91b6ea9a78041be9447aabd494a9e8f32,0,0,0,0,0
22c5f45685a3e8b04b272ac4c919273611837a8892807bdec5ac476159b111e2,0,0,0,0,0
2d85747e1b7c5e344e656b3cb2f9c46250a6dc7eb6a751907f18d49319111174,0,0,0,0,0
2f4ddfaa2deadc2305bbfb94dd850a506dcc36e63ca20fd3f1c7f3678d1f9866,0,0,0,0,0
30980ba0f2bc410e5ba68d1006f7c978f5726316156b5a4d13c6004c5efd71ba,0,0,0,0,0
3321727c576c327dabcdd78ad4b119040b23ea06616aa97335e575cb8199b3ce,0,0,0,0,0
3826caf81103db6212fc6b015591012dd0deb4f1e98edbdb9ebb6e6895d45ee0,0,1,1,2,1
40f31025eaf77dcee26a1d97abd8efe98b8032d5bed8fac99d2886b2c65f3236,1,1,1,3,1
41801c50bb5595155c3983124e7ba6d4996f48ff26220e339018b95c9b628a2b,1,1,1,3,1
4f640c2a5e650fa2c760350ca7e96f5d7ad3b9821755c437e20956d269c36658,0,0,0,0,0
50991603af4f2468f10f84b613cfe3a8d69200b8afc3d571b4769dd239e427a9,0,0,0,0,0
5dfaef2587ffd7247d7f33da55c81ee5d27eb53383ccedfcce7daa4d24525bf4,0,0,0,0,0
5ea1e4d6eb065c5771fc2ea511c1a0def0638c3d6bb87def2a478d011a4fb7eb,0,0,0,0,0
6193adcfef0bc261d371409761c15dcf13798066cf26fa90af6ffa4a15fbd2a9,0,0,0,0,0
6763a42637b47b5f4f16f3b01c9e1bdddf327e23d8521fed20874965aa59dc44,1,1,1,3,1
6d03ebb62196150aca5fd3a02650abae862b528b628d5e61abc95909aaa2712c,1,1,1,3,1
735fa2b2a9355755882b84a6e84422568c351324f58df96f63db0848681e04a4,0,0,0,0,0
79cba976dc822f969d4e33cda2117ec790cf74bc0f4a1e0b5959089927bc6c56,0,0,0,0,0
7e04b3e786a3325770a34318a36bffe4926964db4afaeec87837ba02f36c5b2a,0,0,0,0,0
8a52511949dfb7000d168b675420ab9c6db4776ba294904eb211aa4cd9ce40a6,0,1,1,2,1
8b51e8f16fae7e81e55b318c8a74c636146fc6597761b1551e461a044f843295,1,1,1,3,1
93d125e2b85b9331a17f2fe4ea565764fa75cc0e5c0ef6c3a72578bac15dd164,0,0,0,0,0
a573fc523aea8cad0cd5b7a44bcffa6604e43ed81c3336a6938df7f059ddf046,1,1,1,3,1
d231455e707f75a39e370292a44908089e1793735e10c82b143180cd8b3a5c04,1,1,1,3,1
d55d8bcf6b4d460994ca12ff3444c4b3e4918e234c26a2cb9fc124a8baf78608,1,1,1,3,1
d67d37d61f7ed7c6bd60ebe994408ab355156086e67f394eacb3f6f0e03cf882,0,0,0,0,0
dcd90d25ed82604d1148c61e50fc100d4fd8f735567cce26839fc9f050b56197,0,1,1,2,1
df6c74c17b9b4784e90d2ac7ecd46ce3f4667d37ed739c7da468adc168d49152,0,0,0,0,0
e6bf62ed3d247fb2fb52ec891c6430e04073ba6a764fc1a2b0ba75b66a321627,0,1,1,2,1
eea5e37759c97524eb0038f167ddc4e3e3c6138640b6a405f603c39510ee3aa4,1,0,0,1,1
ef1fcbe96e41c0b6aa612975c302caaf70be3db5831b036ee586aad37edcc050,1,1,1,3,1
f7f9ffa8388686d723097262931df9ba82fa8291c169721f3562aa91bacda1ce,1,1,1,3,1
