mutant_hash,com.fasterxml.jackson.dataformat.xml.RoundtripContentTest::testRoundtrip,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testRoundTripWithJacksonExample,com.fasterxml.jackson.dataformat.xml.deser.TestEnums::testEnum,com.fasterxml.jackson.dataformat.xml.deser.TestViews::testIssue44,com.fasterxml.jackson.dataformat.xml.deser.TestViews::testIssue7,com.fasterxml.jackson.dataformat.xml.deser.TestViews::testNullSuppression,com.fasterxml.jackson.dataformat.xml.incr.IncrementalWritingTest::testSimple,com.fasterxml.jackson.dataformat.xml.jaxb.AttributesWithJAXBTest::testAttributeAndElement,com.fasterxml.jackson.dataformat.xml.jaxb.AttributesWithJAXBTest::testTwoAttributes,com.fasterxml.jackson.dataformat.xml.jaxb.ElementWrapperTest::testElementWrapper,com.fasterxml.jackson.dataformat.xml.jaxb.ElementWrapperTest::testNoElementWrapper,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest::testAsTextWithJAXB,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest::testPersonAsXml,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest::testRootName,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest::testSerializeAsAttr,com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test::testPolyIdList178,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest::testWithTwoAttributes,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedList,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedListWithGetters,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest::testParentListRoundtrip,com.fasterxml.jackson.dataformat.xml.lists.ListSerializationTest::testStringList,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest::testArraySerialization,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest::testListSerialization,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest::testRenamedRootItem,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest::testDefaultWrapping,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest::testUnwrappedLists,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest::testWrappedLists,com.fasterxml.jackson.dataformat.xml.misc.EmptyPolymorphicTest::testEmpty,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest::testAsClassObject,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest::testAsClassProperty,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest::testAsPropertyWithObjectId,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest::testIssue66,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest::testSerializeAsText,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest::testTextOnlyPojo,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest::testSimpleUnwrappingRoundtrip,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest::testUnwrappingSubWithAttribute,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest::testUnwrappingWithAttribute,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest::testSimple198,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest::testXmlTextWithSuppressedValue,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation::testEmptyElem,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation::testMultiLevel172,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation::testSimpleMap,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation::testSimpleStringBean,com.fasterxml.jackson.dataformat.xml.ser.TestJDKSerializability::testXmlFactory,com.fasterxml.jackson.dataformat.xml.ser.TestNamespaces::testRootNamespace,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization::testCDataString,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization::testCDataStringArray,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization::testCustomSerializer,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization::testRootName,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization::testSimpleAttrAndElem,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization::testSimpleAttribute,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization::testSimpleNsElem,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr::testIssue117AnySetterAttrs,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr::testIssue19,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr::testIssue6,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr::testSimpleNsAttr,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationOrdering::testOrdering,com.fasterxml.jackson.dataformat.xml.ser.TestSerializerCustom::testIssue42,com.fasterxml.jackson.dataformat.xml.ser.TestXmlDeclaration::testXml10Declaration,com.fasterxml.jackson.dataformat.xml.ser.TestXmlDeclaration::testXml11Declaration,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest::testSecondLevelAttribute,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest::testSimpleAttribute,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest::testSimpleElement,com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest::testRoundTripWithSample,n_tests_killing,killed
019f15520ea698fd326919125b20976ee2959fc288f362c748b55ff832aa8df9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,21,1
0726622bbb52dad39c3a19e04f69e4ae681c244f6b8b2bd7bde1e4c96d6e2f1f,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,18,1
0f6855c8e61fef7632f61009a689928e1e92e214354d2e2156b39a0139333380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21884830858c4c64ee9dd0027b8cc3b184da0c5f8597d5757fd085e0737f48d5,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,39,1
44f3b5e6729b761123360681b8e879e9dd6388a8c0317bafa54b58a6f7a59d52,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,39,1
4f1f64449996a33536bbe16c671063c0a263ea6c41fe82014b0c3b7782aa779e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
5befa1ecffac4487601ab37c465e4306a59e785d9382c71f03a7faa26bb9530d,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,19,1
62357d0cdcd7f562790b5adbffaea8064d977705291aeb9181eafc259d48b66a,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,21,1
6a1cdc1a72ee2ce33bf06b958a03cb10c3df5554c622d5688da9d79cccf0e2bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6def4475d99251d056414d15b908335cee63df8c9a24689ca11c2ab51781291e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6f22c21997d7bff8e884aa614bea2f5313a66682cff88b23ee39baff407b5db5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75bc7c3ba54693ee21f14116dc8e9af972d64d9ced23e5965cba96c8ce7472fe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,1
896b5b697b54d42cc0e7df5ad66e98dd6c8936528fd20f30a416e0b5d879685b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96ff72ed72bab396e6fc1987583b2000f12ad0f40a2b6ce954711093179b10fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aede26887240c3134b31ccebd01258838e073127ab43af0f6d458fdd257ee175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
