mutant_hash,org.apache.commons.lang.time.DurationFormatUtilsTest::testEdgeDurations,org.apache.commons.lang.time.DurationFormatUtilsTest::testFormatDuration,org.apache.commons.lang.time.DurationFormatUtilsTest::testFormatDurationHMS,org.apache.commons.lang.time.DurationFormatUtilsTest::testFormatDurationISO,org.apache.commons.lang.time.DurationFormatUtilsTest::testFormatDurationPluralWords,org.apache.commons.lang.time.DurationFormatUtilsTest::testFormatDurationWords,org.apache.commons.lang.time.DurationFormatUtilsTest::testFormatPeriod,org.apache.commons.lang.time.DurationFormatUtilsTest::testFormatPeriodISO,org.apache.commons.lang.time.DurationFormatUtilsTest::testJiraLang281,org.apache.commons.lang.time.StopWatchTest::testStopWatchSimpleGet,org.apache.commons.lang.time.StopWatchTest::testStopWatchSplit,n_tests_killing,killed
33372f97866cbd4da1bf3514d6387941490520f2f9ca8123c7e37630624d0278,0,0,0,0,0,0,0,0,0,0,0,0,0
409956c5bb8169e15a36fbb664f0c6317b3f5620c621f42913b206c14c90fc37,0,0,0,0,0,0,0,0,0,0,0,0,0
409db737ab7870bc6b361c580cc64ba9a400f62a616e3eb8eba38dc02ab0275a,0,0,0,1,0,0,0,1,0,0,0,2,1
5868d180becbcd1fa79eb72f82c59ecc05882c175bd0e112c687fd6b4b643624,1,1,1,1,1,1,1,1,1,1,1,11,1
7c47ec7a3fef299442edf53221b84b4213492f4593c2a2ebf28d929b0ba777af,0,0,1,1,0,0,0,1,0,1,0,4,1
80769c9e70ca045b777862b6b923e8790335dd22f2633de880810f9249ab9879,1,1,1,1,1,1,1,1,1,0,0,9,1
86836ef151de9516fbdacdabd0d8715588c0ade74056897f674e72827151bbd5,0,0,1,1,0,0,0,1,0,1,1,5,1
9055136a0b117d736d3b258ecdebf0bc4af559c208d52616703d58f775de99c8,0,0,0,0,0,0,0,0,0,0,0,0,0
9ce62027fb7daeaf0614a7e08208ecf9a78db8097f341637e1f3d203515c24c2,1,1,1,1,1,1,1,1,1,1,1,11,1
b9f1444c7f2cadec66ee7cd7a3fbe969739ebb639f137482bf7a4e1c88bda9a5,0,0,0,0,0,0,0,0,0,0,0,0,0
d2967c4dcc386475cdc9fdb2c0a919f5d7da7b118feff0d9f505748dff001e45,0,0,0,1,0,0,0,1,0,0,0,2,1
de2ed32126802f7aee711b1830f41fe4339643cd6066dee9481260c24f4f8ea9,0,0,0,0,0,0,0,0,0,0,0,0,0
f2bb5c00131c5351616f1c36a50db7745d69a018d909038ed6308ad151cd7bcf,0,1,1,1,1,1,1,1,0,1,1,9,1
