mutant_hash,org.apache.commons.math.util.MathUtilsTest::testRoundFloat,n_tests_killing,killed
02dd0a64f0ec2ad5a1e2115ab4c568f62549b399e56c18662af81df3c9c3a463,0,0,0
07acbb3bb3aaab99eb4d009a990dd00f77d14800e346591f43beee0ff708a8ad,1,1,1
120c5d2c8721161ebe0396a98953dfe5715b99166de0136990efb41b3b25be12,1,1,1
13d1a4fdae8fca21207a1cda0b6a77c62f95c205dc27d7cce2e6354fc130b453,1,1,1
142211b2b9bcbcd91187feeae53914ace1d21670061c8522ba89786edff53bd7,1,1,1
18b3a8121a653278dab228e2e8b0b701e737cc14dc57cd4869899f49261c7bf0,1,1,1
1de216337874eb568963729da1b7929eeaf518ad807ddb4ab58c1acf0ea6a9c6,1,1,1
24754bb8c5d44111db11a787128c8ad9a131b05b5ba549ad2a6eb1856c1047c2,1,1,1
25264fe79a22a3de46e2d8bc930af0d3aa521d95ec94c22e4ff217b9423e5be3,1,1,1
269cfaeffdd91c4fbd9c799e3e9c37a0f1da25de5b7113814d209895f2aa2f11,1,1,1
4137a35e3d6ded831872b931599733a378e13be6f2fb305849b5ee8930cb3cda,0,0,0
65ebd0cc7461595ca19eaf26f4d194eee57942fa09463133038028064afb4b67,1,1,1
72af071a6dfec98b492c9aac1c1fdff3fb801d5d860bdb176b40cc9bfd7615cd,1,1,1
7cef85d923d84436fde03b965c2f88516e655b0f2e2044d69e8762ed487f3c9c,1,1,1
8ba10e8a5c45b452968c45948dac2c6958e6cd7871884f90fdad7b76a719f082,0,0,0
9c8ab1d2e3c5f844113d00c7f7505a416e7cf8413ede904143b109d0001b950f,1,1,1
9f2b07071c5419d0b6c7b8dd9e977c9cd01ac3c638caca5e21a0da315a6ad72c,1,1,1
9f534b5393aaef2a5a61a403878dedf713b31c8780a621e95cf2402ea8991b52,1,1,1
a7df9c6743faf8499c7a7d4110c6f0f064ec8c1b3ebec04665f6c238c6aa439a,1,1,1
b79044f9ac9abe656fff3739f7341db95c8df23d7c47472f6247004f57c9cfa9,1,1,1
b87415888348ecd51e725f3d373401ec6d4822f71c3666634cf6ce277e042f81,0,0,0
b89538de45519ef7f8bbf10efadc1213e17ee093034732ecb8ef0edf1e55b210,1,1,1
c46fabc87892512af8ebae4828082fb96b22493060fb0248a924d812dc375cfe,1,1,1
dc52ae0ffddaa42feff453610624c28dd8e34141cb52d612a65ed5b021c441df,1,1,1
fe582c93d80f14f647c5ec247229cb9a86b6e45c19caac024d2cc71dda733c7f,1,1,1
