mutant_hash,org.apache.commons.csv.CSVLexerTest::testComments,org.apache.commons.csv.CSVLexerTest::testDelimiterIsWhitespace,org.apache.commons.csv.CSVLexerTest::testEscapeBackspace,org.apache.commons.csv.CSVLexerTest::testEscapeFF,org.apache.commons.csv.CSVLexerTest::testEscapedCR,org.apache.commons.csv.CSVLexerTest::testEscapedControlCharacter2,org.apache.commons.csv.CSVLexerTest::testEscapedLF,org.apache.commons.csv.CSVLexerTest::testEscapedMySqlNullValue,org.apache.commons.csv.CSVLexerTest::testEscapedTab,org.apache.commons.csv.CSVLexerTest::testEscapingAtEOF,org.apache.commons.csv.CSVLexerTest::testIgnoreEmptyLines,org.apache.commons.csv.CSVLexerTest::testIgnoreSurroundingSpacesAreDeleted,org.apache.commons.csv.CSVLexerTest::testNextToken2EmptyLines,org.apache.commons.csv.CSVLexerTest::testNextToken3,org.apache.commons.csv.CSVLexerTest::testNextToken3Escaping,org.apache.commons.csv.CSVLexerTest::testNextToken4,org.apache.commons.csv.CSVLexerTest::testNextToken5,org.apache.commons.csv.CSVLexerTest::testNextToken6,org.apache.commons.csv.CSVParserTest::testBackslashEscaping,org.apache.commons.csv.CSVParserTest::testBackslashEscaping2,org.apache.commons.csv.CSVParserTest::testCarriageReturnEndings,org.apache.commons.csv.CSVParserTest::testCarriageReturnLineFeedEndings,org.apache.commons.csv.CSVParserTest::testDefaultFormat,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,org.apache.commons.csv.CSVParserTest::testExcelFormat1,org.apache.commons.csv.CSVParserTest::testExcelFormat2,org.apache.commons.csv.CSVParserTest::testForEach,org.apache.commons.csv.CSVParserTest::testGetHeaderMap,org.apache.commons.csv.CSVParserTest::testGetLine,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithCR,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithCRLF,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithLF,org.apache.commons.csv.CSVParserTest::testGetRecordNumberWithCR,org.apache.commons.csv.CSVParserTest::testGetRecordNumberWithCRLF,org.apache.commons.csv.CSVParserTest::testGetRecordNumberWithLF,org.apache.commons.csv.CSVParserTest::testGetRecords,org.apache.commons.csv.CSVParserTest::testHeader,org.apache.commons.csv.CSVParserTest::testHeaderComment,org.apache.commons.csv.CSVParserTest::testIgnoreEmptyLines,org.apache.commons.csv.CSVParserTest::testIterator,org.apache.commons.csv.CSVParserTest::testLineFeedEndings,org.apache.commons.csv.CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,org.apache.commons.csv.CSVParserTest::testProvidedHeader,org.apache.commons.csv.CSVParserTest::testRoundtrip,org.apache.commons.csv.CSVPrinterTest::testRandom,n_tests_killing,killed
12f79aedede03e9393213f03eaed19a58d0bc9f41ae01564e83bb5705c79064e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ab966792779dc265e29383cf7e5b66b1f1568eb2f36a6d06558f2e407d87133,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1
1d7c934bb231fa06329cd390d46ddd41df012a067b82fac731903602218654fc,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,35,1
258a0aee972dd93a87b353f9a3701ca1aa84ef0e7fe956fe62b8530affbaaf67,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,32,1
2cb102b6057b41c63de022c94c474ff0c41fd68625db8745d5cd80368be40a16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
325b32014c3324a52206ae279bb16e5baa12f4a0318040ae1f0e571be772d3e7,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,34,1
3367952226a4a0274433fab5b179bbd7962c080367948045b7c51f11dcd9c84e,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1
5cd1fee781e75870f75e9db08cbc456434ad4c077fdcd3bb7d943bfcde6bba8b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,13,1
6598d9e88050938d5f6b0690e7f12760430f3dabddd8787e9f38c21b24b1c0f6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762e30cd8d97ebc4c1f2adb02dcd7ea1c31217efb4d0fc78813963b7b10a010e,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1
