mutant_hash,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAllChars,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAsciiEncodeNotEmpty1Letter,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAsciiEncodeNotEmpty2Letters,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testEncodeAtzNotEmpty,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testEncodeGna,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testLongestEnglishSurname,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testOOM,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck2,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck3,org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest::testSolrASHKENAZI,org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest::testSolrGENERIC,org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest::testSolrSEPHARDIC,n_tests_killing,killed
0270fcb6d9ac21a76eca89c9ceabc2c7365f5f8ec83313afb14fb14d67d7ac8b,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1
05ea4c263fd5ac7676ac385de62cad8040bb87b0da9dec4902b96d5909dbab66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1441b75b634b5faa9be20d30564f02be6ec2415dce68f7771cae789e25b34232,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1
1c4c90d33aa78e220b3a5759122812488c7b72cb6a4a3a963e549eee13cf3b66,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
23fafe33a6e361f9d6ae25ca1d7089591130faad167a3a022eb4e808c4664918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289d3a610fb2b74acf56e908f550631e9adcaf1643b551424426c6cb938881e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295d2af5deb7c32a16b2fe8c2d7dccf112f8bd26d3be0505899a63bbd7b4261a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35b637bb22b4b959b47866cb7bdae3c5dc710cebf72244a1101d647f82d656ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391cab1af2d7a5671bb857ae2f28bb26e3cbb44cbbcba176acd51109857a24ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485465086bd92a8f9bf9adf6919539487836ca6aa19d307d01b15613e1af81f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4f81aa335e173672513ee57208bd9f25508c9ff0ba04ed0fb2010e8ba11232d3,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
63755bebf2f25fd350bfeadd9e46fcae893bffcfd91b16af2fbcc96bb6384e30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69402e95c5a561336c3566f2fe7ffc3020af21e802871c2624f063617e2704aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6a7614f7db6c41c4d3c87fb5352d1b995c4a6009fd6b284e2dbb47dc348159ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6f755221c8afa63158608f9ad82d5c8722294db863f74f5d00f4b61dbf2d60d0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1
8428f66d0cd981b31a24fdf69c93320aff723ee319501fe9d6c1eeea6111b7d3,1,1,1,1,1,1,1,1,1,1,0,1,0,11,1
8e524e0c1994072922ee938e861469ec9bed875a509ab021863a6b461d909f27,0,1,1,1,0,0,1,0,0,0,1,1,1,7,1
909a9b9c745831c788810509b503e7276f044b78f048b19625386e26ca556b95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9ae48e0d11837814d8da66e1900590769ed5ba125bc01772bea64d1ed5757c15,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
a42db29b91252632af3b5f230fc64ec92d657ccea88d7fe01748cb882b1cf815,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
a52b84da6145633dfdc87b86420eba12b0884866e1e05db9f5bab284b18a0794,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1
b46fb4efba7afb9e61b12991552b42d446c43b3c0028b18adaae28d914183e4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b674d0f1330166e03bb84f9b74d3f771ab736645279fdc29b0a12c469dd3dee4,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1
b74fc38df43c462b8cf1ed4dae10ede13541ced7c30b5957ad2fb781feb31033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b9442634dfc69ae0018694ce42bf8e9e7602208dc7c968acb5566b935257eabd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bb6de724f783f76375bc995c400d05fa6aecd0058f844c3a66861c4177016afb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbf61d4d173ecdf423159ec96076ac38b1ba523a399f415a820e62559eb2fc5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bd9e4b764d7577d7285acfbd43288deca8c251425c8f334894c29cfcf93af523,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
dd9abb92917bbaad16780670ec2ab169ef577f5979f5686928ba6d3b9b3958e7,0,1,1,1,0,0,1,0,0,0,1,1,1,7,1
ef7a36f0b4fd2275e69eb4c791e742f0e7541204f4363d3569079aec7f62b83a,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1
f1648c77712ef80587b6dab097f5cc3baad9da38201f9669e5e63ea23d554382,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
