mutant_hash,org.apache.commons.codec.StringEncoderComparatorTest::testComparatorWithDoubleMetaphone,org.apache.commons.codec.language.DoubleMetaphoneTest::testCCedilla,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualBasic,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualWithMATCHES,n_tests_killing,killed
119d99c1664ff6119f60bd63c771c1c7510f073af6f727b0bab7597dc8d6f53c,0,0,0,0,0,0,0,0
17aa611c7dba228b932b1146a628f43a8fdc7bbd41e6b70abeeb947c022ccd40,0,0,0,0,0,0,0,0
20191831802ab3be0ac46dec578cd38d708f910e4085282fbd1e51e539d55315,0,0,0,0,0,0,0,0
205a69afbbaf68577d99fc51d9dbeccec0dbee1720288dda7d260f42eb5aa982,0,0,0,0,0,1,1,1
22d0d0b67212a3b39ccaf129e3e999ff841a44d02cccc30b2162a37232469f54,0,0,0,0,0,0,0,0
72a141ac29f687188a5eb98eb004522466d7205b04ab029b7768449112749f78,0,0,0,0,0,0,0,0
766d8a80f5834ea71916029a312e79c26ea583f6f527a2757e0dda39af6032af,0,0,0,0,0,1,1,1
79b581806f478b815a143841132af3207a482535965bee25211f85bb8d7ce74a,0,0,0,0,0,1,1,1
7e18732d434b1ab575b5b202d086134f2323ddb153ffd7c955211fd8f39b81ae,0,0,0,0,0,0,0,0
8b7651162425226a41703aef47e19d3b0c11c3761ef176d86693f2b4dbb5508c,0,0,0,0,0,0,0,0
a15abcfeac2d558e7932b73e70b54b02b7b2fb64696dcfc97a320a6a6b69a939,0,0,0,0,0,0,0,0
a24c5b282475d65dadc1d2486c44ae8ac03500155681ea729c1b22fdfa2c557e,0,0,0,0,0,0,0,0
a9e3652f5bed848cdb7f006b2779c17296163093c93d30f4332a96648e9f9240,0,0,0,0,0,0,0,0
b31cc883ff1520c15d0f32751cb1ae186298111c20c06de1f34eb26044d65dba,0,0,1,0,0,1,2,1
b347e511eb75120e890c099e7eaf4c55a443d55b7d820035103d303607bbcb85,0,0,0,0,0,1,1,1
b763af0fc01e8bc80f0b3fc7a5588a6d1c79d9a4e924cf1d2c33f25bcbb4e3b4,0,0,0,0,0,0,0,0
caca818105a635c2fc2dbf676f58aa90fa146d9ae50c0af2846a31559fa10f95,0,0,0,0,0,0,0,0
deb72df4588294c3a1de1247635ddd4285d17470aa9c7738e024e7885f015550,0,0,0,0,0,0,0,0
e09a23ce15e17b641ffbec2f19b0c977896c95feb19adff559ef1f0087d3e909,0,0,0,0,0,0,0,0
e34cf7e0f5485db0186cf49bfb2f682546e618dcb4d9715ebf8dcce3f9fca17e,0,0,0,0,0,0,0,0
e6a87fa6bd12d2f879974cf6da808bc2fe1e186f9c071c07595b1b79ff9058ac,0,0,0,0,0,0,0,0
e75626dadb708f52127a9cacb1afcb8677f9538ce1e085ec6fdefaa04b82453d,0,0,0,0,0,1,1,1
ec9dd6a73b9cb2f815dceefa43fed32c5ba98a3f95b4ac9f7dc96f9be011bf76,0,0,0,0,0,0,0,0
f7d000875a4eb95a98c7ab531eadd7d9bfd69ea1a5bf2b524b1fc2acc643069b,0,0,0,0,0,0,0,0
