mutant_hash,org.apache.commons.collections.map.TestFlat3Map::testClone2,org.apache.commons.collections.map.TestFlat3Map::testClone4,org.apache.commons.collections.map.TestFlat3Map::testEntryIteratorSetValue1,org.apache.commons.collections.map.TestFlat3Map::testEntryIteratorSetValue2,org.apache.commons.collections.map.TestFlat3Map::testEntryIteratorSetValue3,org.apache.commons.collections.map.TestFlat3Map::testEquals1,org.apache.commons.collections.map.TestFlat3Map::testEquals2,org.apache.commons.collections.map.TestFlat3Map::testMapIteratorSetValue1,org.apache.commons.collections.map.TestFlat3Map::testMapIteratorSetValue2,org.apache.commons.collections.map.TestFlat3Map::testMapIteratorSetValue3,org.apache.commons.collections.map.TestFlat3Map::testSerialisation2,org.apache.commons.collections.map.TestFlat3Map::testSerialisation4,n_tests_killing,killed
09dd10442bb39a4bf30528ff1b7ded82d9675fb5ee08806d7631343721afae71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1f2613587e09b4bf5817b371da4d304c4038b196f25897b4e699fb1d4e59ae5d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d5af50c201a7b230f27a96a11cd47c555f26583cfe446a53029f51cf7eaaf30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32f558c87a10f550c5ba83b1e81f98ad52101d8abc8bcbe85ef9165ad107f5aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3365ae6d48ccff03009b1fe33fe542d7b82b9819e8ce09e15d74b8d659243970,1,1,0,0,0,0,0,0,0,0,0,1,3,1
3912786e1c92470a6034ac3e9fa0d277294aeaa64fda33eb63b319ee2635481c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3b587d9e5f8de2c03ca4c1c447055660acea7d7dcee05a71b7f05c70f0d69851,1,1,1,1,1,1,1,1,1,1,1,1,12,1
54f6f34fcba0172a3d3cad4879271482ffdc35ce79c8ba9b0abce8746c61729d,1,0,1,1,1,0,0,1,1,1,1,0,8,1
56a6486f10ce0a03b2f060f8951f7df77bd189a5d16544d74505c5684a00491a,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5aef6ae8721caee45b2f5a9a9c2f71224c505cfd05a37eeabe3ed85899e87b04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ee643616777222fb83f7de44d8e3567688ebc3f7cdd4161fac8ff6d3560d213,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6f714fbd821c27ee697e56a9d4e337faa269ae17f2826cf7c1267c2755071a51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71c5359d033d120e254b7cb1b1aab9c20b7a1cf3507ade7cf8d95005aa4ea39c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75d27768dbd9c59534c3069ed041f935ac4d8ebf14271c418a146fede409c7a5,0,0,0,0,0,0,0,0,0,0,0,1,1,1
93fd9a64a0c22b5af6942eb669ec5eba1d4b5e0a679cec904e91ab84b073c6d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba2783670c53e3309c47cfcc906825628e42cc5de802a11444bf859c0de64d29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf5263cf9332f8111b94955d00e03e3a1cb689b912dcc1cc6c084d231521c41a,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1c2ee181d8dd342f79bca3ef0c220778e5561d82d0ceacb8a21d5f59d16fef8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c362d7d7b0e53f0fcd90ce34d689e49c32bd35b291db401463f8b03ffb1ff0ee,1,1,1,1,1,1,1,1,1,1,1,1,12,1
ce8ed62fa17f60b1f3e49d3abbd549a249f1cb5852a60407ee2144a532c58f68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d0dfc437add5166837c431ac3b082b03a5753a774da7de0906a2f46240de05dc,0,1,1,1,1,0,0,1,1,1,0,1,8,1
d15e75934f6f7fb92fbe3c5466f938952d2fb591e3dea106b14165c92a9e8078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d2259e74c85b142a9119145d67afbcd463659ca7c30f409105c66a4089cc9e41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dadbd89229c4b39ec0aa49a052ec405ba9550bfc07dcdb2183b350fe67b5dbcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dde45aec75287fffd6361360acc5a4f8da431c7cde8ef7da6daa9303f6910e6a,1,1,1,1,1,0,0,1,1,1,1,1,10,1
dfb80408e65e8ca617f7184689ca79c6f2d133464fe4fe3479c7a3f3731bb17f,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e674fff4b99631bf2bf7f5298cf2fde0f94513bd61174a88fa9e82450b34903c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e94717b6edf1cc71f45140c1bd51ecbd1b6e731dfee73adfcaefc1af1ec454fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ec2a83f84ded530c51bb5478f09c5932cff899c5eaa149bb0d024ed74483e5ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f644233ec6b8f85890ad21fd35cf04fb3e215da8f905bfd6818a3fe5ad777248,1,1,0,0,0,0,0,0,0,0,0,1,3,1
