mutant_hash,org.apache.commons.collections4.CollectionUtilsTest::mergeException1,org.apache.commons.collections4.CollectionUtilsTest::mergeException2,org.apache.commons.collections4.CollectionUtilsTest::testMerge,org.apache.commons.collections4.CollectionUtilsTest::testMergeIgnoreDuplicates,n_tests_killing,killed
015f507dfc54d31ff90fd463d026aa31e2d80a4d0494a3385aaa6d0a128a726c,0,0,0,0,0,0
07215b5542e5471299c45bfb396df6483ded52ec31e7333e3b6a423755c30392,0,0,0,0,0,0
0793105b649c6fd30c1bda4f5bb82143bb9cea54d33aab898eb422179bf4d8df,1,0,0,0,1,1
155365d9b62c95533cd2b2b6cc7f1dac88dd104b7b32b0d94c3a5d09e6e2d277,0,0,0,1,1,1
29fe3bbb04c4fa8058986539ff2ea093be64cd64ac080186cbc3e1fd27c89cd6,0,0,0,0,0,0
31da97c84622b6b4b26ca8668b6af839a9b85cd0d7c987e6ac1951ffd23ba3fb,0,0,1,0,1,1
5af87c00bd34b1f723a66c222403d01fbc5c7e50ba4ee5383b16d0a2f50be817,0,0,1,0,1,1
6f6845b7ada923105d360371183206e6a72990ca5fedb2b1c95583d1728b59df,1,0,0,0,1,1
77f2e94f6bacaec535f4bc680b9af74e8425a54ae476dfe68f859e7aafd1944e,0,0,1,1,2,1
7bb6bef76527de67fa394619dc0685e6a2c1bc0f247dd727c7f551a73ca5ecfb,0,0,1,1,2,1
87c6d788397e70541f56634883fa76207ac45457af6b5a719a17ba081339dccc,0,0,0,0,0,0
89ea20b9c0184cc84c2bbaae2aafd15b3d0fb8a0d16e0e52768056cf20f70e94,0,0,1,1,2,1
8b63192fdbf9f540cb8781c4e2a195d42e79b58724d16f68763605f954daab04,0,0,0,0,0,0
961d789f38863fcb3fb551f685be6911cb9e418a080153305ad488677da3b7e2,0,0,1,1,2,1
962af2bc2bf1c3381d58418a36176b715e92df3939269fee39d0a45f578a26d7,1,0,0,0,1,1
966aea72f44ec60b687756e14222189397a050fa7e1c70c45272f4cf5dc8f6a9,0,0,0,0,0,0
a33f02260f824a83ea541cdf79d03938870091b2180383fc0e6ff3b1ce51068f,0,0,1,1,2,1
a99f0b1b43de41ebb3033462f58b9d38af567fb223871c6c54333e6e166c71e8,0,0,0,0,0,0
c1919f9955b81e8ad88ffbd38d8903d62f8406c7900bb64b55cdbe1ecd74e792,0,0,1,1,2,1
c55ad6bda948a1848a0a744c7912063611820039de67f2f4c1a5467e1ae3e0e3,0,1,0,0,1,1
c69ce879e984790db300441e2e1cdd1bd2cce457bb9d43ab701f64773ed63304,0,0,0,0,0,0
cbf0e9256d09a64c5d3dab503331e6192d9ec86a371583c1e17ac59601d90ba4,0,0,0,1,1,1
cd902b4d39ffffc73df28c151e8585e18f80c99230a890abe2c4a5f98cfb4e3e,0,0,0,1,1,1
e4e66993f063d3cfac9669811ff307397d60fef25929df1711aa49a5c3add380,0,0,0,1,1,1
f0e071028b299816ff1597f8ca61c7c51b6b9862b666957c1cf277a0e7f519a4,0,0,0,0,0,0
