mutant_hash,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigit,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigit_2args,n_tests_killing,killed
007db30b1ceb694f3da6da8a67c5d41a24569fa43b0442e6fc993ff507e644a9,1,0,1,1
16817010aad173d97d49a396b0f4b3e7700a7d75e1e3a179c9c93b5bc516828a,0,0,0,0
2009ea5645801048cb89002ae42fdabd0ccc90accf8b3e9887893b0fbba2cb34,0,0,0,0
266e411265df8c9a6f5daceb31b1957a92b787e03fa936cfc1e048e137c79f76,1,1,2,1
2e8e2eea99ac02b99f442682d9f0e82b4d3703ae79cef08148871046e956e6a8,0,0,0,0
2e8ffd47246f6e115057a87b31592525461e8f99c5431c2d124c802ecf84efad,0,0,0,0
436a876536160ee56ba3e270035d1858ce101f290b5b7992a04c0f6223c3e0f2,1,0,1,1
4a6905ce2c1a6d92314be2afd4f9ae1b3f21bed0b96245e443035c206378638d,1,1,2,1
5e67abeed3633df3f76496e73b3ba2907e668a3eccfa164d3ee07fbbef7509d3,0,0,0,0
61a760bfeac1abca051d620bc1a4fffdcc3d6c5490c3d0b8a49fa198378bfab6,1,1,2,1
6e3d295582f1049ee4b54bf66335ff11f8ba874ef9f905311d3467300f7884b3,0,0,0,0
6ea1d01ca7ad830b2536dafa08dfc7ef69affe3c63c0d5dd53c531d072957fc3,1,0,1,1
6f3665d01aa2080bb4f61eda398c0d52bf8368ef7279977d15a14a8f6f04b538,1,0,1,1
6f4d875244ef6a4106839d8857045d3cb49207a87479843fadacc6c68b7eaf34,1,1,2,1
817b02d8f4eb986f88ee12bcecdc7b7951073ce84e4588206456316ec1c943b9,1,1,2,1
86095c9e55a1391b7b9835b6824498548b5cab284e04e3130961b6c1496b40b9,1,1,2,1
891eef6af7b21237b5f3240554e26bdceb0400200d8bb4abaaaef7e1202da751,1,1,2,1
8ad3db5e6d67ee82f344c796a669c0f02e7745b36e8d184cb839f9c8c306d770,1,1,2,1
908e22b44a450d20dfd3b98ce63f572f83b8058e860486fd54f3c0ac7790f4e4,1,0,1,1
974b18948eb05774dfcecb9fc316d473e269938544d7f7ba2529c11ef89c7161,1,1,2,1
9ea7c629a90cb8b60057e1dd4a71cd07360bfa73010784a824b8d8c6882a8857,1,1,2,1
a8831ed7eaf64b34e2e59d873e4cde42842601a3f654c5fd3ea70b488179852b,0,1,1,1
acc313f9ae31cb9ecd5f34c88fdf8e187fce0690f2c56c9d6018dbe5ce59b15d,1,1,2,1
ba466a812435c8b3d5aa41d35003db804e7abfb98ec603830d6be532e6ef4672,1,1,2,1
bff1cd2c70debf61440d67c9859cfae3dc9c32b888e0cb39b8e2d679c66375ec,0,0,0,0
c6161cbf30ded3f29b66f7717056c483926fdc5d767958ca3473d8b85c5ab334,1,1,2,1
cf9a5fafac17c7ef6e8bdbc50cae281518c3bab80ec3b66ee149f4364ff91793,1,1,2,1
d0042b07ff93894153accc2254646ce22d9e7294617cfa87ddaf82293466bc0a,0,0,0,0
d72cfc58d03fbf0914c8b12cfee0ad05d0ec6d384aeb79c16042582b966ad5c5,1,1,2,1
d739a5f59d0b87cd4d976882c8739743fb92a06ceb252ef1f6bfd7d0ed479490,0,0,0,0
dae3b8888e6dd877f00531585afa137cad5f203289b8f64b9587309f390eefb8,0,0,0,0
dda20194dfec7bbf8bd51a58fc3bce663382238b69140d0449063106689ee20c,1,1,2,1
dfa16efb4551ba3280b927b02db1dbf818514ecbcda93d635bf40964d089be6d,0,0,0,0
e2ffc6f2bff85d7a30afc59ca639a671d6ce7f2b22babd7100014499a1583202,0,0,0,0
e6131ce7ac540d55ac563b649fa286a348df1f2dc74b81b62e9da67a20eb296a,1,1,2,1
ec0848e14fe0cca28993f23db8cdabbfdeb23defe5d7391b73980fca11f1522f,1,1,2,1
ed639436a55435f072d833ac41c9b75dd61e9aae0c4c896049144f06967953b3,1,1,2,1
fca4ca6dc8b4162cca17beacacd9b208ee0e5bc6a51ff3892fc2d073ef1f7e1b,1,0,1,1
