mutant_hash,org.apache.commons.lang3.time.DurationFormatUtilsTest::testBugzilla38401,org.apache.commons.lang3.time.DurationFormatUtilsTest::testDurationsByBruteForce,org.apache.commons.lang3.time.DurationFormatUtilsTest::testEdgeDurations,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatDuration,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatDurationHMS,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatDurationISO,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatDurationPluralWords,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatDurationWords,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatPeriod,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatPeriodISO,org.apache.commons.lang3.time.DurationFormatUtilsTest::testJiraLang281,org.apache.commons.lang3.time.DurationFormatUtilsTest::testLANG815,org.apache.commons.lang3.time.DurationFormatUtilsTest::testLowDurations,org.apache.commons.lang3.time.StopWatchTest::testStopWatchSimpleGet,org.apache.commons.lang3.time.StopWatchTest::testStopWatchSplit,n_tests_killing,killed
0c07d33c44af8a8334dfbec0201740ae20c11e95220cc7aa663aeb5607f4164d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207f2631043bf8d8c1c981c6bdd790f3c7d1694be6c7c17ba57203982d3b1c28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2de99b01abc25713d2ca3fa2d28946f6e7583385d0549b71ca3300647672ee41,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,6,1
40cfde0bfa373675147c81d28078bd38a6fae2ca5fd8f7e43cc7c0330697a73a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d2fe995a7544a8ed6125cf5f723433e5fbfc476f3963c7b3d2f3d486bc3d223,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,5,1
7d46ddfe25889320644a3e16b60d65a4052a72a3c4ab38605bb94a826f8087e2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,6,1
882a86b4b3a329a3cfc20cf90682bb94be5ae36dff7a8dc7cd06711e51e4bbdd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88527b0d21a04922d90f64a441b010e7e4bd46abe81b2a7c9865372669364766,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,13,1
9b7e3df54e63b2b924523ac8d888c2427af99c2e2d3dc9e2d8edf97942a69419,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,10,1
c1d17638eb65fe9d2e85d4ac384b99c5f28dfcc53ca1e3a773163b67ddd08bff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c6a407b209e51d8fcc6717e76ffc2cceecaee7cc06751ae04470233ecafc2c1d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ce8b96963b1edd012c98af75115ca199e4280d2f2fdb2d5e8d42b8d823d20fa3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d6387728797ae3ce424fd2a5a65ea9cdd3fe7c05cc3551e3f3e92801a32090b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,6,1
e16b78f2ed3dde04ad67c255ad540503d482480d46c14027cfd21057cd3b9444,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1
ebd661e95b2d43a3bbafb97ceb072b3e94ea173b2fe1d4e93b02c17518607ca6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1
f58b3f9a7c6f309f497fc026768ae9d5cab929610d464f94b6ce26cbe0790afb,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1
