mutant_hash,org.apache.commons.csv.CSVParserTest::testBackslashEscaping,org.apache.commons.csv.CSVParserTest::testBackslashEscaping2,org.apache.commons.csv.CSVParserTest::testCarriageReturnEndings,org.apache.commons.csv.CSVParserTest::testCarriageReturnLineFeedEndings,org.apache.commons.csv.CSVParserTest::testClose,org.apache.commons.csv.CSVParserTest::testDefaultFormat,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,org.apache.commons.csv.CSVParserTest::testExcelFormat1,org.apache.commons.csv.CSVParserTest::testExcelFormat2,org.apache.commons.csv.CSVParserTest::testForEach,org.apache.commons.csv.CSVParserTest::testGetHeaderMap,org.apache.commons.csv.CSVParserTest::testGetLine,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithCR,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithCRLF,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithLF,org.apache.commons.csv.CSVParserTest::testGetRecordNumberWithCR,org.apache.commons.csv.CSVParserTest::testGetRecordNumberWithCRLF,org.apache.commons.csv.CSVParserTest::testGetRecordNumberWithLF,org.apache.commons.csv.CSVParserTest::testGetRecords,org.apache.commons.csv.CSVParserTest::testHeader,org.apache.commons.csv.CSVParserTest::testHeaderComment,org.apache.commons.csv.CSVParserTest::testIgnoreEmptyLines,org.apache.commons.csv.CSVParserTest::testIterator,org.apache.commons.csv.CSVParserTest::testLineFeedEndings,org.apache.commons.csv.CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,org.apache.commons.csv.CSVParserTest::testMultipleIterators,org.apache.commons.csv.CSVParserTest::testProvidedHeader,org.apache.commons.csv.CSVParserTest::testProvidedHeaderAuto,org.apache.commons.csv.CSVParserTest::testRoundtrip,org.apache.commons.csv.CSVParserTest::testSkipAutoHeader,org.apache.commons.csv.CSVParserTest::testSkipSetHeader,org.apache.commons.csv.CSVPrinterTest::testParseCustomNullValues,org.apache.commons.csv.CSVPrinterTest::testRandom,org.apache.commons.csv.LexerTest::testBackslashWithEscaping,org.apache.commons.csv.LexerTest::testBackslashWithoutEscaping,org.apache.commons.csv.LexerTest::testBackspace,org.apache.commons.csv.LexerTest::testCR,org.apache.commons.csv.LexerTest::testComments,org.apache.commons.csv.LexerTest::testCommentsAndEmptyLines,org.apache.commons.csv.LexerTest::testDelimiterIsWhitespace,org.apache.commons.csv.LexerTest::testEscapedBackspace,org.apache.commons.csv.LexerTest::testEscapedCR,org.apache.commons.csv.LexerTest::testEscapedCharacter,org.apache.commons.csv.LexerTest::testEscapedControlCharacter,org.apache.commons.csv.LexerTest::testEscapedControlCharacter2,org.apache.commons.csv.LexerTest::testEscapedFF,org.apache.commons.csv.LexerTest::testEscapedLF,org.apache.commons.csv.LexerTest::testEscapedMySqlNullValue,org.apache.commons.csv.LexerTest::testEscapedTab,org.apache.commons.csv.LexerTest::testEscapingAtEOF,org.apache.commons.csv.LexerTest::testFF,org.apache.commons.csv.LexerTest::testIgnoreEmptyLines,org.apache.commons.csv.LexerTest::testLF,org.apache.commons.csv.LexerTest::testNextToken4,org.apache.commons.csv.LexerTest::testNextToken5,org.apache.commons.csv.LexerTest::testNextToken6,org.apache.commons.csv.LexerTest::testSurroundingSpacesAreDeleted,org.apache.commons.csv.LexerTest::testSurroundingTabsAreDeleted,org.apache.commons.csv.LexerTest::testTab,n_tests_killing,killed
0547eb3552243a45ff81b1633fd17247b2cbdbbcd5b82e773976fdcba76bc671,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,36,1
0c2c7361ff05649139e7e72178c42bea9f42f5a84ba5dc24b453c010c2043e70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0edf95706066207a542be0a5e8efd07a4a3dd7bb3a329dd25f4ede49f6a54a15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,1
18ef4d0c31e88ca714e5d6345388524710706e6dec5c9964fb7884f83a2bf525,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
236bae016eb8e73feb257f41dff5ddb0a48e02278c1dbc53ccb1d45f51b4807f,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,37,1
27bdb33eda1be93b80e838fd0bd7faab7dec131d7cef6509975cb0518166764e,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,48,1
4c1a267d4b1808884b51fba94baf94c037058df14cb262b53db33b53adfb127b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ca1b68eed77743aa76790cc96ab097481dc70147f1169db2ac5414d616b2099,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,11,1
542a4f7a0b4ae1c0be9eb782cc4549693f4614cd15537846a5402caeb27d3fe0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709bd89363b22f7cd828984840a56ddf71b909bc4c778954f3acb3675067b43a,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
