mutant_hash,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAllChars,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAsciiEncodeNotEmpty1Letter,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAsciiEncodeNotEmpty2Letters,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testEncodeAtzNotEmpty,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testEncodeGna,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testInvalidLangIllegalArgumentException,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testLongestEnglishSurname,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testNegativeIndexForRuleMatchIndexOutOfBoundsException,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck2,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck3,n_tests_killing,killed
00effd7f38d16c9809e08efc601cfe472508e109bd1691fec414f36557aea5ff,0,0,0,0,0,0,0,0,0,0,0,0,0
12a98e34579fcadfb7392017fd613d36b27ba6b721814eb16af53db796ff71e3,0,1,1,0,0,0,0,0,0,0,0,2,1
19577d531998a3ebe3f1739f9f0213245f112943f3bfee6411df11fdd22f2a80,0,1,1,0,0,0,0,0,0,0,0,2,1
19d259dee2884302e4fdc38f19fd61e754b5124900fc90786886ec3d22c86089,0,0,0,0,0,0,0,0,0,0,0,0,0
1fad54a63075d8400a99a6b3466df3cee3be5bfa9909036a0be597c1ec33ab95,0,0,0,0,0,0,0,0,0,0,0,0,0
3542bdec9dbab21babfcf892152403d79a8ae1a6ff91c935999ee56b821ab7bf,0,0,0,0,0,0,0,0,0,0,0,0,0
3ffc08ea2222b59132abf1ad7027da5175ef375bdce9fe0dc07bf9ffcfd38eaf,0,0,0,0,0,0,0,0,0,0,0,0,0
5e7bd6926fdbf4c41b34f16cebea9d76293149873169938617aea13af8b965bf,0,0,0,0,0,0,0,0,0,0,0,0,0
6a2dc00b79e37304c1731fa2ac0e9e4beeaa2ec798b2310e3189da2d729cebc3,0,0,0,0,0,0,0,0,0,0,0,0,0
7313fd0c98d642a8fd2886eb22d4f86fa0793e0077f9c3b827ccc7a9da20c94e,0,0,0,0,0,0,0,0,0,0,0,0,0
807d7587d13d7bf36247202445735f3fe5341f990c35faf30a2b2b1b3a66f282,0,1,0,0,0,0,0,0,0,0,0,1,1
9cad365f5dcdb399436ae9ab450a07c5f5b2d24567e2315eaf270113daed265c,0,0,1,1,0,0,0,0,0,0,0,2,1
9d217bae703d7a26abc5dd79be86e43267578bc004b268322a4a1ddbfd525e4b,0,0,0,0,0,0,0,0,0,0,0,0,0
ae739efd056a6fcfc651d82e8ff708a2f5f49e506edf9f4c2394ee10ea20d76d,0,0,0,0,0,0,0,0,0,0,0,0,0
bc871147b217e030d558dc9510dde30fc9ee3499a1b58a40d66d767d835792fe,0,0,0,0,0,0,0,0,0,0,0,0,0
c27e1ca056a7ca27ba6476a9e6ffa54b7d561e3f765a2811657959c4dabb4f84,0,0,0,0,0,0,0,0,0,0,0,0,0
d88cdcf149c081db5988dd2f9f6c21c83b7957cae9934625fe2671dd476f1f38,0,0,0,0,0,0,0,0,0,0,0,0,0
de8951deef13455952a85928f80a47457216aaf5084de943e76e10793a222531,0,0,1,0,0,0,0,0,0,0,0,1,1
