mutant_hash,org.apache.commons.codec.StringEncoderComparatorTest::testComparatorWithDoubleMetaphone,org.apache.commons.codec.language.DoubleMetaphone2Test::testDoubleMetaphoneAlternate,org.apache.commons.codec.language.DoubleMetaphone2Test::testDoubleMetaphonePrimary,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended2,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualWithMATCHES,org.apache.commons.codec.language.DoubleMetaphoneTest::testSetMaxCodeLength,n_tests_killing,killed
0d3052d91d189ae294ae8d631cc659429a60af97fc1a19e899667a8070b62289,0,0,0,0,0,0,0,0,0,0
17872204c76bb4632137f4feb4863a8dceb7f36d32efa6413376d53a37f6354d,0,0,0,0,0,0,0,0,0,0
1e650097c93743563b3efaa751c091c4adc96b12d0f6430bf956a231757c5463,0,1,1,1,1,0,0,1,5,1
23a6d487e36fcafe815cb4eb634e5e3041f6ae65d4cf39c79ec80fa151afeedb,0,1,1,1,0,0,0,0,3,1
31da05729444521d2919f5077eb051ec7e2b339ebc0263386866e2efcc9ba0ef,0,0,0,0,0,0,0,0,0,0
391ad5b47db3f6c44973766419f4e830937f0ec02acdb28e5db80cbedf0a0216,0,1,1,1,0,0,0,0,3,1
3dce2ed0519b950d2daaf645527fe0e958c36ae634ba5bd5912ea8dedbbddd85,0,0,0,0,0,0,0,0,0,0
592c7c22ee574f016274175cd60a9e7f074dc84d0752386739fc3bcd021c1786,0,0,1,0,0,0,0,0,1,1
5d14264f7f9342af226deb993d2f9fc3cb723b9500b81e0073e3cae76ebb4c4f,0,1,0,1,1,0,0,1,4,1
7732a3e8d98d6babff9d925b22ae1d74c1a159097502e68313bfa91410cbc98c,0,0,1,0,0,0,0,0,1,1
775f341859010e7618e65503440e100efd4740d74b6d2373ef783148c73c74c2,0,1,0,0,0,0,0,0,1,1
8ddc1aead76a71639e7e7576a7fd7fdb3a84567e39bba3930a4a7232942230ce,0,1,1,1,0,0,0,0,3,1
91a69107cf557aa204deef98883cb8957c0767c102562c9ef0e96c9e5b33cd38,0,0,0,0,0,0,0,0,0,0
984cc5adc3f670acdbc5714bfd31408fadb8f7d986ad201adfb771eaa1436a9b,0,1,1,1,1,0,0,1,5,1
9997f632dd47f0efaedb9a57772de1739c0117dbcb1609b817c7aae4931887d5,0,0,0,0,0,0,0,0,0,0
bae17e0567420220f09d5ee9b4f586d710277d66259f7c41a2055f05a9f6f85e,0,1,1,1,1,0,0,1,5,1
bc8b893042f9a35b052468b6bc4070a1b04c9edf31c44e2e14031d0715b2182f,0,0,0,0,0,0,0,0,0,0
d5074e6f0d52cbb622f50af3cbcfd0519573c729f4760497773476554ceb0962,0,0,0,0,0,0,0,0,0,0
f0edab3eb5950af653d5315b8ee683894fa77b5d7d75a8da1ac9231fddf60698,0,1,1,0,0,0,0,0,2,1
f473fa0b4b57c4cc00524d2fbb262cdf0fde8417422d1cd1c3861b20f7814f5c,0,0,0,0,0,0,0,0,0,0
