mutant_hash,org.apache.commons.compress.DetectArchiverTestCase::testCOMPRESS117,org.apache.commons.compress.DetectArchiverTestCase::testCOMPRESS335,org.apache.commons.compress.DetectArchiverTestCase::testDetection,org.apache.commons.compress.DetectArchiverTestCase::testDetectionNotArchive,org.apache.commons.compress.DetectArchiverTestCase::testEmptyCpioArchive,org.apache.commons.compress.DetectArchiverTestCase::testEmptyJarArchive,org.apache.commons.compress.DetectArchiverTestCase::testEmptyZipArchive,org.apache.commons.compress.archivers.ArTestCase::testArDelete,org.apache.commons.compress.archivers.ArTestCase::testArUnarchive,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::aiffFilesAreNoTARs,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::detectsAndThrowsFor7z,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::shortTextFilesAreNoTARs,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::skipsPK00Prefix,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::testCOMPRESS209,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::testDetect,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::testEncodingInputStreamAutodetect,org.apache.commons.compress.archivers.DumpTestCase::testArchiveDetection,org.apache.commons.compress.archivers.DumpTestCase::testCompressedArchiveDetection,org.apache.commons.compress.archivers.ar.ArArchiveOutputStreamTest::testLongFileNamesWorkUsingBSDDialect,org.apache.commons.compress.changes.ChangeSetTestCase::testAddAllreadyExistingWithReplaceFalse,org.apache.commons.compress.changes.ChangeSetTestCase::testAddAllreadyExistingWithReplaceTrue,org.apache.commons.compress.changes.ChangeSetTestCase::testAddDeleteAdd,org.apache.commons.compress.changes.ChangeSetTestCase::testAddDeleteToOneFileArchive,org.apache.commons.compress.changes.ChangeSetTestCase::testAddToEmptyArchive,org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteAddDelete,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteAddToOneFileArchive,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteDir,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteDir2,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteDir3,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFile,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFile2,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromAndAddToAr,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromAndAddToJar,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromAndAddToZip,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromAndAddToZipUsingZipFilePerform,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromAr,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromJar,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromTar,org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromZip,org.apache.commons.compress.changes.ChangeSetTestCase::testDeletePlusAdd,org.apache.commons.compress.changes.ChangeSetTestCase::testDeletePlusAddSame,n_tests_killing,killed
04261ee4dd9876fcb9e2c3f3e61509a2fa550e73930465aad4aa6a8a5b9c96a3,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,28,1
0da74774a1cdf18487452f1eb3cdc64e50fd393f902c474b2403efe587ba1f9f,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1
212f2cb16c494a1aa71730622cd555a37bbdc9decea8cfc1e54017247fc2b956,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
241f8873331904254de948439ea4fd9150325db70459002c43ebc069ad1bdd05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,1
2527dc122bd36f8eccef8e0f640c648e13743be46617b0bcc8f0a5c977dc6522,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
3530fd7017b9d898578612fa95b2e6a1f4b92726ac7fa07404eaf43f0f3944f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3df2239dee6407c7ebfcade9e2fd06ca8aae396428efc90281006263d9066f60,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,1
5f68240f371651467fb8bb9990a5a645df8455202aadbbb8fc17432ab01a73d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
6aba76d914f0f53618a6162c2266ded5229495db89213047a6f0dc319647975d,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,1
6deca58655bfcd825bc815f605c3e308c6f57cc6fd4c9d9e94686e7ed7fdac84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
774f2c41b5c740735a113cbd188a4b1c3899b63ec73b55b591945131c359e066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,1
8d65c6dc1a067fd5ff07fee6f73c822d9be0111935cc9b59ecf21c571c3190ae,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,1
979456b7196399efdab8e818ac92126db3cf039761e3461b122133e9a0c1266d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9c3a4d59fc898f3955f241b187823c1dfbb0136f4011903baa3e8fce2b441c3b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,13,1
9c606c90defe77e6b2645a2f450e0b349a4ac3ba4576ef3c406ba98b214101fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
a36748b4edecb850865e946058ac3b7b9f4a58b8e0fb3832097e4abefe1329b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae6713c07b2d6d64ae64f7bb84f4cde92eaecc53bfbd4279b5dab6aeacb5e5e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aef66bed150ad626bf82cf07656c0a4bca642d64f8757ff96f5061154d7dafe3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0016764fe3602399fa35f2c384836741a09fbff61a44973de7ff34a6329bb68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba5da29d38c8d5acd2be3fc1701eef48b9e60f2b0e096295f8a424b99cd3ef26,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
ec6eeb720546304d237b3ee3c7e602acda93d3599b5495109f53c04bd4bc0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eebffb5b1577a75c6f517355e60e057cc671a3e69d4e926a82184a0742b2f2c7,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
f0d68b0ea9ab55e03454b6cef1dae3a4f0a8bcd70a6e7c1c28e582fff74810e4,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,33,1
