mutant_hash,org.apache.commons.collections4.map.Flat3MapTest::testClone2,org.apache.commons.collections4.map.Flat3MapTest::testClone4,org.apache.commons.collections4.map.Flat3MapTest::testCollections261,org.apache.commons.collections4.map.Flat3MapTest::testEntryIteratorSetValue1,org.apache.commons.collections4.map.Flat3MapTest::testEntryIteratorSetValue2,org.apache.commons.collections4.map.Flat3MapTest::testEntryIteratorSetValue3,org.apache.commons.collections4.map.Flat3MapTest::testEquals1,org.apache.commons.collections4.map.Flat3MapTest::testEquals2,org.apache.commons.collections4.map.Flat3MapTest::testMapIteratorSetValue1,org.apache.commons.collections4.map.Flat3MapTest::testMapIteratorSetValue2,org.apache.commons.collections4.map.Flat3MapTest::testMapIteratorSetValue3,org.apache.commons.collections4.map.Flat3MapTest::testSerialisation2,org.apache.commons.collections4.map.Flat3MapTest::testSerialisation4,n_tests_killing,killed
039317c445cda7065db3ff788ebf68fb52942a22d48e8dadd496ad378803b754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07ca007404b6d125e134488f4c67349963c78cad9b191f6890fddf519780ccc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0966fb2b06c825ba8e91fbc0f938d5aa7703587be6e4c58a2d659417a5d4cfce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09f9edc867b9ae4a23e4140b153d76bf13a6510eebf6206b8b885436f1d4b2b1,0,0,0,1,1,1,0,0,1,1,1,0,0,6,1
17898b57f515a9c25d996c4b0793ecc0268de8590e197554458900866dbe495c,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1
320d7721b1666eecdd22a71c13675b0f4be7c404a7c106b71d22a04106ee9885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32e742bcd85535c1a09da94256087ec2da913ede3dd635c4c831236be1acefd6,1,0,1,1,1,1,0,0,1,1,1,1,0,9,1
3370474d6cf85eac3c65b3f9d023b18ba80ac42d1e699a4dba55798cfa99f904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363d28f2176a5689fbbafe89a293a40bb71549e5cc4cad918ad7082cf588fa84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a90020775c1118fc15a01ae3bfab1f9164d3851d91848cea5577f40dd435e90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42109ad350fe77a85c5d0fc733218fd67de78c4f39aed0557fde67ba74ada8ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447182b4fd12eb0d7724858daa55ce3e59ba2968dff0a11289b3f8f7fbff4f20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4891d59e386d65ba14ee7ff6fc43150346ff805cd71a5161d370f6c0d96be651,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
5d24ba72f8dc2d49de3f4789b81d97a4e3606973f031cd054f3f071b1a631a69,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
63d7a8f49ebd12ce5a5657356ce527ddb681b925270b0e32a010655c08c74e2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6830f6463cfb1b3f5d7dc59db865f217a38f3d5d82e9bc2c145da25a30eee68c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6997d88d22db7ef30be368fed5131ae90445a3eac46a886d1c7a0234d33a9b69,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
702efb3d04390b9298df3ed36a223185c87a33f11ad9faab493983f6ca562a63,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
7b2222d41f95bdad76ed1281f70a4e096b3d3c6899ff45ba5a91c5c524d714a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826bff5782393d5105c1a554680b6c8ec1d37391d9eac0417f3ed6a3ec41e6d1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
87883ed18f3918d065a84904a47acbecb03a977fd679c5a23bd5f4c58fafe39a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8c1c4e18e8b0f9b0ff785c22fa0acaf1a69e7c74c27c42e194766dc9995015bf,1,0,1,1,1,1,0,0,1,1,1,1,0,9,1
95412c2189f354ff22cfd2efabc9a2b815446c8989c44be957164126d8341a6b,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1
978dfff4078e481ec50854b26bc326649b0bf7cc18dd6d2414fc69a6f29995c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99d7de5d8b94235db8134a088377117b85c6da25f1fbf1c89e62d40eb10033d2,1,1,1,1,1,1,0,0,1,1,1,0,1,10,1
9c2a7da26b15aae5512648166b46acc21ccf3f91460b5d198846adc20bedc8ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a598735ca4ee72c2aab477ac6482ff19c6c9afebbd97901568a4a789c0ed4a11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aa9f40fe4e6643873de70c5360c69f7f5588d8037b53aa91f6bc6c46f503db86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbabf95860673fabeee3b11a346aa07839608c60d93e765b5f84467c71dc1e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c59a603629ca3a00aa5846a27a7393c177f232f57ae7148837bd2970e7189a51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c9cb281f65421742460c52de3167d67a763a87ee0f1b21a96401ddfe104fa70e,1,1,1,1,1,1,0,0,1,1,1,1,1,11,1
cc25ba29b0fce8a788746ea51316721c780674ed83e064d558de05a1d582f7be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d62cc99dde320abddcfaed7ecc928dbe3942703bbaf79a5db11732c53c7040a2,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
