mutant_hash,org.apache.commons.collections.map.TestFlat3Map::testClone2,org.apache.commons.collections.map.TestFlat3Map::testClone4,org.apache.commons.collections.map.TestFlat3Map::testCollections261,org.apache.commons.collections.map.TestFlat3Map::testEntryIteratorSetValue1,org.apache.commons.collections.map.TestFlat3Map::testEntryIteratorSetValue2,org.apache.commons.collections.map.TestFlat3Map::testEntryIteratorSetValue3,org.apache.commons.collections.map.TestFlat3Map::testEquals1,org.apache.commons.collections.map.TestFlat3Map::testEquals2,org.apache.commons.collections.map.TestFlat3Map::testMapIteratorSetValue1,org.apache.commons.collections.map.TestFlat3Map::testMapIteratorSetValue2,org.apache.commons.collections.map.TestFlat3Map::testMapIteratorSetValue3,org.apache.commons.collections.map.TestFlat3Map::testSerialisation2,org.apache.commons.collections.map.TestFlat3Map::testSerialisation4,n_tests_killing,killed
0e5f60805bbfd25e39f443f1c0c6884cec6fceecc08e59fc004a6b24cfe806a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11c9d856f584f52791f55b176011e48b7079d8155851fe33765c9bd8120aaac0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13821b32569e9fd980c65cca9b4363f947827c3ac67dad045f132927b78dad79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a100563cc6daa81de175b280eae9b2894eed3127b2865a8552ccdcb55d9ddc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a9af37f1421a4ef391d44d0e9eb2817dbb81ec74e6593112641935dad50de05,1,1,1,1,1,1,0,0,1,1,1,0,1,10,1
2a9c124929c745e26914475056b00478ebdccf8f1e1b67e81d064c8f3b3190e8,1,0,1,1,1,1,0,0,1,1,1,1,0,9,1
3ae427d4f3d49f6ae42f799bbd8a3b8989bf5dcdadeffeb02c621e8cdb84371e,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
49a11a54662459b8f072165415529861de960f5ab9092ce560df354f400b1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61b85d5cc8481ad6960adedc281a12c817371060d6e58a0f002b8b9aab3030b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63c7c3e7368232d564b0fa069fd3816880dda874d0e47d4331778e346af5271d,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1
649d756da424fda802ee95f7e0f605dda027eb676a4f2150f6c2493472659873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661966dd9740b5410694bc58579994658bee4419cc01bdef10ee1272c771f7fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666b98c7468bee4b80385a677a14062d9730116e37b64469951ec88dfcf31985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6a6c92557525accbb163a51f0dddb97914f5701a772bd55213596a83e567bfbf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7443d0b63cc8078dc84902019be9b792a7e4007c7d1ef653d6da21b0393edac9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76dc7a0aa154e9a8853d3b43a8d240068180d07538edbff01d8663ded0167cf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77d32eed700c57ba06211b77909fec91311ffb8012ca4deb729296cb9ceecdf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7b1131367ad5b18cbdf6cdb140cfbc088ce73ac275cfc92131212f197a8e9753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843329ed47f77c672c464694be7cc15c847951e62405921562313856a79fedfe,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
85af71228b72b0041a02937f89e58f27b2c88c2ee36ae2e477f8ac6107062f58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889b2c8f0472226c12baa546dd5b1d9d754431e6504d9527a1e78e48b421d63a,0,0,1,1,1,1,0,0,1,1,1,0,0,7,1
8913d59552d05db71ed7123bd62de0711a0a461145a54ad1dea2b0cd669c1f5e,1,0,1,1,1,1,0,0,1,1,1,1,0,9,1
8a3ba25c353ee551e781cb853eeb7862320b2c872c0e31d96bd0d50578944ef9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8cf95905bac0290b96ec429a86ebff156ad674af1e847ce211ff1914744377d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab7f000a10af22d05376e9434fd96cfba11e13bc59cee5369a6e8d40c739a913,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
acf75a65f1b443a25970323f123451ee00227feccc112b65132b544e3f5e7b51,1,1,1,1,1,1,0,0,1,1,1,0,1,10,1
b5bb47f7e490c843f80c45fa8d833d4322ec4b298b64bc2e524b52872ee742d7,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1
b5f882c8284b261c2f245246b9e4260c0405469e901fd386a085d2e04db89235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7d7a3bf31b01201e4f7fd631f919f8f5ed4687a3acc2d094dddcea9f1db7097,1,0,1,1,1,1,0,0,1,1,1,1,0,9,1
b961922d5749093504ecc9c7d9bc1d25929d262fe19a9dbced36b9dee17246a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c2600c62e7f5934f581efc243234ca2bb9a0892629dee658764420f19b045e9a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c650a182b4b224fecd008328cfbad56f2484a803ef249ef3ff731f7988ddcacd,0,0,0,1,1,1,0,0,1,1,1,0,0,6,1
ced0ad0a1978a1e04a81539019e554dd528b412f2fb7aa9d0a3d2e7c0ebcd135,1,1,0,1,1,1,0,0,1,1,1,1,1,10,1
