mutant_hash,org.apache.commons.compress.DetectCompressorTestCase::testDetection,org.apache.commons.compress.compressors.BZip2TestCase::testBzip2Unarchive,org.apache.commons.compress.compressors.BZip2TestCase::testBzipCreation,n_tests_killing,killed
00780ab384da5f56027baeaa65305891da648d0d1490149a2e946d0e3d9e1f83,1,1,1,3,1
0628251e5043d334371746b6ea8b2de5fe9dd64bc726872535892e88ca95c28a,1,1,1,3,1
0bff078e81116164624203b3a155d299099d9b8b9bd57729e2ed90cc310aa30d,1,1,1,3,1
0cfbdbdad09cb406eca1ffaf114fdb94239b05d96f72ca13c8efa6b93f30adc8,1,1,1,3,1
0d743deb1a100f880c47f2dc4dd0d112a0c09ec1634314db0b2f325c41ec858a,0,1,1,2,1
196cebe2f159884b87eded5e6b42d1a38a0ee713c124964f9b3441a34f042684,1,1,1,3,1
1c12b24334f3eef66f42c9e4b1dfa8d38001d0c31e3329c5f5f44dab02d126a0,1,1,1,3,1
2f3c0d96c11a0f5ca068cc94c56139752432d834b0b33b82c6f1f933583dc0b5,1,1,1,3,1
32f7f765d9d8445b3acfc30474bdbe850f8ac54fce3e7981e6f81b52ba060dd8,0,0,0,0,0
34563c63dc1084a4d253d14dced11842bdee6d416bf1628ff6d42ebd2a6164a6,1,1,1,3,1
35323c891d5a66b0396f37fe684a9ed6ac5646a44b5f2a28682c0844cc485f69,0,0,1,1,1
40b89e58e67a8342d11173ab7e0e32f500ceacceec99f3357143edeb14083a82,1,1,1,3,1
4206a11a48eab87e7e7bd048e96e20ae267a4075c7073da71f6dbd29df139e8e,0,0,0,0,0
47e3c8bc45b948f0f97ec772fd38566eec6e981f0a615074808ef4dffa1172b2,0,0,0,0,0
53d8aef224d4e74e71f558a48aa34406571481d67fcfe123e97c3e76afcb3f0f,1,1,1,3,1
57bd807d77ef8403cbdb78b23a491653643a01f8bccd9c34dee4ef2fd04d6f73,0,0,1,1,1
5af81eef2d079bd5cc02c9dfec66439d1c3725525ad168378afb611be3725220,0,0,0,0,0
5caee282dbd53a4a71b0f2d341e443090bd47bd6fb94533443821f34ca94c66a,0,0,0,0,0
5ddcc57cc8fb769f19df3b453a5517b8c0cbcdc618852356626097c17ee37844,1,1,1,3,1
604375f62b2e62ede3fe29b51b1c60b2ebebb772a107efa8f8b8c7abcd645466,0,0,0,0,0
62767d7856cce13b588809b0497e61c2e6a2fe49a32c15fcd4b1b0b922c574af,0,0,1,1,1
6dc31c7311a1ea435500f58b6d88e9b875a3b5a063f8999249d9842263c421de,1,1,1,3,1
6ff436cb0dea37cefefb65ee02f1630209bedb7242dc4c339439736cf20509d6,1,1,1,3,1
70e43e5ddbe68a21202d285fc2d7b8551116ce4cc89b2efb27e4da4360b87d94,1,1,1,3,1
8b6f2a8495528757ec957264122c838e017c115210c1069aa791832809e22fad,1,1,1,3,1
94f3f029b250d1eab589e6a1bda43e488c10d4a4bdd07fa21b1d825e98eff111,1,1,1,3,1
953d59c61b2f74a14f37f385d414aff7ba368f16e806db4486f04dd06d1edfb1,0,0,0,0,0
95c2035f0c91bfe0de8e7ab87bddf88e45721099468a8f53b2ec6a6e3b4fa466,1,1,1,3,1
97b34c3cf98edcb987865c9928c748c8e4a827055b4b04c6cee42fa9c36de062,0,0,0,0,0
9efd26f7c9c2f148cc061758f5b7e281a2e1955fa6790372a40aa896dcef56ec,0,0,0,0,0
a02ec68f51ea4b53258fa38572345c57e33ebfcc8587a3d4c670bdd6c5d1be85,0,0,0,0,0
a151d5b304a9385c5fbd40d8a7a1ae5bcf4d05f3cf8c3de4cd2c6594901cda80,1,1,1,3,1
a34608131fffa29cea8540da8bf66a08952d57fa66100f77b081388ddf28c188,0,0,0,0,0
a6993ddf50e0738ffdf5ac6f2500eb2559433b1329750ebd7e276ec765187763,1,1,1,3,1
afc9e22efb3f0ab5d7c7c42cc52218e2534f702564a55b9f7b5ed72073992b55,1,1,1,3,1
b06e8783decf22e47391a62727a49b86baecd68cf4220b75875ed4a9a5df89c1,1,1,1,3,1
b485537c646f50b590a58ffa3f44ed988d34494116a502eef72fc74e20c0595c,0,0,0,0,0
b61aaa261e37eae7f4edd16a751958e5a4f79074a8ed8a3a09527ec2e82f3852,1,1,1,3,1
be4755087d16a5a55074f22e87f9e436578d2430faf2c2033db239fdbe6b2520,1,1,1,3,1
c1d6d65416a1433f2b6ecf446c24a89c2a3a928c57259c91e38b7cc6c6fdf404,1,1,1,3,1
cb41e1d248994a8a5cbaa04f5824c1da226570c36ac5b616ca77add703ca3b05,1,1,1,3,1
cfc5b606149c6f5d7a11b78126789eda05933dee9c00b002e62e96376ad3bb52,1,1,1,3,1
d1b6e982ec098afb86b3705c42d5969b93b45110b9da09518c6cc7582e73f081,0,0,0,0,0
f834ddf2e18516b8cf87287f995a953cffee710dc24b4833e958bc1e3231d786,0,0,0,0,0
