mutant_hash,org.apache.commons.codec.language.NysiisTest::testBran,org.apache.commons.codec.language.NysiisTest::testCap,org.apache.commons.codec.language.NysiisTest::testDad,org.apache.commons.codec.language.NysiisTest::testDan,org.apache.commons.codec.language.NysiisTest::testDropBy,org.apache.commons.codec.language.NysiisTest::testFal,org.apache.commons.codec.language.NysiisTest::testOthers,org.apache.commons.codec.language.NysiisTest::testRule1,org.apache.commons.codec.language.NysiisTest::testRule2,org.apache.commons.codec.language.NysiisTest::testRule4Dot1,org.apache.commons.codec.language.NysiisTest::testRule4Dot2,org.apache.commons.codec.language.NysiisTest::testRule5,org.apache.commons.codec.language.NysiisTest::testRule6,org.apache.commons.codec.language.NysiisTest::testRule7,org.apache.commons.codec.language.NysiisTest::testSnad,org.apache.commons.codec.language.NysiisTest::testSnat,org.apache.commons.codec.language.NysiisTest::testSpecialBranches,org.apache.commons.codec.language.NysiisTest::testTranan,org.apache.commons.codec.language.NysiisTest::testTrueVariant,n_tests_killing,killed
1a8075b21c94dea248667b400764b64b6b56b90833b158684556f7b22b1a3a40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1
2bd326210989b4a3deb432428c855467a008271918a795d9c617e069e45be4c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32c8ef061acdb394865764832db530c356044624614a96e870c3d5ca199ae2cd,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
34caab64a8d9a37989008d8f3eea71aa988306ae8188d4642f856c2a42e9c706,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
37aad11f35f2ead13ff57104263a569b858b4abfc979abd3588ab61af3da25d1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,18,1
3cb87c6ca2d3c115fa5dd2ea3393d097e42ebda970f55af106d9cae18962a85f,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3f2b5c41f19095cc0bee90ce87dbc1e84ca2168463522fc29b1e6a0fdd388583,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,16,1
3f68268c2441052852c28978bfc67d980372e5b3d53f529414c95718b4218505,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
4286f8419838368d4623378ba89e626807029d9324bfc8ba72e94f8f38ca98f4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1
438ee237ad2b5d2d8867d78583c478e5b6d4128484e928a530e345e52a9e4801,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1
43e46a3a2223727ec1a643c85e4da1b59f55932820ab4489c062c3d956c47624,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,14,1
467717285657b7d856c2b02c4f4c8448e2607d6a273f7f2b2446d6a9b9e8767f,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,13,1
4a202ec62ff7a7bb0f20c5ba9abb2d7f7158f0d3d630e97db9c779051410c0c3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1
4d86217265cdbd4427faf81ad013cb6ee2a4b19a40a9e1e0f5e08171413ab731,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
58440ec1260f37e720d2aa32bb859e0c08a8e7c3dfef47ee568290e8d6acd412,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
590a76deb410dfe75b3dc3ed3f95f4c23ed7bda0440508331f544fa6e8d17ea6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7c79a7d48dfc13982c1f7c9d788ab8efb64cda9b62b192a14e148942729cbc52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7d871a02c38f6b2425d29967ce46d981b656ee3a04b10c603bf7071d4a95667f,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1
7fbbcb907fcb2f59a7ff946c50d6e5c8035ddd8570788462baf8be7ebbf7db21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8fc3d045b21bbd6b0c532b76a94db60c039191257b0b3b359c657c89ca74bdb7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
95109bcecaea7007dfd16b74b211c136f3dde8be9890bd0328e742ff851cefd6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
97aaf03ced4f667c7e308afb3c1cbd78ec6a4ae5eb53e2a4f69d6f2dd7b29090,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1
abf93f25714849ff855319ec36301ddc005aee6baddaea18b2c7390987a8d6fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcb5ce16532c55b23f230846fcdcd98d65d601b3edc56d0b106105e273130ca3,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,9,1
bfc1feb5883db606fd9be02a443176c2d67b9eb1ed3a9f2b4a36dc79ff61818e,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,7,1
c098a53d6b12d69df16e62e269963505ba391ee78f61e61d6ded89f79a94e38f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1
dac1cc4b07b4dcec027614f7003f93808ede4b87a1babb05a0a614bba047cc54,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1
dc01117883f2c94311b8c6bfa8aa39b4df1e9e751d72b64f3b73b247cc868092,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
e885b1d6b927155803fa2c87d8e4bf563fe3d52e7b1b626886803de5f605b887,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,17,1
ef3ccc28a74d607e7d586e86e67f728a54ab495dc0a25455515cebe709867919,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
f5f21c577f2b8a6635886d4fca4740286c265d85ceccfdb31629f650d1ed9c48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
fd2ba820f250944a1dc6c1142c418fa2f5ea4ce209d69fe4456ed60406984f25,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,13,1
ff446e130eea3a63d7fbeaf4e6c28d8e554b2f6881da787f5289ad71e6a928d9,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,18,1
