mutant_hash,org.apache.commons.math3.stat.descriptive.AggregateSummaryStatisticsTest::testAggregation,org.apache.commons.math3.stat.descriptive.AggregateSummaryStatisticsTest::testAggregationConsistency,org.apache.commons.math3.stat.descriptive.SummaryStatisticsTest::testCopy,n_tests_killing,killed
00c1bec5da675fa11a6a8ff7f79cfe7b0e9d98a417870a083478a1e541969564,0,0,0,0,0
00dc59a81a0f75ac4f4c5fca32cedbb2163d653c000bfbb06fc946cd8a58081e,0,0,0,0,0
08ffb90d8afce15af95d73eb3deda6049819bcff96d3dc13f10470a2715d5237,0,0,0,0,0
0fc01347ae6ea7dcc8f33460967579f6f231cc3aee90ba35e9f5e7777f06ce1f,0,1,1,2,1
10a5a28fbfb720847a6f5aabbf864e555ab69a7aee1683e6a6bdf6f7e9dcdcfa,0,0,1,1,1
118e7c5b970a48e39a44195f3baec53dd71b62ff6ce29942fc9c8c95098bdfa4,0,1,1,2,1
19493a4062574e4c9bd644f5120e4f93ef5579893003b150239a63a9f0be7709,0,1,1,2,1
1dfebc691c3d6083ea19873fb9b7c246c957479e38b4512e0b23a1bc849198cd,0,0,1,1,1
2088c43076ce1691b90e1848f5e165699dac0124ffc9dbd85949bfb090f91571,0,1,1,2,1
269682cfb72a83c084c1a93bf5010b78e7a6f92ed8254cde2f3c6e48d9cadeef,0,0,0,0,0
2a10d2868645a8e9a6833008e50246e51414a3789d6237db4d54e2187b630f7a,0,0,1,1,1
37d5ef5a258df46547563f97af33e4a40fb7482358b5f64c1bc2941b33be55b8,0,0,0,0,0
50390937b4cc3a663e853d7393c6eb5b35b4cf4f4bbc948a83a183a91bd48e2d,0,0,0,0,0
563411b7831edd460a05c7e06f7353e8a9374550fa036b7af63fe8d9b768000d,0,0,0,0,0
57acd919a35260724728b115cc63b7c6f8673f774f09d621ce08e41378f37aca,0,0,0,0,0
58b559dc08e4934d8957a7d413102d919364b2ff4657900426dc9bb5e4237454,0,1,1,2,1
620f1e6763ac146d2165e3a35828ef57d26caf79a26057dadc8dd7b7f15b3cca,0,0,1,1,1
653b816e666007fd2f804e5c23d6e77b9e3a8c3481d7258b857472829253177f,0,0,1,1,1
69a257529782248414e5434145f0c27f01aac1f5bbd6a3ec8e9006e52ad87ad3,0,0,0,0,0
931bb378af5411adbb8a73e1c248f9198eb068ab4176f83fba1ea6c771df6014,0,0,0,0,0
97f5f2a31a4b9b490a716c55e876b1aff0f68f95fc5a3581c69d4beb794de569,0,1,0,1,1
abab39179da4779a8312320831feeafdd59be927d6114d30c5d8483016559669,0,0,0,0,0
b30fc3a12eeed4ebefca89d29192d18415039aab65af93fdc37a881377e0de80,1,1,0,2,1
b3454d443fb4c2933aa4211a31b17f4d336ecfd451dac8d501e363dc999e9687,1,1,1,3,1
b3fffcc7ad21768daed87b91b8031ca8d63ec176c23a7be74c9331d899db7fb2,0,0,0,0,0
b86e48af2979064bf061e05524171e8541b149b4bba43236c126058707449e56,0,0,0,0,0
c35ce99d0037a788c9c1d3a7ecea00743fd747eb33c0ea543e97e3d4e416ec3a,0,1,1,2,1
c850e98db23cac0989c827f12cd784b7cec8ef93aac8a8e5e01ac08c4cd0c9aa,0,0,1,1,1
cfa112c6ff9da37aad2d718a433748cecaec928947e3584b2c85ccac7f2b8130,0,0,0,0,0
dbb69d6ab7041d50a64bc043d5bebe9fca1068b66a9ac73a2265f469e8b10ab6,0,0,0,0,0
dec57745d5955d7b53ada2b35ba5460a2c9c6f9cb829ed3fe8866f7f65274440,0,0,0,0,0
e2b42c075075ffb75790d34cd8e1ed4068c68698f1fcfb8e9bb08ae126a8ef92,0,0,0,0,0
f62a5d442d935788eaabb3a51f35acaeae2fda1ea0fc747e98e75190b9ededa6,0,0,0,0,0
ff9ee6cc26bc29bee572308e6c8e17f8f7e777849ba6018f9686de1e88110d4d,1,1,1,3,1
