mutant_hash,com.fasterxml.jackson.core.json.TestNextXxx::testIssue38,com.fasterxml.jackson.core.json.TestUtf8Parser::testNextFieldName,n_tests_killing,killed
0a61baaf61a4ad1b4b53c91146924b417b6233763ccf23c9ce05d81cc6ba96ee,1,0,1,1
12e3728a7fe0cea792e8e15e56bd78235b97ef62b367de706cdfdb0956e1d1f5,0,0,0,0
157947ebb938ada6156fb0e2bde98a624c82dd621e9fae7eac93e975fea9482c,0,0,0,0
1f84dd74a03b43f4eed7b9210fe7970b523a5d3bcc54160f931e406e4175122a,0,0,0,0
2dd4b8d8ed08376b8fd8adbd829273d8f4ebc02019fc22f48e5890658e33417b,0,0,0,0
3df06eadee546e7ae8cacfc50d13ade70525d45280019a1d1d927d91401c3845,0,0,0,0
45e7322b086bb98ff2e2bea8c227f4030e92082918a82c9c6dd0de89ed4962e4,0,0,0,0
58d7c994e6c6a2a610d900afa5759702fe292dfc11a6ea5a671137b14824aade,0,0,0,0
5a3ec0458240c8f039063c1d0f200e71f986c42c3bbecaf5098c615d53ebcca7,0,0,0,0
83b213c784a6d3f1b40293789fe12428959f685feedb79df6e596129169a8df8,1,0,1,1
9327f7022a9b852b724a6cfac00654fcd2bf19102469d479f825c183651d3a39,1,0,1,1
a136febb303643be6932935dbfb8bb924b867264c2fa8695be48d757d5be7e0c,0,0,0,0
ad7f5ab951ee9e20ba6601ba91bff00b971a38dd6085bc928ad571153048d140,0,0,0,0
b70e193f148f27a0c82d1eedb1f87955f01d0d4f6e18c332ab024eea3f6d1b08,0,0,0,0
bbca72a97e0933bba4e3d80f91171b96705440d14c9eb7139f54f927fdba3711,0,0,0,0
bc6da7a12ab18fd458b1adcc91e37ad44686b36c62d1fab108d60046fd97530a,0,0,0,0
bfdd0a6a2c6eb8bcafd1116b76d676d0af629ab00436636a5e8bf15187016716,0,0,0,0
c56dbb43dadfc7f20778ec1ea3ff2045f9339833aec37f9e9d083057fa9898d5,0,0,0,0
cee5b89f72031a7a5fc9be141abde1ba95e62846c360f123b0aae2139576f5db,0,0,0,0
d684731cee745e31a24405534a9abc7a4d3636e3934e352866b368241b854df2,0,0,0,0
db870ed6ae1541f5c6ff1a80cead7947748de996a900e01f4f972147c36b37f7,0,0,0,0
e04c5c27c2f45a0a7aad1ec3003f7fd06472792fa77e5a728f544f3fb87dec3f,0,1,1,1
e1c47a47df0a2bf2c6edb44ea763b56aa7d6322228cb85b7cbca9d55550d875d,1,1,2,1
e3fd311e1ac81b9a510c68bf21ff945e8d40362083cc0e873fcfc75b2da759b7,0,0,0,0
e48586e06c1458f705a493f1a6f3bd97d68c7c885c83c8dae2ead63182a73233,0,0,0,0
e4cb08f5e1a5ad0088a284bb46d2bea5f12c2bc797a7c1f6d569860fe4cdc322,0,0,0,0
e6cdb81dff2c87f6a58f3f23c2f89204edce843a390adba51e2654cdd8afa02d,0,0,0,0
e9ef3654ac0d2e3870dbeac0dec78086903ad62084b7640d44bd8e66c485b860,1,1,2,1
f2e2206ff7c36023fafb802add8f9a9e0cec2d2484974d90330eb7b8b65f3e7d,0,0,0,0
fb6110735da95b339cc5c9db4b8d8b899fe82b408fb7826d103f9652f963055a,0,0,0,0
ff6f67fe9bff03bd9bbab48abeed13b03273806af45f4534b0496eae9c0394ac,0,0,0,0
