mutant_hash,org.jsoup.integration.ParseTest::testBaidu,org.jsoup.integration.ParseTest::testBaiduVariant,org.jsoup.integration.ParseTest::testHtml5Charset,org.jsoup.integration.ParseTest::testNewsHomepage,org.jsoup.integration.ParseTest::testNytArticle,org.jsoup.integration.ParseTest::testYahooJp,org.jsoup.nodes.ElementTest::testGetElementsWithAttributeDash,org.jsoup.select.ElementsTest::attributes,org.jsoup.select.ElementsTest::is,org.jsoup.select.SelectorTest::and,org.jsoup.select.SelectorTest::caseInsensitive,org.jsoup.select.SelectorTest::multiChildDescent,org.jsoup.select.SelectorTest::notParas,org.jsoup.select.SelectorTest::testByAttribute,org.jsoup.select.SelectorTest::testByAttributeRegex,org.jsoup.select.SelectorTest::testByAttributeRegexCharacterClass,org.jsoup.select.SelectorTest::testByAttributeRegexCombined,org.jsoup.select.SelectorTest::testByAttributeStarting,org.jsoup.select.SelectorTest::testGroupOr,org.jsoup.select.SelectorTest::testGroupOrAttribute,org.jsoup.select.SelectorTest::testPseudoHas,n_tests_killing,killed
002a3246b3a7f6a49a9d4e2ccdc2315de1dafb2ef5004b8b45de9b892d275253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0aa3f7ff762db7e0bc210403005cf43c0675c00d48521137eaf08bed03a5cabb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,1
1aee0c850530f21516cadef47ea38d44a42399212b1aff60d076535712b07120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ff16f97a76b2a82e288c1246c69b3ee1d600eb100a33f255cc20aa6aa210054,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
36b98d3ad7f55e19f2587f3ac459e4b47cb72c3ab81911bc915d5a9033b8e249,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
3f664eb8611606fa61cdd19623a52ac27ea89720db5856577ab0fd5823975a76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
411e1bbc19b90d9f9f58c3f5367719fd8fb45a0b2591cd5eb07d18e634ede93b,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,13,1
418bf8b89ba0be8acb5078063102be30e442e8e73f2474b4c84a28e8671e33ae,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1
4b2ac0adc7739d66e003ecbe2e7a703fd8d3d7a142c10e7aff8abbc71cb9cb45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
5cb0d737d02716ce3b5715f6e46e5e0e7f5b3c93fe32126b736ba5df4f247921,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,13,1
7520026fd6c44a9a6809a72185b870f6cefac8d2264a430cfbb18c879e45e6f5,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,6,1
8927f0fa93b79493aa64a65adb2fffb14904b4530baa3fb85793943bf3931307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aeed17c1bc8d37df65ac60da690f47686110d365b22f74c88b75a46ae7f5ac91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
b6b51115adf4e8e0964473c43897e7bf6e91f1e4f6822c3a9c2577b991c36619,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ba40450b66cd3fe8a7ca13d4b59cf2921ab6c29c0cba7c33a808960dc72feb7a,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,13,1
ba7540c5ec889f03958ba7652236f5290a9081bc37d20c6920121145f03889cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d5a4b09026090d058de627371cc1b086a3e2832e00f544ce421de8c7b1d2fdf9,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,15,1
dede06bb46d39f129cf82257adcfb1107dfef75e2061a0391d6b4d144650365b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfed67cdafda1fbc60a0dd5de9219da6a3054d928cbe3a1f6e8c3d435e57d22a,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,17,1
