mutant_hash,__ZERO_COVERAGE_CONFIRMED__,n_tests_killing,killed
0b4c87101d77eed546c97f0ff9858a24d9da99890b688117532e5bc0e56ef386,0,0,0
0f36aa71b0ca5c2c2c3facdd84df226dc03ec68bba3deeec79adf60065a20c5d,0,0,0
1b10e5a20c50d9333afe0b0a6b117ade9b8de991cbee353f924c4e22cca168db,0,0,0
2387315d4833dfa1b341314a6224c712f6e4d07b9667d5c98aeda39c1498aff6,0,0,0
2cfc9de4babeb8a072c8ec0efd2760f1e38e43b640aaedf12ad5ead51ab0ad51,0,0,0
3004c5bc6e2c09a511fd09208e3ee648582cf0d7276c18dfb2f5fcf41737c3b8,0,0,0
41ac62f4e5684d89ea9788d718882ee03f8b6d8cdcd8f50885dc4a558fe281a3,0,0,0
6467eb19043dafb45209918a54843f44c38746e40cc6476d078416404c0d299f,0,0,0
6798deae95b7dcf7a1f8bde30993e67952ca49e7bb4e05b3489a3643f8d7c360,0,0,0
7343a018a139b2cc93afe85c4db02add7186c0b5903272025e97d7d114dd2a4d,0,0,0
7544849ab8c6c7a1b9c7de3878347f8e685a7e4d2a7cfc0a52417febd647e25d,0,0,0
80593c0c4069ecb64463ad32642ff5cb15fa0b70960041333db6705eb58544d1,0,0,0
812d3deefddeba12f52b12c8367e5a783a41364baa03b082799e00ea9a1088fb,0,0,0
8b2c09ba3288a09672376fd4eb7830922b121ee150605c5445ecaa62cbf2f068,0,0,0
8fb1d9805c60428ae64647179d3cf89f62df2b7a76706394a078f692d2d3f782,0,0,0
90b182e52026f2f309e038ababf50e04a193728effb7dcb4438b257c31253f9c,0,0,0
93916a4c91d6931f0943f91b89716ef2265ba77844d433f8163cf4864da66ea6,0,0,0
95ccd417a54ae60f147f9d27ae42fd1e1a27c4726f5c54d45f9200004e99ede8,0,0,0
9ee3a1763bd167859dc28ebc83d6612344af2a727f21300fc18ab392bb5b7611,0,0,0
b3c35da29fb1ce967b0314ea673e606d5846f293c15fba50209be02dd518760f,0,0,0
bcfca99458d33c54929994e85a1e00e9a2bed13ffdcdcb59ccb235dbf763bc8b,0,0,0
c2363e9e98df577685844131b76096959ab1daaddb876dd7db68cd8eca943c8a,0,0,0
c418e1cf5f529e8a189a93821389a6d3969450c1580c8bbf89b3f9538127cb35,0,0,0
d075ee37a5d0f10c071a5c10164f9437c0d9e229de67e3fc27dffc877cf2435b,0,0,0
e829202abbba2a18ee994091e9bf5d7f77a27ce114dcf3ca3743ad2d05f7a5fc,0,0,0
e98e6c7f78fb37429ea65cd424b755c7aae01803ce26d7537fc8877f6e4bf7b6,0,0,0
fc0a03b1e18ba226f296ee1bd51b17327c08c2e632310bed0bbab52aa45e6dc6,0,0,0
