mutant_hash,org.apache.commons.codec.StringEncoderComparatorTest::testComparatorWithDoubleMetaphone,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended2,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualWithMATCHES,n_tests_killing,killed
1111ed7b2279496ba433002f99ba4037bc6d44c1808f6de286fccba7a21821cd,0,0,0,0,0,0,0
116dd7a9a22ff6c3a50cdb9ee27d4f7786adc37c9b2f100d8e954890722eb785,0,1,1,0,0,2,1
1b57805d7b89bdd46ced847196ea122d0be14aebdf11b16346c5db743c8db2ab,0,0,0,0,0,0,0
1c82937913743b2ddb458d81474c732d1586a139389497a72125641daba5f57f,0,0,0,0,0,0,0
1fab012e88e95a0499f594c8a415449943036e2a24bd60f5f7877ec906c2c2fd,0,0,0,0,0,0,0
2dccfc2b7967e1f4fc67c65bdfc4d9d229036b6134e640b052913acdbe3d9708,0,0,0,0,0,0,0
2e2ad8125f82a3523ab5d14e7653c5c56c8302febf1b85e0143ffeb62a42f8cd,0,1,0,0,0,1,1
3050f926438859b3c4298dbf2361a5316305b17ee7e1fdcc63c9191269dcbe05,0,0,0,0,0,0,0
31edfeaa3e61a0de6af7491200adc249e75cf3d50f708a24cb58fc73d7d09e29,0,1,1,0,0,2,1
37ed1b5911396e1110c56eebe539bb5b3062aa42dfcdb36e3ef99190ccbd1fec,0,1,1,0,0,2,1
389a735cbc72cfc0d3c8e3f58bbd1d64d95678f81315121210098630b64ad314,0,0,0,0,0,0,0
3b82babc44b78b855b24da1eebec5956b2363762efe2d7bebc2c4defc2ee2e0b,0,0,0,0,0,0,0
3c16b710652427b837e24a69fb7c23dd475c52445817b646eb4af7712d69aae0,0,0,0,0,0,0,0
4f28e246f14ceacecdac6e5797c321dd1e3b7c04327ac2786d170dc513516533,0,1,1,0,0,2,1
5793b5160a8251ed4bf90319ffd3a6ea77979094dddb528732dc0380f2459977,0,0,0,0,0,0,0
5b32cccf92d175c11fea1274180a9e22cf4e912ff6301e7e83e3b48c0da25e66,0,0,0,0,0,0,0
5eec1a01de926fc10209457c4960190db45aab76a89c739512064aef745633fc,0,1,1,0,0,2,1
665dc593442cd619d816b45cbdd9dc93ba49a2dc7a8fb980a3c93d2440e89a63,0,0,0,0,0,0,0
8cbcdf2b040336a924813c25c8606b1cd3623ba0f98f59e5c62f1a1f229952d6,0,0,0,0,0,0,0
91973d1eee98da0f83ff614861b6e00c9371f6f66a42f187c6799d008605bbaa,0,0,0,0,0,0,0
94c296d3e64e6c0bb525bee62e3a2ed5b154683e918cd5b413ca1dd681a0ceb1,0,0,0,0,0,0,0
96c91775ee67c32abb2aee9fcf2e213f86f21c83d6faa28d5eb3f04fb2c4c037,0,1,1,0,0,2,1
c41111ab32fa88da20e62b75359821358fd525f91beba9f2fa57b5bae7d7ad70,0,0,0,0,0,0,0
d0d24a00593a21a630a4edd26e432c4e484bc8e5ba3d48ad35c047495a04a685,0,0,0,0,0,0,0
d4ae159f11202a6270a910f2d9f55511b2415923e3f8502802d789f77ff32bcb,0,0,0,0,0,0,0
de3bcd9496ad27f273bfbd991eb757c2e922c37bed120a35fab14b213a4191f5,0,0,0,0,0,0,0
e4cd680cd239208f117f50b473711458de142c4a5e35a3e14d84e0c30f16a9d7,0,0,0,0,0,0,0
f1949909df254d031fd972072643e337811763139dd72e6ea56b5c8982989b86,0,1,1,0,0,2,1
f843a18eeb718b8d24f9c46df06e7b5611ad48b077e32ee25ba78245ec393c71,0,0,0,0,0,0,0
