mutant_hash,org.apache.commons.compress.DetectCompressorTestCase::testDetection,org.apache.commons.compress.compressors.BZip2TestCase::testBzip2Unarchive,org.apache.commons.compress.compressors.BZip2TestCase::testBzipCreation,n_tests_killing,killed
081c7cb54dedf7a65e8dee2e956aa045c5d5ce218a62b2e2c81fe440edac4674,0,0,0,0,0
157b2170679584fac8d13e14193360fb1344b870923280deffd05ae87a883416,0,1,1,2,1
1744d6779ac7d2528ee4f6e0cbd8db42878f83c4aa870249befcf4dbbffaa6e1,1,1,1,3,1
28398ab88022ae5249b00c1e5dd730e134e37c3c83db165252a4aa91c16b3041,0,0,0,0,0
2b5c9fdd70d9cfcf408684f2af7261614558a2f459d5b2792a48ee5bb4d4ebe1,0,0,0,0,0
2d5db9c8cba78c730581c7d734fc3ff67758893a20fa1ce7655260e5e7b96182,0,0,0,0,0
36011f2ced3025df6449769b76676b5ee4abadc39bc9c918ac84367fa1899661,0,0,0,0,0
47de7290a9f6d16f446a5e777f80098ef0c62becf229a8d53ed0825ddcc24311,0,0,0,0,0
50693cacec5e0c071e28a4639511faee0d3aaefabba094d072f8e423006f8cea,0,1,1,2,1
549127037e86bf8d18ffbeb91e04b3b488a6532e967bee6f2a874d13ca37fac4,0,0,0,0,0
6da4611b8965a13e42df33d587bcbbfa35a7e71e3b3ed602232707e18e607bd3,0,0,0,0,0
6e46e6c13b6c6c0f32bc3a1ef7c176cc56384dd5dc72cb56f69b5f8c19bde06c,0,0,0,0,0
716d313f4211df2bad15668fb302ae5553634142ed3a2773b59b4348db51c996,0,0,0,0,0
72fd6c3c62013c490af9432c4d509c0a6d7f208de63f43806dabb9e93da0e73f,1,1,1,3,1
8d108f8c8e78f0d9ad11e4258868489350e5bec174c7e52692fa6a19386f55a3,0,0,0,0,0
a71da52e36a149687b9a5aa9d8e584fe406752f2ef908682a0df840a84df5375,0,0,0,0,0
acbd4125052b03cfe6c8d8ad26d062e5df5b5aed04c3a82c70efce3cc9cac538,1,1,1,3,1
b064781d3a739791a24332d46d5aef179cff5135a082a50ad3145c541a4cb958,0,0,0,0,0
b7ec074adf0475fedeb8d97e76f32df4531debb021e178d055d5d7fb8d429570,1,1,1,3,1
c150d6cb46a6afdbed9f7d742783efc1a4ebfc63dfb574bdd84fb94fef1e3afb,0,0,0,0,0
c783423ff0fc593400154e9387d62bcc79d5bb0f0611ae0ff8cff21bee4fc531,0,0,0,0,0
c89757c13ea6be632e30507e04a9b9d89ececf3a4af67823843691a606a888a2,0,1,1,2,1
cccbb239cf77a2b4b965830256432e542833a11fbb6be7bd8b36997212973836,0,0,0,0,0
d638de447eba673e4399eef2e733c87f863d5cfcad1e501628ede5cd3a04b78f,0,0,0,0,0
d99f45b86db0f84f13b69504780a3a32a6aed94127c4f3975438efecbbce158e,0,1,1,2,1
f0d7b39b21bbcd19de64261ad95e5ebbbabe5ec38b36b9e70db3cbf5ccba73a8,0,0,0,0,0
f908cc1f53cf15382a2944c7930f883f259334df259f785ccfe9ea05a275dd08,1,1,1,3,1
