mutant_hash,org.apache.commons.csv.CSVLexerTest::testNextToken4,org.apache.commons.csv.CSVLexerTest::testNextToken5,org.apache.commons.csv.CSVLexerTest::testNextToken6,org.apache.commons.csv.CSVParserTest::testBackslashEscaping,org.apache.commons.csv.CSVParserTest::testDefaultFormat,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,org.apache.commons.csv.CSVParserTest::testExcelFormat1,org.apache.commons.csv.CSVParserTest::testGetLine,org.apache.commons.csv.CSVParserTest::testGetRecordWithMultiiLineValues,org.apache.commons.csv.CSVParserTest::testGetRecords,org.apache.commons.csv.CSVPrinterTest::testRandom,n_tests_killing,killed
031675b748f360ae2fc9db43013407a00a810f788371c95bdd62a83f3e6eb63e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
052f47e9f26d0e9e8db4ab9f697b3131e820c226d306e28d2a34d90cf7b94091,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1c4f033851b49821f621cf71f8e53041712ca025f958573cea6e61c4042f957e,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1cd89cfef177826737768bf7ca134775561919e4103593501e723e7ccc93f48e,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1d0a1ee7e27cd584b1be5c52afc57c51dec5cc55b88deba4a2acfa1ac85c99e0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1
22c1455da63ad6a4311539f26e3c60c78890bb6ea6dec77750bafe1089e03fd0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1
239b75b99c83a90443ff3688247ac8a93132bb876ec9578ee06748873b32cd96,1,1,1,0,1,0,0,0,0,1,1,0,1,1,8,1
27efef17edfe562ce4b775fd6f8bc10be1833f8409676bb658734d622e0de26c,0,0,1,1,0,0,0,0,0,1,1,0,1,1,6,1
3552af0c76d30ac749369b9b16960e4e2c7eb052f02888d1222a4cc194926088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59bd540902c12d7f59cfe2eb3eda346ae792b2ca9294a1873f22d25f71f9c39e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1
6209480c69336eeb8a1d53447a3cb77f66eedb50ac5ee6a86bbdb44fc41b5b0f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1
7b6845e3e8ff1c1e7b2c94861ca1daf8ce7fb4bff98cb8cca97aac216ed18445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9678f6b3f1c4428b32c021c1f6edbe1e3d3fa7a78e9cd3c052f4921e612edf2e,1,1,1,0,1,0,0,0,0,1,1,0,1,1,8,1
97eaefc40f057cde98825b036f8722b6a9ff8b3fce6f8f8cb7443ab7d36c04d8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
99daca1cbfe6961124b69a65f9c48f390353fe396337daf1879f92e1fa5b22ff,1,1,1,1,1,0,1,0,1,0,0,1,0,1,9,1
b9ba3b870b8977a4a7cd58da26ea4d4c414e760d2a06b53bd9869c377dbee446,1,1,0,1,1,0,0,0,0,1,1,1,1,1,9,1
ceb24cb350a093f41e63fe6545eee6ffbb4d1a57aa89d9a9425607297b7519a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d4fa26ce2d63512754569a0542801fdad02222ec830a02a6f1d4a9dd09489809,0,0,1,1,0,0,0,0,0,1,1,0,1,1,6,1
dbc955498215a09038f01e2c6609ebd056b00a3d83e277a11d3b8a0add8741b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e3ebe4ba3673054d94143e719199d25f6d42d424d52a09b3ba7b43cf66915342,0,0,1,1,0,0,0,0,0,1,1,0,1,1,6,1
f2a2f54dbb49478108ffb3499b08e9a4b20880e67bb1d0f6bbbc287f240ea74f,0,0,1,1,0,0,0,0,0,1,1,0,1,1,6,1
fe77d9902ee7353664e6cf8446685cc319650333906d55565e9a02e046e20c4c,1,1,0,1,1,0,0,0,0,1,1,1,1,1,9,1
