mutant_hash,org.jfree.chart.plot.junit.SpiderWebPlotTests::testCloning,org.jfree.chart.plot.junit.SpiderWebPlotTests::testEquals,org.jfree.chart.plot.junit.SpiderWebPlotTests::testSerialization,n_tests_killing,killed
006c0cac5936a40360dcbb95c21f4ffa65c96edae473616b6426775cfd114ed5,0,1,0,1,1
07b7eb68143cd2fc8d152b8c569a7468677d241e50610b5d0cd8882edc4c031f,1,1,1,3,1
0ed84575ec6fbd59de51cdef12c4541150f3b81c2c1b7c4c7dafb1b8d1e91b6b,0,0,0,0,0
1dcf068cbf04623908aa934bff1c6c64187827c85225a9bc06ddfb3b1905b520,0,0,0,0,0
2490e74d67df66a5c9423184f5972bd5c6518ed2355fa99101c483eab3c26525,0,0,0,0,0
2679712b42ce67efaa6711c17a0a435d745aa699d0cd1441f558c9a9feeea530,0,0,0,0,0
362e5df7fd0b646044f2ef1e8a7ade94347c82ec8678a4408538f6361d14407a,0,1,0,1,1
372e7fc3e7aefc4d5aaca12278ebad138cad298218b5de2d292b37c1ea06b78a,0,1,0,1,1
4206098a32b176fab87cd8b78ad9841a8ec67c6da260fa8155c79ceafb9c8459,0,0,0,0,0
539229d70bdaeb6af0ddb959a4920374be90ef3e30060e0511e8f0e22af5eebb,1,1,1,3,1
58ed8922e42e9bf9897b2069c352b55d3c9370687eb2572aa6b6d291509e6e78,1,1,1,3,1
691e4d8058560365bbc32c4039a1f72b4b587c974792149bf13f3bb3661f1593,0,0,0,0,0
76fc071cf933e70236cca3a638a6c090722541dfb77afbc8520af8bead765263,0,0,0,0,0
90286a88ece7c132d30dd3e00656cffd305c29543c590602078f6eae58c39d2d,0,0,0,0,0
9b78f6357b6ec3a5a0b3e553c61718180823f5e128a4eb52e22c12813c50f8e0,0,0,0,0,0
9f8a520845be67f6448c43c1ee0512ef249b76d14cc0214689486dfac8aee689,0,0,0,0,0
a1f74457661fdf42493247702410aff53cfa1fdf639e6cbc36692a35cbc96784,0,0,0,0,0
a27d1ad21a6967b1e2222a418e5b68fb6b8b486ee8e3a2cbe501cbc675a67e2f,0,0,0,0,0
a34f3e98abdec9246622b4fc9183d4fae84bbb0dd9ee66204b94cb3cad7c7b7b,1,1,1,3,1
a426affa31f2911d13790a0ac4f995871a0480199453346be85c3dd3502ad33f,1,1,1,3,1
aa50b5e79fc5da1d20fab677b7f6168a7abb2c2891ad55b8c1346f3ab7fff9a7,1,1,1,3,1
aff99b93bcf441d1d528fdb0eb3d46efa1de87eeaa075a1601b151cad45d0bbb,1,1,0,2,1
b1e67a12ba492613bda8e65bfaa4ac9723b5d39dd0262dae55ce1afd80dd8589,1,1,1,3,1
b5e79ce9b71f32375cc1315527d17a6208d2d2cba5920311ec14165c9eb6cf7f,0,0,0,0,0
b8e9e6b59c79aca8db4839b6d48ab9581c8cd070342a22c0d602dd54dbf4701b,1,1,1,3,1
b9cf4a0d7968452c933438b06c787cac434cf1197fbff2bb0925da2cc541c235,0,1,0,1,1
bc3c671671b03f0fe029124c6ef00442792f5dd05a653e3f95422854f86e5e16,1,1,1,3,1
d15d91f39349df8bc23edba0aa53e1eb499ceba4004f51290741df2ded2d3ced,0,0,1,1,1
d551ab416224591ab8f3465ce9cf3208a003db396dbd4364c2958f679b67e22c,1,1,0,2,1
daa69c47024cbbfd2dc0434ba6a4667ac57410e2119084e48fb855cd276c065f,0,1,0,1,1
