mutant_hash,com.fasterxml.jackson.core.main.TestGeneratorMisc::testSimpleWriteObject,n_tests_killing,killed
19739056702b2e8a3cc196816b3ff5c45221b8ae2c4bbe77ff5f70a507a0110f,0,0,0
2fb4cf7e7d5f69fe2e5a17109b84e693a2c135cc6e7349bc58efd9ee48e477c2,0,0,0
54de290162776da6306f80a79461e9b827f730b230d8b816254a2c11664abe65,0,0,0
6122aeaa24cf27836846eab81eb3d96c8c30b7a7ada646f0cda717b98f9d19fb,0,0,0
63e4e1e948c3153b00c0ed0821032eb7b09c828d2a192619c2ba0c41095e5a20,1,1,1
640904cc0bc466bb68d5b6d234ee39c5c90d2b578e2e71966b464e9b27d72ddb,0,0,0
a38972f1a24f4c1e996db680798da102edbf4c973c86bf8436ad0548f9afe00a,0,0,0
b243da2931d74a7cd09050764ebc6025f6d42c9316a80040c3d7778b094e0541,0,0,0
bc4f63e3e8a3cffc274fc20d9ed534d4684e8760123c43a519b6119bdd5cde1e,0,0,0
d59a357cdf6bff8e40f350217f039a0c18eaf6396478914972055bf7ba36834f,0,0,0
e2f63b4a74d8de461b357dade879e9952cb5747ba53f6111325a82c80a273c2b,0,0,0
ec448eefe393e5f1e48b307e70666ca05c8b5f9b62027336f0d992cf048ace16,0,0,0
edf970cd2c325da00095d04691c605609d96b5c89c50d50299b1ee3e8531274d,1,1,1
f46908d6d33be660ff15203498d9ed76e13be8be9a30c484212bb1d6efe213ce,1,1,1
fbedee2d2611c3cce6ce6e137aecc0e213eb415cd33122634f3f438e560a1c4a,1,1,1
