mutant_hash,org.apache.commons.collections.map.TestFlat3Map::testClone2,org.apache.commons.collections.map.TestFlat3Map::testClone4,org.apache.commons.collections.map.TestFlat3Map::testEntryIteratorSetValue1,org.apache.commons.collections.map.TestFlat3Map::testEntryIteratorSetValue2,org.apache.commons.collections.map.TestFlat3Map::testEntryIteratorSetValue3,org.apache.commons.collections.map.TestFlat3Map::testEquals1,org.apache.commons.collections.map.TestFlat3Map::testEquals2,org.apache.commons.collections.map.TestFlat3Map::testMapIteratorSetValue1,org.apache.commons.collections.map.TestFlat3Map::testMapIteratorSetValue2,org.apache.commons.collections.map.TestFlat3Map::testMapIteratorSetValue3,org.apache.commons.collections.map.TestFlat3Map::testSerialisation2,org.apache.commons.collections.map.TestFlat3Map::testSerialisation4,n_tests_killing,killed
0a97f60ad304899a01e3c05b7511d2e1f04275aec0b72754370d992834ab705b,1,0,1,1,1,0,0,1,1,1,1,0,8,1
0a9da0b49016a09914a16492cb90a357bd9286f725076e800f3742d799e41e3c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130873608c515a419f24f3f866c6ebf6e59dd8c05476a67d0531f50d75e33e6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16ff813de768e381c73284f3b4bb163abc890e70d6a265bc91aa10d9743266d1,1,0,1,1,1,0,0,1,1,1,1,0,8,1
18ef4ab4dec7916aef331dbfd8994a09a9501563d37ebf94017ce57ed3c14657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a655cd863f7810518757667012da752d29b3fb22fe47cbdb7fa54c8c4f9bc49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d7cbbc520dbcb067e61d09cbe56746f729667b273f6fad899a00d13a2e28bd9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3f764d7b3fd78cb4316edbb20c31c77ea7a33d726f908d119c297979550dcfed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b88869e5d7257f6da22ace771697b5250ad0744b44c7a4185188b203664a84c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d0d81d65250054ffea3b4f80d5248d51340729ae03ef5a597a5f62bf53a5762,0,1,0,0,0,0,0,0,0,0,0,1,2,1
68a0c4f003d6be6a179e3cfbea7300b8bac33b3936ef7f556acd73a07651f3c0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6b950ca1846bcbab24436a839b89651fb1e1f07c320f7244caf5b9a621df726b,0,0,1,1,1,0,0,1,1,1,0,0,6,1
715ed224d4497aa2d0f4c6aa4fb19ae6adb303e3b73747a2bb1efb913535fb4d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762181371299309535f6688a85ee1123bec411736288d6d864c7b84ba9336af3,1,0,1,1,1,0,0,1,1,1,1,0,8,1
7e072ec0afba52965150b3f46bc72ca49683f03b237f6b83dfc8b7cc1aa0dc9f,1,0,1,1,1,0,0,1,1,1,1,0,8,1
8033743fafe7a805990b2a80c0fea3d4436255ab8e7c8d07f984f8cf29dc27d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8843e03bb8883462592492ad413b307b8145185f23f822c9eba9e2331cb99851,1,1,1,1,1,1,1,1,1,1,1,1,12,1
8d54076197028f342f2dfdc2a1afe05fd1708b51fa060216008947ec6c82ebae,0,0,1,1,1,0,0,1,1,1,0,0,6,1
9c31624b17256c1d3781589cac933a629742c5b69db52c33b3a35213a4101cfa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e558a60be66b032871563461e49039d2fee883d2bfc1b00f4d77b825280efdc,1,0,1,1,1,0,0,1,1,1,1,0,8,1
a0e8d74b930abbc56f3b337f5553051083a7eec5fba6ae51adfa176566dbc806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a62a0dba80c7ddc4bcd0839037897e296bdf1b5d1cd4121a141e1c08695e3e9c,0,1,0,0,0,0,0,0,0,0,0,1,2,1
b6724fe972ccbe57efb61fd494ad45b7ee4fc825b43d2687ee285cb57cc3dd1d,0,0,1,1,1,0,0,1,1,1,0,0,6,1
bbe1a92c251a8a079703b9f0a66c6d3ed9665483dbddc931c64ff78f671811d7,0,0,1,1,1,0,0,1,1,1,0,0,6,1
bca65b40961870c317fbd637d1cdc61b2ecdf06d5b092340ea3ac8af7ff7bc85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c626ea287146bb1c3ee33230e4d666380d31236364064a49902e45e9625ebe91,1,0,1,1,1,0,0,1,1,1,1,0,8,1
cbf6a8febb0609d9c22daeffe465a3696a2999a6a1ff2ee80d0fa776231b0e63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e3e74f880777937cd784b254cb7e86d2ed9f31165a4ac996951f894db8c7e203,1,0,1,1,1,0,0,1,1,1,1,0,8,1
eaa1b32cc3340c371a8e1528dfbfd9612c93a05b08f6582f57ac159ebebea4ef,1,0,1,1,1,0,0,1,1,1,1,0,8,1
f4bcfe26c1e1adc2265100a26d9ecdc0e9460341b1c479c3d4046d04e442c4a0,1,0,1,1,1,0,0,1,1,1,1,0,8,1
faa97a546554997566f2398322b2d6d2531871baa8b961e2b7ac853a59deb809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fb289b9b20506d246962bd50d1e1abec1cbb83e670e758d166d544b3797688d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
