mutant_hash,com.fasterxml.jackson.core.main.TestGeneratorMisc::testSimpleWriteObject,n_tests_killing,killed
0b57687b08e329647fbac7510040a4a9adb320a98b3c718a4e13f6ef1f95bd04,0,0,0
1a91ab6faff5233a3e77c7e019015ebbb07533d4ade0002e62de35f91512e1cd,0,0,0
2466a5785dca41b9c3328950d7cfa63607c37386ff6b7f8b9473e835078e8304,0,0,0
264f985a86c00e439b479c7e277ac475b983496b894a980de479cc44a39837b3,1,1,1
2cc403981311db67dae2b9e9ea0c6dee9f7f7fdabe7a8a621e4f2dfdc0dda512,0,0,0
321861183fac41476b606312106db688335f8e825bc08bab1d1a8fb9769c2235,0,0,0
3a36086ae1653672f8ebfcc70629e45d4e10b84e3efa2f3518dc849dec731eeb,0,0,0
41f70307281c0d5c10b8b082d4f0ec7db509453c0b190aa683e0b6c792e3b9b3,1,1,1
42a429d01980b065b4213d76a77f062bacf37816fd5648f1781f2fd855768795,1,1,1
4c30e77298e49e4661bf992d784346ba8722e6a0e85bd8c45620f748ecd19f8c,1,1,1
4d39aae8e5f88fce3f8b1aa50398c30e4fedd16ed0abfa19cefaf1296e204a57,1,1,1
672ec304413fc7014598fb5107951122c0960a46de7f82e8b79cecd430acf2d8,0,0,0
712fe8b7990311bbd604f8eb887bbecb5de3a56c3777ba6557273347e57c3000,1,1,1
7aeffbaf16636cd1c43c2f83bae90286dccc4f3fe6de2343e5a54cf72bb530f5,1,1,1
8779b1f53a44a355f6ecd9c162d49863250b96e49da18f804961c9aa32a5906d,0,0,0
883b86b3dd0966c71e74616ae78135d891d68e6f6aa401b83dc98e776c62a316,1,1,1
9949be9577ffdc4eb960c8b3de3f421f9657539deee803e474f3c1287f2831b3,0,0,0
9cb99f645c7be4fcb811205b1f0561549e3c66ffb5b38ce35d43e676935cbe46,0,0,0
b6ca9bfad3604f6f5cdd1ec0d34bfceda3c7e825f1a6b1ba1b37da60cc2dce1d,0,0,0
bda6f657d6a8a517afa487e6f79b9de98e4371bdf633bd7008228c3d6caa6748,1,1,1
bfd84ef48bc95b4d854856126d8d7e3be16ebf822479e9d05a6c881ad697e132,1,1,1
c7348fcba4f63fb933812a4ea48dd61af6ed1d23b4b47feaf4289df6935895ae,1,1,1
cb1df918674353cd6b27804b55f6d0b7c9379d2a01c9bc94e2370e3ea675b17a,1,1,1
cb257ab7b145e0c76d691d9959126623e9e94cfa84d1b6643625a1cc6cf7f3d5,1,1,1
d7de8c9580ca2b90d6398403a394ead746a36412e2b98052adeb15c4cb530aed,0,0,0
daadc010630af1df874607562eed3051e4adc45ed5da76e2f70c121ec18d1770,0,0,0
dcf4ca08cc6b8f8a61be27c0e9582e8f42f979044b2e42b27300080dc07daa2b,1,1,1
dd90c457abf6af242ba6e8d23c99bf7f39ebcba58a856ebcda1476a854428802,0,0,0
e2405ed908d469474a674d66f30e68a1fbdd1cc27f07080763e36079583e1cb8,1,1,1
f67c17dad998ce9a24ba559a68baa2412470c7e0183b8f894994e5a0d8e5321a,0,0,0
