mutant_hash,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualWithMATCHES,n_tests_killing,killed
1afe242ba2cb54e37e5e500593205aa4fd4dac686a57097feda33debc77cbf8b,0,0,0,0,0
283ebc4b6e764a5d3ec9e892d1b0bcc2a6687d9557a04e75039ec5e54715ac77,0,0,0,0,0
2c67ad1bbd1607977201809ab4d634ede5ccc3ea5c6a7b0c9554703dea0f17f7,0,0,0,0,0
3259d3dabcf4cdf065646347b1d9ac2aa6ddaf6be8afde0ebb78cd42612c149d,0,0,0,0,0
3824a972680415b6efddc6bbb3530133f47fa606ada4f24a5abb3c298e7f59cd,1,0,1,2,1
3a6e9dbefca1a4cbfbd4517da682e063b6c76f20a35f9ad95300ea04545a7dd9,0,0,0,0,0
4101e640a9b6349473c19116fef64130ea0b42ccfd5d47a407674dbfa6b2c738,0,0,1,1,1
5624d96805671079a801044c8851553b968ed15a5af69a2e933fe18b3bb47032,0,0,0,0,0
574c5100b33f823c0116dfe777cbffab6f9559f6aeb331303133113a4e5e1ae4,1,0,1,2,1
612800bc1d757f04c0f8e16f804752e75a1feffefaaa2bbf93cc53688aba4369,0,0,0,0,0
64daf5ce55243564f2e02273dc00e61928aef6e4bc6437bce54f4cd1c75a2613,0,0,1,1,1
6874f377c3a4c8b0f96e854c70b0c2f44950347647a05915f2c3feabfa5a7a4d,1,0,1,2,1
71abf7f3502499a969ac8a12358cc351925172a731932ec70ca3426ca058ac7d,0,0,0,0,0
74f311d63883925a96c48739a32f35442744921b4a658f3fd07a0af07daca169,0,0,0,0,0
98d24dc267a36c44b5bd0e83128d16da40d888ad3ed2d2edb3db857e9b26c06f,0,0,0,0,0
a97c4f50be00033bdb14d1f5211408f225885a3ba3671c313825bf365b9f7b89,0,0,0,0,0
add16552a0f1c44e61659cd77eb00ca9e6423d26eeb6e82729ffbbd8ad457d48,0,0,0,0,0
b0d752c11b9088cf13eca8b90d6ec930f93636fed2ee5256a5611087c9ef0e0d,0,0,1,1,1
b72feb121481e6f9f0a14fe652ee58b08b556ee65c133a0b1539771df321516e,0,0,0,0,0
b902dfb914bbd74df1d5b534bb8273205874b848ebc97434ea58c45f85e63e41,0,0,1,1,1
b981fff8b113539e0e8c5cb5cbfa97ee12ee0a33414f696cd3284fed754a6ed3,0,1,1,2,1
b9b29f9a14ed62285fb8f0f5241ef11a2b0a4b460e23c28c86a2e5bc9f256838,0,0,0,0,0
ba0656cd2e89a9804dc66bf0f1f2d5743242a325d86a44449768cd6402a62040,0,0,0,0,0
c022c8e5c2a8b285b350b71351bae67c7cc232a4f7af77343dad9e34411ffe1c,1,0,1,2,1
df25dc26be04368c1c9fd52e7985023ff32599ed08cbd96d181fd4edce425939,0,0,1,1,1
e0e795c89aff23c589f84569cf40e29cf405f2d07007fc3f6e2c16d4757568e2,0,0,0,0,0
e94d324914e2213c610ce0609959466793cd377237d888df7ecc0acd43d47e22,0,0,0,0,0
ee00dcb237ebb896605fd0afffa0acd835e388f2661cf689f7db93586fb8432e,0,0,0,0,0
