mutant_hash,org.apache.commons.csv.CSVLexerTest::testNextToken4,org.apache.commons.csv.CSVLexerTest::testNextToken5,org.apache.commons.csv.CSVLexerTest::testNextToken6,org.apache.commons.csv.CSVParserTest::testBackslashEscaping,org.apache.commons.csv.CSVParserTest::testDefaultFormat,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,org.apache.commons.csv.CSVParserTest::testExcelFormat1,org.apache.commons.csv.CSVParserTest::testGetLine,org.apache.commons.csv.CSVParserTest::testGetRecords,org.apache.commons.csv.CSVPrinterTest::testRandom,n_tests_killing,killed
00a960ed020b22f179f6476e6d064a9b648bf030ef6457784600b7562439ea4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286b422d4389a7a5cecfce37c5ae09aef2023f2c1a7cb837eb8f223df7ae8d7e,0,0,1,1,0,0,0,0,0,1,1,1,1,6,1
2efd7b44f9e1de2a22422798437b9cee19406e44b8b915401b86754540ca9e07,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
31301396e055fcc345fbcdf49ffc41cba4e426278156858fb60bbfe4d94e97a3,1,1,1,0,1,0,0,0,0,1,1,1,1,8,1
31e126dc7c8fa0b1720f57394d1ae913a762c01eccd6ba9950b2ff9bb6ab6778,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
3cb311307bb92fe6189464df44f79f38bf8bcd2d94d22f3e1aefb1005820008a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4408240eb1fc1a1241b64c868ebb98586f8f48e9d2781180af4bffda694a7dbe,0,0,1,1,0,0,0,0,0,1,1,1,1,6,1
4802fcdfd1ac222b6fb579606a95c9b73aae92dc95c10f6cbc766ad2f1e3b490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d7f9d4271dff267fb00b53e2f5ea6ec5040e894af1f34eac522b48bf02f76ba,0,0,1,1,0,0,0,0,0,1,1,1,1,6,1
6724776ab4fa7e5e0749c62dc12374d3aff5d199692aee5aacc779b89681a085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68e1bbd4c2703b7f88557848ba12ae889798a1d983ad533067e883d1999aa8a8,0,1,0,1,0,0,0,0,0,0,1,1,1,5,1
6a648353a4bc84d3e6ac0a5cf0339e0a3c62b9a22926abf324af78d54f441f3c,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
6b4b137b0b9d4cfea6048536153bdd16f3b6d44cd160bdc07bfd50943f622393,1,1,1,0,1,0,0,0,0,1,1,1,1,8,1
80737eec3a3bab27ea31e49a7859807fb1ee583bf030320a08562b7b75b553c0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
8492671cfba64f547d5ba105ff55bed24e7b3637cb145432fde39d6c772b54d3,0,1,1,1,1,0,1,0,0,0,0,0,1,6,1
87125e6d4a1f43bf9f5c3b70527ad939894cb6d89673c28d08f257cd64fb60ca,0,0,1,1,0,0,0,0,0,1,1,1,1,6,1
91f69aaeb75297acc2f9eae157d1da57e34d7071d4b26f385a1c4351af58a41e,1,1,0,1,1,0,0,0,0,1,1,1,1,8,1
92d6030545dd80bf736f7773e95ac073533dfe31984f7cd32ea1ffe4ea5c236d,1,1,1,1,1,0,1,0,1,0,0,0,1,8,1
938ab0936739ab50a2e3306f93ecd06299c21b829a6408c936c441b5839b27a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
947aa52647e162fbdb0ddeeb4c0e738d798ea3eaf8fb84a1e9cbc1b40c73180e,0,1,1,1,0,0,0,1,1,1,1,1,1,9,1
9ba5ed45c238b1f18131fc65ab9db2e2e6b0633d8de8ad778cdbc2251823f051,1,1,1,0,1,0,0,0,0,1,1,1,1,8,1
ad48721cb9155d5f94972e96238da4968e6e7a4449a95a5676757d1ed9ce8a67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d4fd40f15a56726ca77935cf0c825fc0cda41ff2acdb821fd71f8510a8866b10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d6eb513801139c68a9717d5a87c55478d5fe8aa833205a92f79a526cd62af823,1,1,1,0,1,0,0,0,0,1,1,1,1,8,1
d9ba12f5576f901d8d7cdb2777b6587f5dc92941b572b53794d8df7a6d90a9af,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
e18ebcf9384c6131e9738c551015ce73d53533474f853922684d402dfe41598b,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
e524b0164e21d35c081be20cd44b921bc89cb5c0403583b4069868d871eddfad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e65e5699b910400b9fdcc094144e8af44b4d034037b13fa5ca289c9d0fb4c886,1,1,1,1,1,0,0,0,0,1,1,1,1,9,1
f081ea00dab936e4c6e25950ec53c0d45011b4683b5567164fbcfd11d2173905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa12fa87433a85097fe2370c6f00b488a292efcec26bc9d9d78fa8f67ffd06ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fee6043ba6b2426ff0690588d8ad74ea9224bb402d8acf94f35166fd151c6ffc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
