mutant_hash,org.apache.commons.codec.language.DoubleMetaphone2Test::testDoubleMetaphoneAlternate,org.apache.commons.codec.language.DoubleMetaphone2Test::testDoubleMetaphonePrimary,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualWithMATCHES,n_tests_killing,killed
0f4cbc9701e123ec8cec8b8cdaf23c6c0e4617740bf86c8aac41d4b7db3c45fd,1,1,0,0,0,2,1
15c7c22a8bd14fd187369648c46baad0bd18f01aa6cc13b1f90a90100cf6c449,1,1,1,0,1,4,1
193c4718b87ca05bae0f6f257e219b41a6e81c6a1c787f80310e8135405d0416,0,0,0,0,0,0,0
20ba08bbadc452cadad5320aa0d26cba4578f309dcf55d12c0ab96c5ad472305,1,1,0,0,0,2,1
272a8e2190ea5eca77f7babfa52243ce805bb520a5d904bbe90570f3befb66be,0,0,0,0,0,0,0
2db0343818dcb876cbad5c74e9a63709856f13b14cbe411f8efbe78554b2a10f,1,1,0,0,1,3,1
31b66761dac6fa5359846446ffab753b2d43afa81008e1874a7a0cb0d8fcc076,1,1,1,0,1,4,1
3527f3d78bbe5ec2ff3c150997b92e85ab86bac801d618e82c7cb16e13a8deef,1,0,0,0,0,1,1
4bd76b893d1fb70eae3bc73d27b4243a25d2de757e4997739241524cd3bf3cb0,1,1,0,0,0,2,1
52875d2294db70c1dec99e5d6ec9289a2c2543f26998d14a39aab359ede3d90f,1,1,0,0,1,3,1
54bdb890c150a81323841b34bc0bcac55cd03d66a736421d385efdf67c332ef2,0,0,0,0,0,0,0
7126d96479115fa2b9a14a9e68950d10f27dc0db1538b7a8a6a83b14f68f769d,1,1,0,0,1,3,1
87caac29401093bcc2b2116108d20e340b67bad9e8f20fc954f0d481009ce50a,1,1,0,0,0,2,1
8a20d0200e674061c6522de34f5be6f85e727580da8885e67edf6f066eccccd0,1,1,0,0,1,3,1
8d0e6c4c338c9a10d087ad76125221d88181adb46940bb4ce2a72ba2bc376448,1,0,0,0,0,1,1
9a762a765f1c946be3a3d708b25de75b4636eb3a041907f3d2d69f1eb71009a1,1,1,0,0,1,3,1
9f169d58a07c2cbbca1f82c8be85af097e33ba926c94581187483a91ecae17e8,1,1,1,0,1,4,1
a1b7cb8935f345aa32b197486a3a45e25d61d0d9b73535f4040a2515fc287ea0,0,1,0,0,1,2,1
abff84e0f4e7ece73e0080b3e44d8d62495ac8defb72cd3eaa093e91f2e41b98,0,1,0,0,0,1,1
ad3ac91a884a0c3aa27edf6d1e0d2242c872ad8d47719209ddab19e72797feb1,1,1,0,0,0,2,1
b9c5ab95020a6d27145be938de3c2983ebe7ee03e1e302f977276e177bf3dc20,1,1,1,0,1,4,1
bae3131aeb4fc0d5197a4028d2ce0ba7f5e9b347214be86a481a923c718f9d3d,0,0,0,0,0,0,0
c18b144744fab17cdbdf0531293d6ee7a66a54d6a98bb0c96c85ce20342aa1ac,1,1,0,0,0,2,1
c968344dd9603a6959ad43310c124c691cacd793d0a8152853912fd8b1f9de1e,1,0,0,0,0,1,1
cb74999063edb55d551d58cb7d9eb4843e056b1d5ac503fc3c3577d1fc79f980,1,1,0,0,1,3,1
df78ee7100973fb896ed4c00993b4566ba850f8fda18653d57142f6a5c6bf120,1,1,1,0,1,4,1
e39542719e02a25bbcea51d35da1d5a68baad29de98a41082f126291e41840e7,0,0,0,0,0,0,0
