mutant_hash,com.fasterxml.jackson.core.json.TestNextXxx::testIsNextTokenName,com.fasterxml.jackson.core.json.TestNextXxx::testIssue34,com.fasterxml.jackson.core.json.TestNextXxx::testIssue38,com.fasterxml.jackson.core.json.TestUtf8Parser::testNextFieldName,n_tests_killing,killed
048ccb03acfa7f701deddc18b88dc5ebfe3d0b53128700bc7b769925572c90af,0,0,1,0,1,1
0a4b37e7a69e52a1b45aac2a9c670ee968d8240ee4d271266d851853ce82ca02,0,0,0,0,0,0
134425ecab11dc661cc8601808172c510d55fbb2c804b6d65f0aaa919ad63437,0,0,0,0,0,0
185e46649c77a1bde0cf4ed5f87f979e8baefd185e96c2a06541f4e1dfdfcfe4,1,1,0,0,2,1
228b93c05d21187a269fb2f4c615dbbbb714a9c70eaa37a215e86a9fbd3eff28,1,1,0,0,2,1
23d97ec2c6bd75f8bbe6b5d79338b1e06a2621ae7a046ae240c48d65268e696c,0,0,0,0,0,0
2743d6dbfab14adc47418df84f8dbcc8a4493f799b7cd1d4b736bb0e19a4b653,0,0,0,0,0,0
30a693aff8db492c51b1138c7d4f23365604e58983847bfc34862aec504cb994,0,0,1,0,1,1
3773b1806dc1d6d6dad17e6b16d80f3a7766fad55292de7fa0570ff12a171ec4,1,1,0,0,2,1
4fc330e1c80a632a1e545874906af93a7c1516faa340d75bff14550aa5cb9f99,1,1,0,0,2,1
53f6d59d7ef3bf269e536867d61532f45f42681f86d062de98c347e709372b85,0,0,1,1,2,1
55e0a5332952222202197fbf1f66253fb2168864ae359c9246a38fe339cddd72,0,0,0,0,0,0
5b07ee0585a4e53b93b1732b49a40c11b0d95861cc77d5054df5ce12ba62b410,0,0,0,0,0,0
68b6170e720bf8e39949cba60c9fa078725dc6b81b48be6b2a22f544949b728f,0,0,0,0,0,0
6f4cf403dea123c70622efc9268e1cf64f6064eb212404c3706c3d777668231e,0,0,1,1,2,1
71bc516953c353f3083b3bd85bec34d170a6e7b0a83e5c9ac04c0ef9eec9edea,0,0,0,0,0,0
71c76fc8ccdcb4e28f6673f7dc8c334756a407aae9da3ef134aef2d6af8e9937,0,0,0,0,0,0
72c95a996ccbd19d1f6e91975700866744bdc085b1b79851f787f5df9111e4d2,0,0,1,0,1,1
7b775156b2ce97cd600adb8a58c8a5927b111f370c10fd5545f2606d6ef2dc54,0,0,0,0,0,0
8d7748dfacf994706e7e0d43d344cdc2fcf6b976b116950c48cd282c28226bec,0,0,0,0,0,0
a8f127606461e7f57664712d2ed02e96a853d1acd9d5e9c0e815b83df488caec,1,0,0,1,2,1
bd0964a0089bd0ba80abb1a157dc9d638ad003b0bbb7dab34124b4f9808dad54,0,1,0,0,1,1
c3179ac71fdff06191cd57ae01724ca070cc686bca74a3c694ae60a92213828c,0,0,0,0,0,0
c7a5b19c2ea6caf216a026abafadc5b91d5f46675316abb2633ab2399be51a03,0,0,0,0,0,0
d28e00d4f3883cc8472859e55a6e8b527e6f3d2d3bbad9d4e09c73823e05763f,1,1,0,1,3,1
dbd171b4182c06bbfe205675d65d75aa9d739f5025eaf68e945da595af956cdf,0,0,0,0,0,0
dc3432cc5baae45071dc63487f4317e28ccfaa114d097fb580bca611757591ef,1,1,0,0,2,1
e29debeef9728a74c7f336123e875476c12b59f85736676761ea70312ebe6fb7,0,0,0,0,0,0
e8991d52a1f6bb621e57015af6bba52afd3165549cc958e86851f31dac7fdb6d,0,1,0,0,1,1
f254dc46bd3cf8b76ea23019eeb1af6d7813190b17fae8b146a07da4160a1893,1,0,0,0,1,1
f55de6dc73f27dbbbe5622b321569d74ffb2b5d27ea833d0a2948fd3503cf7df,0,0,0,0,0,0
f97c7d4c22db353d438ae16ef0ce12cd4058644c7fab83455208e0a7799d9a46,0,0,0,0,0,0
