mutant_hash,org.apache.commons.codec.language.ColognePhoneticTest::testBorderCases,org.apache.commons.codec.language.ColognePhoneticTest::testExamples,org.apache.commons.codec.language.ColognePhoneticTest::testIsCologneEquals,n_tests_killing,killed
07fdcb52b059fe9edf1cd86e71efaf059f136069681100e9355dbfa133f3d590,1,0,0,1,1
23d1e5c3dece198f19250743855259a49ff1b14501bb579f359501dae440cf00,0,0,0,0,0
307ed051772830414cd43e4d84aa868d35eb1dea047ec1df8155679a2e3605a2,1,0,0,1,1
351a53f51ffa2e25606487aff087d15427d72e7273ed2ee5316b1cd7c3143d60,1,0,0,1,1
413737d10a2c784ef4f3eb021029a59353d432fef1887b970ad189ed7f1cc173,1,1,0,2,1
4276ef25f98ff43a38f9bd62ae3067ce8a132430ffb6cb7c7f13b3ccf4719016,1,1,1,3,1
57a1272e755d241fe990e41eb70453177037374bb634c22f4a4c4c8e52386b34,1,1,0,2,1
60610df6b11bc9da862d479782a37152461a3adda97ee18d31f5919615102723,1,0,0,1,1
6446a31068ed05de7801e818469b90cac7f255186e4a98bbea452c655c3e23c7,1,1,0,2,1
808a291d1c5eedd2b104a8c7c5a4fa3aca08acb976e92fbd0ad937f768942fcc,1,1,0,2,1
8125a4b394419108f2a00a6e8e16d179c537361ed6d8870e061752b4f17f4838,1,1,0,2,1
9332e7c4e128e276dfbb6e5eb788d767cf80063e747f4465348d8a9fd3ed0d5d,1,1,1,3,1
947807d0a33d70380ea7d40376aec7bbe061892f930aa385e0f7063bf82e5b34,0,0,0,0,0
94e22c782021f1293050bbcf8d3a2463a1fc6ec739e3512eebe889934755f42c,1,1,1,3,1
978424ed698ee82c7dcb4a5e54ec531bcb41654371ea41963201cd843f160af8,0,0,0,0,0
97dafe52fb22fd89b32ee16d8d0cc2bd2e3b06cb792a476902efacfb28702938,0,0,0,0,0
9db88e9a9fcbdfad43d43ccc854f08b0f50739da4bfb8a3b6ad522c11b4852dd,1,1,0,2,1
b4266a8c88ea8bfd7cbeea687b2daf6284c127a813081d61690dafcf6eafe8b8,0,1,0,1,1
c7993efce72213662e6387128d8f4e23836c46cd74d2a14b95aa204667b942d4,1,0,0,1,1
ddb267d2f37940b448aeb3bb96e8ef310bc13fb692b01d0328f0d01908a98f45,1,0,0,1,1
de0bc0f131af86cc000b28757a17ec6ed5411670504eb5a2cc7cfd8f3b5f03c5,1,1,1,3,1
f0db0ee5285371cb7a85d900a63d539fa348ac4d5ccfc9c2eda64aeace9d96d1,0,0,0,0,0
