mutant_hash,org.apache.commons.collections4.CollectionUtilsTest::testSize_Array,org.apache.commons.collections4.CollectionUtilsTest::testSize_Enumeration,org.apache.commons.collections4.CollectionUtilsTest::testSize_Iterator,org.apache.commons.collections4.CollectionUtilsTest::testSize_List,org.apache.commons.collections4.CollectionUtilsTest::testSize_Map,org.apache.commons.collections4.CollectionUtilsTest::testSize_Other,org.apache.commons.collections4.CollectionUtilsTest::testSize_PrimitiveArray,org.apache.commons.collections4.MapUtilsTest::testPopulateMultiMap,org.apache.commons.collections4.map.MultiValueMapTest::testIterator,org.apache.commons.collections4.map.MultiValueMapTest::testPutAll_Map1,org.apache.commons.collections4.map.MultiValueMapTest::testPutAll_Map2,org.apache.commons.collections4.map.MultiValueMapTest::testPutWithList,org.apache.commons.collections4.map.MultiValueMapTest::testPutWithSet,org.apache.commons.collections4.map.MultiValueMapTest::testRemoveAllViaKeyedIterator,org.apache.commons.collections4.map.MultiValueMapTest::testTotalSize,org.apache.commons.collections4.map.MultiValueMapTest::testTotalSizeA,org.apache.commons.collections4.map.MultiValueMapTest::testValues,n_tests_killing,killed
0423a383103eb4b3a147d278867beb693e309248101a4964f8656d2e5e3ffd52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
084cca9cf613863a429d2aa854a428d78d53a5d2db1b433705b1a5292d7589a7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
120e163e5a12ce81ea72722178a578a4e116163e85eb225af934e3b2f4d4a518,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1b0221ab82423d42a01ca1927c6cf703833ac8e00fd1f399eac08d309740c499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2b4349d1dffdb053c2813ad774209a8f03e872c03135558a32ee1f7386ad2809,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3038cf1fdb6c95ec77db9f5b6da2f3def57c0cdc10191835bddc5a7384ec58ae,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1
43ff2d6fb05e2988db0eac2628e146c037859a3659fa527c75c10590bdd20010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44d4023be79f3958c544c26fc9ac87c103b22788f86db9fe26f8cc3b2a9d209f,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1
4a54816bb5485df7035e27bba248d42214d41ed8aff6b2cc750fc19b2d0e574a,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
56cc29d9e15bfe6d2b8d5784960d667582fdee1fd1d6b3f4b930c9adf7689223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6454f996606b5e934e4cbf5188e87ea82d9fa6159399294b63d06304e8cc94f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68aee0af77fa37e938fca806b40b03ae8cef2e91b6c39d236c4fe130636bb552,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,10,1
795b551b4a3b077003166a6b44d289271a30b0d7b53b55b73453f62c0a3d53b6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
7f68ece70eb07bd2cb5ca5b6a323d1e66daaeda657944ce5caaa82cc35278207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85e51f99b6f7b6e74ab25adee8fafc02d79be540f5ccc4cd5e740a8d567d5429,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,10,1
8827ec611d0a68b2a0e7d461a8edf634fba1fc0e62687475c318acb0e39edc72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9264be5a5bbcb2b7cbf596d5defc3792bbc63145698ef46e5d0dfb1b77940136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
9a29f041a58b4fb4e4bfe9f8c1e11e2bbfdd2789eff2b58a1f2fc1b0f372e268,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9ac0014b55c0cde5f1cf76845036f23a326870b9afd6877cbae7538694949b04,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1
a096a125f1f349e2e4ebb09311619a2722035ed6af6c49ccc33449ea70b79733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a90ba4293ccee0115c137480e94b9912c5cf4072fbb0a70a40da0568b8efbb1d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ac8281db69575315f08687a7df84ef35cf3dacf33c6767b317470b3de0732c31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
b3a65c9df4cc4f7d13ea11976e13cc697b591ab4a10a13b8fa9c50c20ab640e9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
c2829d7f770ec5daaef4fec5ecab7e37c0a82f49b296e8fdb5e8072c9343bbc2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
d66e4b08cf862accf54c376633612dd8a5422e6d0a94c27c18ba9d1307a4ca61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
f4c684645378b32c8a977a3597eb2cc8eab05f21b192193d1117e48fe75ce847,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
f8d8d055fca1059a939043317cbf4a49aa5f42dccbf5b9d5f5a8d7224660a3fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
