mutant_hash,com.fasterxml.jackson.dataformat.xml.RoundtripContentTest::testRoundtrip,com.fasterxml.jackson.dataformat.xml.adapters.TestIssue47Attribute::testEmptyStringFromElemAndAttr,com.fasterxml.jackson.dataformat.xml.deser.TestBinaryData::testTwoBinaryProps,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testFromAttribute,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testMissingOptionalAttr,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testOptionalAttr,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testRoundTripWithJacksonExample,com.fasterxml.jackson.dataformat.xml.deser.TestEnums::testEnum,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testEmptyElementToString,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testEmptyStringElement,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testMissingString,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testSimpleStringElement,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testStringArrayWithAttribute,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testStringWithAttribute,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testStringsWithAttribute,com.fasterxml.jackson.dataformat.xml.deser.TestViews::testIssue7,com.fasterxml.jackson.dataformat.xml.incr.PartialReadTest::testSimpleRead,com.fasterxml.jackson.dataformat.xml.jaxb.JAXBObjectId170Test::testPolyIdList178,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest::testAsTextWithJAXB,com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest::testEmptyList,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest::testOptionalsWithMissingType,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest::testWithTwoAttributes,com.fasterxml.jackson.dataformat.xml.lists.ListAnnotationSharingTest::testAnnotationSharing,com.fasterxml.jackson.dataformat.xml.lists.ListAsObjectTest::testCollection,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testUnwrappedListBeanDeser,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedList,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedListBeanDeser,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedListWithAttribute,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest::testWrappedListWithGetters,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest::testListWithAttrOnlyValues,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest::testOptionals,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest::testParentListRoundtrip,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test::testNestedUnwrappedLists180,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest::testNested1_2,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest::testNested1_2b,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest::testNested2_1,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest::testNestedWithEmpty,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest::testNestedWithEmpty2,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest::testArraySerialization,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest::testListSerialization,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListWithEmptyCData129Test::testListWithEmptyCData,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest::testDefaultWrapping,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest::testDefaultWrappingWithEmptyLists,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest::testOptionalsWithMissingType,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest::testUnwrappedLists,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest::testWrappedLists,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest::testListAsProperty,com.fasterxml.jackson.dataformat.xml.misc.EmptyPolymorphicTest::testEmpty,com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test::testSimpleCollectionDeserWithForwardRefs,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest::testAsClassObject,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest::testAsClassProperty,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest::testAsPropertyWithObjectId,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest::testAlternateTextElementName,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest::testDeserializeAsText,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest::testIssue24,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest::testIssue66,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest::testTextOnlyPojo,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest::testSimpleUnwrappingRoundtrip,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest::testUnwrappingSubWithAttribute,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest::testUnwrappingWithAttribute,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation::testSimpleIntBean,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation::testSimpleStringBean,com.fasterxml.jackson.dataformat.xml.ser.TestJDKSerializability::testMapper,com.fasterxml.jackson.dataformat.xml.ser.TestSerializerCustom::testIssue42,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testListViaObjectReader,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleViaObjectReader,n_tests_killing,killed
0dd21d93e5764c093c63fe7524342edfdea08b2e66dccba4ae7ef36f98e87c18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,10,1
0ecf4e97a3fa52897ecd55c73a9ff08bd3361a7a98adaf4472cc026785c3cdf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,21,1
12db5d9c62460578057ba6aaa1eaf0ef8482a15eccb72698fb5f5ff22873b35a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b0bc614847a3234899033c8aab1725929f737204e782f94c40d4d50bec67a2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1f117f4beaf9ced483d33b19338d78fd63465968b25c137e05cb97acb70a8669,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66,1
2b5d3872295555522d4e6f779654c435e09257bc73fa3d2a7580c116a8f74fb0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,10,1
2b8deed33af669709c6e4c828e03997f8bd29be487a5c54fe7e333700da96554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
334de341617a45c1d01fd75ce6e3586d69a64fbc5fc3aa31f1429e9f23932dd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3bead593e4035d2d490cca67cd7440304f291f283e682d2a13d51b207398c618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4224a2db2494ddd4c672db817c48604f38ac78c24e8f63d108a7ce20a4dc374a,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,10,1
4e96cf202bed4ea6719fd75904e649c4f47e28d0704e5a68994d086cd679e478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53f7dbb4d1b3f1b663dcbcfd8f2727b1e7c6bf8a14e89c33635ccc77c8ea149f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a6a693f91b88bb550426e119ac0928e7ede97515bef77b7ce2e71cadb1c26c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6db2fb975908b90f1dc80dc226f058b7cad0974b71bbd4931cf5114e98beab71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94d802d0e744949ed5a635d26e55c2916216eb0331bab12a2c39141c9bde3d5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9a07927a4b094c06ffd452bc76e3053d394d85de09bd64fe274f434d6880932c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
