mutant_hash,org.apache.commons.compress.compressors.BZip2TestCase::testBzipCreation,n_tests_killing,killed
029c9c8e025b86fe7a207980bacf799fc35dceb9ca2c24d810b7610029015e5d,0,0,0
0583dd4d3502e57f3b47c27c3f826815118ba157ea4f339b39d1ccecbfb6e254,0,0,0
061b51b5602f80a811dd59dd531b5620a8089016baff94bb877566bd7afc5e3a,0,0,0
12bfb3ec3454d71b96459ae90c793665840e681cd1abe43fc5c9d89894d52b42,0,0,0
1bcf0b3a730d8ff06c491dc8b38527f32f7cc7df07a96ed397aed42813a4f4fb,0,0,0
20b5bcfc0c4509dc772208af22f5389a271a1976167f6459e211bd2fe376812b,0,0,0
259c6d0b2559743ab522d27f3ad851aab1d8c0a5604534f35308808e601f99f0,0,0,0
29654c0117e34b55a4eb9af04fbfe3c43f4a22a9ff076af24d1015262f711ddb,0,0,0
2def8da1e0d100339e28c459dd11ac39a51bfac8813cc34ab85b15a949d84822,0,0,0
32aabaa42d3754d88ace53fc65d9e48aee5433b2a0867e32094bbf11b0ccbecc,0,0,0
3e9a2c6d3f819c58e03fad1822f7b95346473776905214f5654e268d605079dd,0,0,0
41bc24f7ab971ca096a495e47ff8d8d098530eb994a2034fe56c01687a9855a1,0,0,0
516d03854856c6cc56de13260c63c1542bb91e8d070161f0de71d11314759e95,0,0,0
554de8ec58dbb0a470134b409d9524a8d756ec5059550a8ec4790df6809bea19,0,0,0
5f5d24c77e15727221ee39331f58428882b5c4ea79329b750bc0ffda95474d89,0,0,0
67c2b904e22e3f08781e58af7bf7212ef80abdc53137fd4559c3012de456391d,0,0,0
6949cc044c8677edf2f08ca5d0e9b08b9bd92531e466ff2a850720731445ea2d,0,0,0
76ee4f2961aa8907b50cb39d386631cb43197a74d570f3fd1779aacc4beab220,0,0,0
800767db88e434668cd4cb22aaf59b1a13b2aa8e28093dbdca2ec9d2da8dd916,0,0,0
8671913b78b61018afed255fd352b2a760e551baa05a27827efe10053fd45980,0,0,0
89799cc8038494567073018f90ba5faad60e8a6f3c119543338c86771d6bc36e,0,0,0
8e8cd48b7c80aa49ee71a609644445af95113cab1b517d15524d467d883b4008,0,0,0
9c51a96d10ac435c387e8a71f23ba99f3debcbed92be02e5fbe8f2f424558a45,0,0,0
9e4572002911877dd86691b9aae3492e30b0593e167050464bd9389a0748db40,0,0,0
a28b232c161e2a0a6809cf459d7107c91225531d9c0af140b01226111badad23,1,1,1
aefd1a0edaeefd2bdb9b231b7fc7ae510cbee89ece70afad8082070ce0658f63,0,0,0
c6367f9851441ade0ddab4c12ae41c9920309a8f6eeb021d5c075f638295c4dc,0,0,0
c914f84abc12ed24599700213cfc91d358b5c1e5922bdfa9856e7f29f62aa755,0,0,0
ccb8cfd5c54dbaae7d1abf660ec15137052b861d84f9a48f79f613b49f4e0026,0,0,0
cfb5a773570612e480b3297b6e670f1c4e9e3ff1c131ab08f2a84d8e117c25a6,1,1,1
d2ef4a773defcc77fbbf45a04ada545749d8bba5d0b04cf27e7c09e36b43b998,0,0,0
d58ed6cbb4fa2d6b900fc4dac1b970de20726574da2a76fe3cfb0374376fd8d8,0,0,0
e1ec34a86bb4500fc98f70b4427726faf2a935923342cf2d9128f3527f103ecb,0,0,0
f2c341b39474d3e89cd09006fe8a18af63b878d85218d2001b066793bedfd9f1,0,0,0
f997c482a11f069afbd58d5ee99b6f23ae783bbdcb104d2333ed8d458ffc4578,0,0,0
fa766a295013771f5657f846ed732f8604fee40d8a875bc7c695e329b74c884e,0,0,0
fc016f50e421d3302ecb220ee1ebadeecb5773086f59dbd06cf77cfbcee8aa0d,0,0,0
fcd343a70556ae466add40f29aab8c3a834ccdd403d1956b1f10ae58639b652d,0,0,0
