mutant_hash,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualBasic,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualWithMATCHES,n_tests_killing,killed
03f4498c45bb9c02c8d3bb8c896cfd271ef4a338a3d462efa39f369c53188878,0,0,0,0,0,0
1719b6d9c7ae23a6e08a92ff8d358ef0e8c34611cc5071699b19f420f3ad9174,0,0,0,0,0,0
2f706ced43cb20a66883e5a181d112f328446dc22c23b7c93e36d9e35d6c1c7b,1,1,0,1,3,1
53ac05d77719a59e47a17b205ab1c735edba97f6703a5e68ad62b20c6d3611c5,0,0,0,0,0,0
58ff54f7b8330751c3292b1584db020ef2fdf1a1c2c8937864591128d0f21aab,0,0,0,0,0,0
6a8ae6723c9aa50b62f2bed9ee9ee728e441e01d3691672d25228e8263495374,0,0,0,0,0,0
72984b6206c2696bc5f8f4bacd14955deaebf2f3102e50f60f12da4176475e23,0,0,0,0,0,0
7355aefe80767911d14d15a66910cae31c5400407ceeb92d3f28aeb1532592de,0,0,0,0,0,0
815fcdd97656669e08e04dc4a6a84f6d6c518c82eecb49f4a82e4eac73c33a3c,0,0,0,0,0,0
819f4f8a5510fc189819050f73eca7978471d1d859f72d57f9ba728f67016f47,0,0,0,0,0,0
84e75ffa6f1ee9641763fc284930342ac65464eb82625e11d1ff0fb63bc15483,0,0,0,0,0,0
8f4efdd014b96ce9655533f0eaed0f245958c39679ae3eefdb99df4497626291,1,1,0,1,3,1
973981d39378b03feb62470a425513aa2a800af7ce87e2aa22a10ff268f37d2c,0,1,0,1,2,1
9cb67bdf22f48114ce6ed64432602df71c4f42d5f1120b82e993364f1c16874f,0,0,0,1,1,1
a842786a40b3f7edeb00be8cef103c181789b40930cf92696da4cce879febc24,0,0,0,0,0,0
b04292b7ec5f7f80eb7679b0c0eec105484f4e1232f1f8aab346089f3c118364,0,0,0,0,0,0
c3aa715980f4c929da6e3370a531832b066932884b892a1ed4729a219f79f37b,0,0,0,1,1,1
cabbb6fc65bb629d5efb7918ecbccb02fc890a8988ad6c23c9a9b408cfca1ce5,0,0,0,0,0,0
ccf9ae79b38568b828d79f6aaaf4403d2633088bc9cc8328efb220f58b190baf,1,0,0,0,1,1
e18ba95e40555a0ea04856ad34d8b330dfef505c9ae9a3f9fe63b77ea14eecdd,0,0,0,1,1,1
e9926d5f978fc3fcfdcdda0ce263ee607d22ed0ae6a71c87a25cfbd35baf232b,0,0,0,1,1,1
eab59d748031179b4adb8227f6d99beed71624f3368c96ba60192a1a077347d4,0,1,0,1,2,1
f00380fe8decc03aeb191f02eba2c5204beb80bc6dc1dd5ddd330b56a7774000,0,0,0,1,1,1
f3f117a550aa970a5eb0597fbadd752c3786e369f00946988c77f80a27f8fd3c,1,0,0,0,1,1
fe6f9a4079d087d330c816248f983830f4b9f7ffaea32ca87ce0663535ad7a9b,1,0,0,1,2,1
