mutant_hash,com.fasterxml.jackson.databind.jsontype.TestDefaultForObject::testTokenBuffer,com.fasterxml.jackson.databind.ser.TestJacksonTypes::testTokenBuffer,n_tests_killing,killed
05907b8b485f5dff21420509872c57cb9a7f02d75fb5d589adae36f4ea45c9f4,0,0,0,0
08c8e1ae9b5a5c548026793c6add2dcf36bd327af79942c80fbbe1eeaf4fb3bf,0,0,0,0
2a161b8b819b4d79d90b7a5febcf09ccb22bcfd5b871e0e9fe4001123e883ebc,0,0,0,0
2ac0b296b05dabe68e74c64dcd061f382fde66b31b9eb5cce87c17d1dd646634,0,0,0,0
2febab2ecbcd8e0c10874f9bbc18a0ac09fabc5e9abc7225ff03550d13fcffb4,0,0,0,0
3345d03e780125dcd82d13e2aa62abb151c58544fed74e0adfab54bf7df291dd,1,1,2,1
3adf1a8ee268373dbaccf67749572b380845d133ec4da499b8823220b3da41ac,1,0,1,1
3c39a730688b9ee90ff6f244fc39a3cbdc4362d503bf96b1d1a7db90771e978b,1,1,2,1
43d87705565aa2c80b171fc31b676811ae25073044e2c42e6a433fad5504a965,0,0,0,0
470f7b563a2c37fe272b414671be0aed2219cf6db9d67868e88ea579499bf1aa,0,0,0,0
4755c3f67339012962374f776b9917512b9dc82d6bdcbe24473fbbf61ae5459c,0,0,0,0
4f21176865fd5c197d29a77d7ec688e5d9af471cc54eae89160d95e44ce8d717,0,0,0,0
56f86f4d79d15192adb520518b85d667807b2087996c3e790c8799e8f8f45192,0,1,1,1
6baa40544a22136fbfadff223f2da5be38f363a5499bc40fc1359dbc2e39cf6c,0,1,1,1
6ebda23a2eb847bed6674fe1dd07582545a73cf20a8dc1592c1796b4e94b5471,0,0,0,0
70f6065dd3e46df64718519aba19e0e1407544fc11756fc4deb17d02d420fa1c,0,0,0,0
7b95527b1cc1dab97326b2b030fa7e0b3fc3add138961ca4cf18a8da6ebdcb53,0,0,0,0
87086b777267faf442922f22d1db6e1a31b5d915f51dda206382aaa2711fc466,0,0,0,0
9783e2f07f484bae1daf33bbe13390594c231be3a44dc68b3590560bd12a64f1,0,0,0,0
a8aac3c74751e3731a8491fa457761a342358b4f0f5ecd8f911ba6ad6db40000,0,0,0,0
a9d716496be806b8028ad459aef5108dce6c3fc0e6f48fb8397ba8f38b332ef4,0,0,0,0
af01ba5798a64e3edc73043f67c6796ec6f56ee684f74206abfce9871080852f,0,1,1,1
bb11f001b03ce121cf8489e58ba43569e2f074e3089c915784b2706853d11219,1,1,2,1
be784768b2c19e03bf23a34faf7e4e80affc8586ee2b079aba6dda9923550ebb,1,1,2,1
bfcd3d2e3bfe11e8b11bf79d3812c9830c254d7425c8bdf932b320a623ffa921,0,0,0,0
c52cb02923e1ff44a5cc7eee7385284945a7754da09baa98da173bb61ef28f4b,0,0,0,0
ca3c59711c5d22d2809ce32a02f4a34f6a13ba89f41b74c685cd2bf3fa1cdab4,1,0,1,1
d2a192cddc9853eaa4399a0a814d34601cfbfd1cbc93bf51fd66b6e899db3ca0,0,0,0,0
dd9b43ad8f083ee6d9740dbef1d4a4eaf56b863d953a992c0868614e25f0efcb,0,0,0,0
dfd61b5d8ed1faa7244a946636d28af385acfbb07fe70a2ce46a19137610ab86,1,1,2,1
e1ac8d443e5aeaa8e338acd853011430d54b2dc15bddb6a512b80e3147f557e9,0,0,0,0
e325cdadd837eb4bb2e5f3a8ecf05edcc7cf10181f136195da7b29f23712c1e4,0,1,1,1
e99a4edbf1520eb528a95a374cc351694a0c404e0d619a12e3a4a063a83ac8b4,1,1,2,1
ec9f500e8db140865b2cfc4bab6a09f9d081daa6d9997f12266b5d087304af84,0,0,0,0
f52cdf6de38b971f35e959c010f78d08587070f929fc6cc3695f307e949e0f06,1,1,2,1
f8c2aa8d25409c46fa360221cf167e36a9d017f5ecb072ee4dab4cbe3a78eb2b,1,1,2,1
f91a6001cd9058c500d306fe1d059bd96501119a0d64f0d76b960a59baf1decd,0,0,0,0
fd99d1f04513b773956c3e9830a756f208afa5835b2bcb37f1bf64f8ce8cf4e0,0,0,0,0
