mutant_hash,org.apache.commons.csv.CSVParserTest::testBackslashEscaping,org.apache.commons.csv.CSVParserTest::testBackslashEscaping2,org.apache.commons.csv.CSVParserTest::testCSV57,org.apache.commons.csv.CSVParserTest::testCarriageReturnEndings,org.apache.commons.csv.CSVParserTest::testCarriageReturnLineFeedEndings,org.apache.commons.csv.CSVParserTest::testClose,org.apache.commons.csv.CSVParserTest::testDefaultFormat,org.apache.commons.csv.CSVParserTest::testEmptyFile,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,org.apache.commons.csv.CSVParserTest::testExcelFormat1,org.apache.commons.csv.CSVParserTest::testExcelFormat2,org.apache.commons.csv.CSVParserTest::testForEach,org.apache.commons.csv.CSVParserTest::testGetHeaderMap,org.apache.commons.csv.CSVParserTest::testGetLine,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithCR,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithCRLF,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithLF,org.apache.commons.csv.CSVParserTest::testGetRecordNumberWithCR,org.apache.commons.csv.CSVParserTest::testGetRecordNumberWithCRLF,org.apache.commons.csv.CSVParserTest::testGetRecordNumberWithLF,org.apache.commons.csv.CSVParserTest::testGetRecordWithMultiLineValues,org.apache.commons.csv.CSVParserTest::testGetRecords,org.apache.commons.csv.CSVParserTest::testHeader,org.apache.commons.csv.CSVParserTest::testHeaderComment,org.apache.commons.csv.CSVParserTest::testIgnoreEmptyLines,org.apache.commons.csv.CSVParserTest::testIterator,org.apache.commons.csv.CSVParserTest::testLineFeedEndings,org.apache.commons.csv.CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,org.apache.commons.csv.CSVParserTest::testMultipleIterators,org.apache.commons.csv.CSVParserTest::testProvidedHeader,org.apache.commons.csv.CSVParserTest::testProvidedHeaderAuto,org.apache.commons.csv.CSVParserTest::testRoundtrip,org.apache.commons.csv.CSVParserTest::testSkipAutoHeader,org.apache.commons.csv.CSVParserTest::testSkipSetHeader,org.apache.commons.csv.CSVPrinterTest::testParseCustomNullValues,org.apache.commons.csv.CSVPrinterTest::testRandom,org.apache.commons.csv.LexerTest::testBackslashWithEscaping,org.apache.commons.csv.LexerTest::testBackslashWithoutEscaping,org.apache.commons.csv.LexerTest::testBackspace,org.apache.commons.csv.LexerTest::testCR,org.apache.commons.csv.LexerTest::testComments,org.apache.commons.csv.LexerTest::testCommentsAndEmptyLines,org.apache.commons.csv.LexerTest::testDelimiterIsWhitespace,org.apache.commons.csv.LexerTest::testEscapedBackspace,org.apache.commons.csv.LexerTest::testEscapedCR,org.apache.commons.csv.LexerTest::testEscapedCharacter,org.apache.commons.csv.LexerTest::testEscapedControlCharacter,org.apache.commons.csv.LexerTest::testEscapedControlCharacter2,org.apache.commons.csv.LexerTest::testEscapedFF,org.apache.commons.csv.LexerTest::testEscapedLF,org.apache.commons.csv.LexerTest::testEscapedMySqlNullValue,org.apache.commons.csv.LexerTest::testEscapedTab,org.apache.commons.csv.LexerTest::testEscapingAtEOF,org.apache.commons.csv.LexerTest::testFF,org.apache.commons.csv.LexerTest::testIgnoreEmptyLines,org.apache.commons.csv.LexerTest::testLF,org.apache.commons.csv.LexerTest::testNextToken4,org.apache.commons.csv.LexerTest::testNextToken5,org.apache.commons.csv.LexerTest::testNextToken6,org.apache.commons.csv.LexerTest::testSurroundingSpacesAreDeleted,org.apache.commons.csv.LexerTest::testSurroundingTabsAreDeleted,org.apache.commons.csv.LexerTest::testTab,n_tests_killing,killed
0645197e63031ab8511df461f980ae74b980a155cbcc6fe19eab2c586c6a419c,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0d0fd51c81202849fee333cf3596405c3a5a25cdebd612759a21d689f5e2cc4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0e3996307c4104e763d52aea78221a1fd050735a20180a4abf67357893f7714f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d1c41dd845a7db34a8cc09017108107f5d35e62f9c9d9bb1621ce17995331e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5395eac53fe0480a2da1806c985e241dd05aa45bf9c4d238f7b85c33c3e1b516,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,14,1
557f9642295a0a10eec0b687781571bfa6c83818bba61e1483517a52415580c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57520d0bf1e134fd3d917db389991afdb0b4dbee4f2705d544511c5b926e1706,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63,1
5f2a9703052d26419c97c2bfd840362ba6e4a453ca448cefa49932b92982032c,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,1
6132b73e4430039a58ead80038d469f0e1f0b48a7d85fa848b7fd2b9381f89d1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,1
754ff092758ba09e36e50b7c2c3bce3628a2bee448e532a54a75e9d257a754d3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1
7835afcb3fa35f4044424a87a18c3befd3dd52f74d39aa4cb52cea2a0851e5fb,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63,1
