run_name,run_dir,created_at_utc,started_at_utc,completed_at_utc,run_mode,run_status,failure_reason,failure_message,dataset,subject_id,version,target_id,target_id_meta,batch_id,run_group_id,run_index_for_target,runs_per_target,function_name,file_path,start_line,end_line,language,experiment_name,mutant_source,model_name,model_provider,prompt_name,prompt_version,temperature,n_requested_mutants,n_accepted_mutants,n_rejected_mutants,acceptance_rate,rej_duplicate_mutant,rej_unchanged_mutant,rej_non_executable_change,rej_non_executable_structural_change,rej_precode_not_found,rej_ambiguous_precode_match,generation_mode,dataset_split,missing_target_tests_policy,target_test_coverage_status,eligible_test_count,target_tests_csv_path,parsed_mutants_integrity,loaded_mutant_count,recovered_mutant_count,missing_mutant_count,notes,requested_mutant_count,indexed_input_row_count,indexed_used_row_count,deduplicated,total_mutants,build_successes,executable_mutants,killed_mutants,survived_mutants,baseline_failures,build_success_rate,executable_yield,mutation_score,parse_failed,parse_error_message,rej_invalid_json_response,indexed_rejected_artifact_count,target_run_count,new_mutants_for_target_in_run,repeated_mutants_from_prior_runs,cumulative_unique_mutants_for_target
batch01__gmp-14166-14167__mpz_gcdext__gmp_14166_14167_mpz_gcdext_line27_119,harness/executions/c/llm/batch01/batch01__gmp-14166-14167__mpz_gcdext__gmp_14166_14167_mpz_gcdext_line27_119,2026-06-27T22:28:04.121210+00:00,2026-06-28T17:32:50.350779+00:00,2026-06-28T17:33:49.844911+00:00,overwrite,ok,,,manybugs,gmp-14166-14167,f,gmp_14166_14167_mpz_gcdext__line27_119,gmp_14166_14167_mpz_gcdext__line27_119,batch01,batch01__gmp_14166_14167_mpz_gcdext_line27_119,1,1,mpz_gcdext,mpz/gcdext.c,27,119,c,batch01__gmp-14166-14167__mpz_gcdext__gmp_14166_14167_mpz_gcdext_line27_119,llm,codegeex4:9b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,7,1,0.875,0,0,0,0,0,0,batch_once,,report_and_skip,mapped,1,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,7,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch01/batch01__gmp-14166-14167__mpz_gcdext__gmp_14166_14167_mpz_gcdext_line27_119.json,7,7,7,True,7,7,7,7,0,0,1.0,1.0,1.0,False,,0,1,6,7,0,7
batch01__gzip-2009-08-16-3fe0caeada-39a362ae9d__huft_build__gzip_2009_08_16_huft_build_line292_495,harness/executions/c/llm/batch01/batch01__gzip-2009-08-16-3fe0caeada-39a362ae9d__huft_build__gzip_2009_08_16_huft_build_line292_495,2026-06-27T22:28:33.883682+00:00,2026-06-28T17:34:09.451772+00:00,2026-06-28T17:35:00.589037+00:00,overwrite,ok,,,manybugs,gzip-2009-08-16-3fe0caeada-39a362ae9d,f,gzip_2009_08_16_huft_build__line292_495,gzip_2009_08_16_huft_build__line292_495,batch01,batch01__gzip_2009_08_16_huft_build_line292_495,1,1,huft_build,inflate.c,292,495,c,batch01__gzip-2009-08-16-3fe0caeada-39a362ae9d__huft_build__gzip_2009_08_16_huft_build_line292_495,llm,codegeex4:9b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,8,0,1.0,0,0,0,0,0,0,batch_once,,report_and_skip,mapped,3,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,8,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch01/batch01__gzip-2009-08-16-3fe0caeada-39a362ae9d__huft_build__gzip_2009_08_16_huft_build_line292_495.json,8,8,8,True,8,7,7,7,0,0,0.875,0.875,1.0,False,,0,0,6,8,0,8
batch01__gzip-2009-09-26-a1d3d4019d-f17cbd13a1__treat_stdin__gzip_2009_09_26_treat_stdin_line606_692,harness/executions/c/llm/batch01/batch01__gzip-2009-09-26-a1d3d4019d-f17cbd13a1__treat_stdin__gzip_2009_09_26_treat_stdin_line606_692,2026-06-27T22:29:01.015507+00:00,2026-06-28T17:35:19.773331+00:00,2026-06-28T17:36:05.064888+00:00,overwrite,ok,,,manybugs,gzip-2009-09-26-a1d3d4019d-f17cbd13a1,f,gzip_2009_09_26_treat_stdin__line606_692,gzip_2009_09_26_treat_stdin__line606_692,batch01,batch01__gzip_2009_09_26_treat_stdin_line606_692,1,1,treat_stdin,gzip.c,606,692,c,batch01__gzip-2009-09-26-a1d3d4019d-f17cbd13a1__treat_stdin__gzip_2009_09_26_treat_stdin_line606_692,llm,codegeex4:9b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,7,1,0.875,0,0,0,1,0,0,batch_once,,report_and_skip,mapped,4,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,7,0,0,"[('tmp/base_batch01__gzip-2009-09-26-a1d3d4019d-f17cbd13a1__treat_stdin__gzip_2009_09_26_treat_stdin_line606_692/build-aux/gnu-web-doc-update', 'tmp/batch01__gzip-2009-09-26-a1d3d4019d-f17cbd13a1__treat_stdin__gzip_2009_09_26_treat_stdin_line606_692_worker01/build-aux/gnu-web-doc-update', ""[Errno 2] No such file or directory: 'tmp/base_batch01__gzip-2009-09-26-a1d3d4019d-f17cbd13a1__treat_stdin__gzip_2009_09_26_treat_stdin_line606_692/build-aux/gnu-web-doc-update'"")]",7,7,7,True,7,7,7,7,0,0,1.0,1.0,1.0,False,,0,1,6,7,0,7
batch01__gzip-2009-10-09-1a085b1446-118a107f2d__get_method__gzip_2009_10_09_get_method_line1251_1436,harness/executions/c/llm/batch01/batch01__gzip-2009-10-09-1a085b1446-118a107f2d__get_method__gzip_2009_10_09_get_method_line1251_1436,2026-06-27T22:29:27.907012+00:00,2026-06-28T17:36:24.312512+00:00,2026-06-28T17:36:40.608126+00:00,overwrite,ok,,,manybugs,gzip-2009-10-09-1a085b1446-118a107f2d,f,gzip_2009_10_09_get_method__line1251_1436,gzip_2009_10_09_get_method__line1251_1436,batch01,batch01__gzip_2009_10_09_get_method_line1251_1436,1,1,get_method,gzip.c,1251,1436,c,batch01__gzip-2009-10-09-1a085b1446-118a107f2d__get_method__gzip_2009_10_09_get_method_line1251_1436,llm,codegeex4:9b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,2,6,0.25,0,0,0,1,0,0,batch_once,,report_and_skip,mapped,4,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,2,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch01/batch01__gzip-2009-10-09-1a085b1446-118a107f2d__get_method__gzip_2009_10_09_get_method_line1251_1436.json,2,2,2,True,2,1,1,1,0,0,0.5,0.5,1.0,False,,0,6,6,2,0,2
batch01__gzip-2010-01-30-fc00329e3d-1204630c96__get_method__gzip_2010_01_30_get_method_line1237_1427,harness/executions/c/llm/batch01/batch01__gzip-2010-01-30-fc00329e3d-1204630c96__get_method__gzip_2010_01_30_get_method_line1237_1427,2026-06-27T22:29:59.134257+00:00,2026-06-28T17:37:00.019892+00:00,2026-06-28T17:37:35.394634+00:00,overwrite,ok,,,manybugs,gzip-2010-01-30-fc00329e3d-1204630c96,f,gzip_2010_01_30_get_method__line1237_1427,gzip_2010_01_30_get_method__line1237_1427,batch01,batch01__gzip_2010_01_30_get_method_line1237_1427,1,1,get_method,gzip.c,1237,1427,c,batch01__gzip-2010-01-30-fc00329e3d-1204630c96__get_method__gzip_2010_01_30_get_method_line1237_1427,llm,codegeex4:9b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,6,2,0.75,0,0,0,1,0,0,batch_once,,report_and_skip,mapped,4,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,6,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch01/batch01__gzip-2010-01-30-fc00329e3d-1204630c96__get_method__gzip_2010_01_30_get_method_line1237_1427.json,6,6,6,True,6,3,3,3,0,0,0.5,0.5,1.0,False,,0,2,6,6,0,6
batch01__gzip-2010-02-19-3eb6091d69-884ef6d16c__main__gzip_2010_02_19_main_line407_584,harness/executions/c/llm/batch01/batch01__gzip-2010-02-19-3eb6091d69-884ef6d16c__main__gzip_2010_02_19_main_line407_584,2026-06-27T22:30:28.205932+00:00,2026-06-28T17:37:55.136335+00:00,2026-06-28T17:38:20.562844+00:00,overwrite,ok,,,manybugs,gzip-2010-02-19-3eb6091d69-884ef6d16c,f,gzip_2010_02_19_main__line407_584,gzip_2010_02_19_main__line407_584,batch01,batch01__gzip_2010_02_19_main_line407_584,1,1,main,gzip.c,407,584,c,batch01__gzip-2010-02-19-3eb6091d69-884ef6d16c__main__gzip_2010_02_19_main_line407_584,llm,codegeex4:9b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,3,5,0.375,0,0,0,0,0,0,batch_once,,report_and_skip,mapped,4,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,3,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch01/batch01__gzip-2010-02-19-3eb6091d69-884ef6d16c__main__gzip_2010_02_19_main_line407_584.json,3,3,3,True,3,3,3,3,0,0,1.0,1.0,1.0,False,,0,5,6,3,0,3
batch01__libtiff-2005-12-21-3b848a7-3edb9cd__TIFFReadDirectory__libtiff_2005_12_21_TIFFReadDirectory_line69_682,harness/executions/c/llm/batch01/batch01__libtiff-2005-12-21-3b848a7-3edb9cd__TIFFReadDirectory__libtiff_2005_12_21_TIFFReadDirectory_line69_682,2026-06-27T22:30:53.549257+00:00,2026-06-28T17:38:39.890921+00:00,2026-06-28T17:39:14.701174+00:00,overwrite,ok,,,manybugs,libtiff-2005-12-21-3b848a7-3edb9cd,f,libtiff_2005_12_21_TIFFReadDirectory__line69_682,libtiff_2005_12_21_TIFFReadDirectory__line69_682,batch01,batch01__libtiff_2005_12_21_TIFFReadDirectory_line69_682,1,1,TIFFReadDirectory,libtiff/tif_dirread.c,69,682,c,batch01__libtiff-2005-12-21-3b848a7-3edb9cd__TIFFReadDirectory__libtiff_2005_12_21_TIFFReadDirectory_line69_682,llm,codegeex4:9b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,5,3,0.625,0,0,0,3,0,0,batch_once,,report_and_skip,mapped,4,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,5,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch01/batch01__libtiff-2005-12-21-3b848a7-3edb9cd__TIFFReadDirectory__libtiff_2005_12_21_TIFFReadDirectory_line69_682.json,5,5,5,True,5,3,3,3,0,0,0.6,0.6,1.0,False,,0,3,6,5,0,5
batch01__libtiff-2006-02-23-b2ce5d8-207c78a__TIFFWriteDirectory__libtiff_2006_02_23_TIFFWriteDirectory_line80_401,harness/executions/c/llm/batch01/batch01__libtiff-2006-02-23-b2ce5d8-207c78a__TIFFWriteDirectory__libtiff_2006_02_23_TIFFWriteDirectory_line80_401,2026-06-27T22:31:16.650545+00:00,2026-06-28T17:39:34.321412+00:00,2026-06-28T17:40:15.384482+00:00,overwrite,ok,,,manybugs,libtiff-2006-02-23-b2ce5d8-207c78a,f,libtiff_2006_02_23__TIFFWriteDirectory__line80_401,libtiff_2006_02_23__TIFFWriteDirectory__line80_401,batch01,batch01__libtiff_2006_02_23_TIFFWriteDirectory_line80_401,1,1,_TIFFWriteDirectory,libtiff/tif_dirwrite.c,80,401,c,batch01__libtiff-2006-02-23-b2ce5d8-207c78a__TIFFWriteDirectory__libtiff_2006_02_23_TIFFWriteDirectory_line80_401,llm,codegeex4:9b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,6,2,0.75,0,0,0,2,0,0,batch_once,,report_and_skip,mapped,3,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,6,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch01/batch01__libtiff-2006-02-23-b2ce5d8-207c78a__TIFFWriteDirectory__libtiff_2006_02_23_TIFFWriteDirectory_line80_401.json,6,6,6,True,6,5,5,5,0,0,0.8333333333333334,0.8333333333333334,1.0,False,,0,2,6,6,0,6
batch01__libtiff-2006-03-03-a72cf60-0a36d7f__TIFFFetchData__libtiff_2006_03_03_TIFFFetchData_line969_1018,harness/executions/c/llm/batch01/batch01__libtiff-2006-03-03-a72cf60-0a36d7f__TIFFFetchData__libtiff_2006_03_03_TIFFFetchData_line969_1018,2026-06-27T22:31:37.269223+00:00,2026-06-28T17:40:35.701323+00:00,2026-06-28T17:41:25.436755+00:00,overwrite,ok,,,manybugs,libtiff-2006-03-03-a72cf60-0a36d7f,f,libtiff_2006_03_03_TIFFFetchData__line969_1018,libtiff_2006_03_03_TIFFFetchData__line969_1018,batch01,batch01__libtiff_2006_03_03_TIFFFetchData_line969_1018,1,1,TIFFFetchData,libtiff/tif_dirread.c,969,1018,c,batch01__libtiff-2006-03-03-a72cf60-0a36d7f__TIFFFetchData__libtiff_2006_03_03_TIFFFetchData_line969_1018,llm,codegeex4:9b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,7,1,0.875,0,0,0,1,0,0,batch_once,,report_and_skip,mapped,3,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,7,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch01/batch01__libtiff-2006-03-03-a72cf60-0a36d7f__TIFFFetchData__libtiff_2006_03_03_TIFFFetchData_line969_1018.json,7,7,7,True,7,7,7,7,0,0,1.0,1.0,1.0,False,,0,1,6,7,0,7
batch01__libtiff-2006-03-03-eec4c06-ee65c74__TIFFFetchData__libtiff_2006_03_03_eec4c06_TIFFFetchData_line969_1018,harness/executions/c/llm/batch01/batch01__libtiff-2006-03-03-eec4c06-ee65c74__TIFFFetchData__libtiff_2006_03_03_eec4c06_TIFFFetchData_line969_1018,2026-06-27T22:31:54.516014+00:00,2026-06-28T17:41:44.820862+00:00,2026-06-28T17:42:03.964766+00:00,overwrite,failure,ValueError,No generated mutants found for execute_only mode in harness/executions/c/llm/batch01/batch01__libtiff-2006-03-03-eec4c06-ee65c74__TIFFFetchData__libtiff_2006_03_03_eec4c06_TIFFFetchData_line969_1018/generation,manybugs,libtiff-2006-03-03-eec4c06-ee65c74,f,libtiff_2006_03_03_eec4c06_TIFFFetchData__line969_1018,libtiff_2006_03_03_eec4c06_TIFFFetchData__line969_1018,batch01,batch01__libtiff_2006_03_03_eec4c06_TIFFFetchData_line969_1018,1,1,TIFFFetchData,libtiff/tif_dirread.c,969,1018,c,batch01__libtiff-2006-03-03-eec4c06-ee65c74__TIFFFetchData__libtiff_2006_03_03_eec4c06_TIFFFetchData_line969_1018,llm,codegeex4:9b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,0,8,0.0,0,0,0,8,0,0,batch_once,,report_and_skip,,,,ok,0,0,0,No generated mutants found for execute_only mode in harness/executions/c/llm/batch01/batch01__libtiff-2006-03-03-eec4c06-ee65c74__TIFFFetchData__libtiff_2006_03_03_eec4c06_TIFFFetchData_line969_1018/generation,0,,,,,,,,,,,,,False,,0,8,6,0,0,0
