dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Cli_14,cli_14f_appendUsage__line298_390,major_full_catalog_try2,appendUsage,major_1,a976d47cd1a10a3b60c1ccf5b29eaada0d2e8d3305bc2fda6e56534008783aac,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_14f_appendUsage__line298_390/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.cli2.option.GroupImpl,"appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator)",295,9912,"""|""","""""","1:LVR:<CLASS>:<EMPTY>:org.apache.commons.cli2.option.GroupImpl@appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator):295:9912:""|"" |==> """""
defects4j,Cli_14,cli_14f_appendUsage__line298_390,major_full_catalog_try2,appendUsage,major_2,c91ac4c615bfc03c97fd9171e7cd4f5b3b5149f6df3719f6282f0b501c6c8d28,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_14f_appendUsage__line298_390/run.log,EVR,<NEW_CLASS(java.util.HashSet)>:<DEFAULT>,org.apache.commons.cli2.option.GroupImpl,"appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String)",302,10174,new HashSet(helpSettings),null,"2:EVR:<NEW_CLASS(java.util.HashSet)>:<DEFAULT>:org.apache.commons.cli2.option.GroupImpl@appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String):302:10174:new HashSet(helpSettings) |==> null"
defects4j,Cli_14,cli_14f_appendUsage__line298_390,major_full_catalog_try2,appendUsage,major_3,805e11f0269bc76235624cc2722c74845fef0f4400a10a6a69ae96d792168d9c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_14f_appendUsage__line298_390/run.log,LVR,0:POS,org.apache.commons.cli2.option.GroupImpl,"appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String)",305,10259,0,1,"3:LVR:0:POS:org.apache.commons.cli2.option.GroupImpl@appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String):305:10259:0 |==> 1"
defects4j,Cli_14,cli_14f_appendUsage__line298_390,major_full_catalog_try2,appendUsage,major_4,098ae5c0a7f329f99405dcb2c27980847603b33ba4f51120697173998a2b5bff,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_14f_appendUsage__line298_390/run.log,LVR,0:NEG,org.apache.commons.cli2.option.GroupImpl,"appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String)",305,10259,0,-1,"4:LVR:0:NEG:org.apache.commons.cli2.option.GroupImpl@appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String):305:10259:0 |==> -1"
defects4j,Cli_14,cli_14f_appendUsage__line298_390,major_full_catalog_try2,appendUsage,major_5,7e23d8e98b22cdaa2de51f9c421fc6e06cf269c06c737dfb8208630cf920c45f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_14f_appendUsage__line298_390/run.log,EVR,<CONDITIONAL_OR(boolean)>:<DEFAULT>,org.apache.commons.cli2.option.GroupImpl,"appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String)",308,10386,(name == null) || helpSettingsCopy.contains(DisplaySetting.DISPLAY_GROUP_EXPANDED),false,"5:EVR:<CONDITIONAL_OR(boolean)>:<DEFAULT>:org.apache.commons.cli2.option.GroupImpl@appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String):308:10386:(name == null) || helpSettingsCopy.contains(DisplaySetting.DISPLAY_GROUP_EXPANDED) |==> false"
defects4j,Cli_14,cli_14f_appendUsage__line298_390,major_full_catalog_try2,appendUsage,major_6,7b11acf2c82322ee0697c12f0b2f11c0fa5c3db37a147f6091c4fd941af54d9e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_14f_appendUsage__line298_390/run.log,EVR,<CONDITIONAL_OR(boolean)>:<DEFAULT>,org.apache.commons.cli2.option.GroupImpl,"appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String)",311,10508,!expanded || ((name != null) && helpSettingsCopy.contains(DisplaySetting.DISPLAY_GROUP_NAME)),false,"6:EVR:<CONDITIONAL_OR(boolean)>:<DEFAULT>:org.apache.commons.cli2.option.GroupImpl@appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String):311:10508:!expanded || ((name != null) && helpSettingsCopy.contains(DisplaySetting.DISPLAY_GROUP_NAME)) |==> false"
defects4j,Cli_14,cli_14f_appendUsage__line298_390,major_full_catalog_try2,appendUsage,major_7,370e36be1af2304d3f50d08a9a2f624fb1fc736c1019e699997854f2d6ba6b5a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_14f_appendUsage__line298_390/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.apache.commons.cli2.option.GroupImpl,"appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String)",314,10665,helpSettingsCopy.contains(DisplaySetting.DISPLAY_GROUP_ARGUMENT),false,"7:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.apache.commons.cli2.option.GroupImpl@appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String):314:10665:helpSettingsCopy.contains(DisplaySetting.DISPLAY_GROUP_ARGUMENT) |==> false"
defects4j,Cli_14,cli_14f_appendUsage__line298_390,major_full_catalog_try2,appendUsage,major_8,d8a92898f55841fe7f1eda1c81610951c3ede5b517a4d172e024f8b9dc07c235,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_14f_appendUsage__line298_390/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.apache.commons.cli2.option.GroupImpl,"appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String)",316,10762,helpSettingsCopy.contains(DisplaySetting.DISPLAY_GROUP_OUTER),false,"8:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.apache.commons.cli2.option.GroupImpl@appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String):316:10762:helpSettingsCopy.contains(DisplaySetting.DISPLAY_GROUP_OUTER) |==> false"
defects4j,Cli_14,cli_14f_appendUsage__line298_390,major_full_catalog_try2,appendUsage,major_9,ed6a53fa538822ad416548e2aaf2b3c6cfa147252b04e5fcbed7cf1ffe4e1aab,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_14f_appendUsage__line298_390/run.log,EVR,<CONDITIONAL_AND(boolean)>:<DEFAULT>,org.apache.commons.cli2.option.GroupImpl,"appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String)",320,10906,named && expanded,false,"9:EVR:<CONDITIONAL_AND(boolean)>:<DEFAULT>:org.apache.commons.cli2.option.GroupImpl@appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String):320:10906:named && expanded |==> false"
defects4j,Cli_14,cli_14f_appendUsage__line298_390,major_full_catalog_try2,appendUsage,major_10,954a029e8813a3b3ea060c3b7b4770dc60cb5e57a69fa73cfbaa469fbcf4e33e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_14f_appendUsage__line298_390/run.log,COR,<IDENTIFIER(boolean)>:FALSE,org.apache.commons.cli2.option.GroupImpl,"appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String)",322,10932,optional,false,"10:COR:<IDENTIFIER(boolean)>:FALSE:org.apache.commons.cli2.option.GroupImpl@appendUsage(java.lang.StringBuffer,java.util.Set,java.util.Comparator,java.lang.String):322:10932:optional |==> false"
