group,mutants,killed_mutants,unique_target_tests,unique_failing_tests,unique_error_tests,kill_events,source_mode,wide_csv,long_csv
batch01__Cli_1__appendOption__cli_1f_appendOption_line530,8,3,2,1,0,3,test_results.csv,harness/reports/matrices/base/batch01__Cli_1__appendOption__cli_1f_appendOption_line530_kill_matrix.csv,harness/reports/matrices/base/batch01__Cli_1__appendOption__cli_1f_appendOption_line530_kill_matrix_long.csv
batch01__Cli_1__burstToken__cli_1f_burstToken_line278,8,6,14,13,0,43,test_results.csv,harness/reports/matrices/base/batch01__Cli_1__burstToken__cli_1f_burstToken_line278_kill_matrix.csv,harness/reports/matrices/base/batch01__Cli_1__burstToken__cli_1f_burstToken_line278_kill_matrix_long.csv
batch01__Cli_1__createValue__cli_1f_createValue_line61,8,6,1,1,0,6,test_results.csv,harness/reports/matrices/base/batch01__Cli_1__createValue__cli_1f_createValue_line61_kill_matrix.csv,harness/reports/matrices/base/batch01__Cli_1__createValue__cli_1f_createValue_line61_kill_matrix_long.csv
batch01__Cli_1__equals__cli_1f_equals_line600,7,0,3,0,0,0,test_results.csv,harness/reports/matrices/base/batch01__Cli_1__equals__cli_1f_equals_line600_kill_matrix.csv,harness/reports/matrices/base/batch01__Cli_1__equals__cli_1f_equals_line600_kill_matrix_long.csv
batch01__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,5,4,7,7,0,12,test_results.csv,harness/reports/matrices/base/batch01__Cli_1__findWrapPos__cli_1f_findWrapPos_line789_kill_matrix.csv,harness/reports/matrices/base/batch01__Cli_1__findWrapPos__cli_1f_findWrapPos_line789_kill_matrix_long.csv
batch01__Cli_1__processArgs__cli_1f_processArgs_line314,8,7,51,50,0,123,test_results.csv,harness/reports/matrices/base/batch01__Cli_1__processArgs__cli_1f_processArgs_line314_kill_matrix.csv,harness/reports/matrices/base/batch01__Cli_1__processArgs__cli_1f_processArgs_line314_kill_matrix_long.csv
batch01__Cli_1__processProperties__cli_1f_processProperties_line228,6,6,67,66,0,78,test_results.csv,harness/reports/matrices/base/batch01__Cli_1__processProperties__cli_1f_processProperties_line228_kill_matrix.csv,harness/reports/matrices/base/batch01__Cli_1__processProperties__cli_1f_processProperties_line228_kill_matrix_long.csv
batch01__Cli_1__validateOption__cli_1f_validateOption_line40,7,5,90,89,0,125,test_results.csv,harness/reports/matrices/base/batch01__Cli_1__validateOption__cli_1f_validateOption_line40_kill_matrix.csv,harness/reports/matrices/base/batch01__Cli_1__validateOption__cli_1f_validateOption_line40_kill_matrix_long.csv
batch01__Csv_1__initializeHeader__csv_1f_initializeHeader_line169,4,2,24,2,0,3,test_results.csv,harness/reports/matrices/base/batch01__Csv_1__initializeHeader__csv_1f_initializeHeader_line169_kill_matrix.csv,harness/reports/matrices/base/batch01__Csv_1__initializeHeader__csv_1f_initializeHeader_line169_kill_matrix_long.csv
batch01__Csv_1__iterator__csv_1f_iterator_line199,7,4,4,4,0,7,test_results.csv,harness/reports/matrices/base/batch01__Csv_1__iterator__csv_1f_iterator_line199_kill_matrix.csv,harness/reports/matrices/base/batch01__Csv_1__iterator__csv_1f_iterator_line199_kill_matrix_long.csv
batch01__Csv_1__printAndEscape__csv_1f_printAndEscape_line150,8,5,1,1,0,5,test_results.csv,harness/reports/matrices/base/batch01__Csv_1__printAndEscape__csv_1f_printAndEscape_line150_kill_matrix.csv,harness/reports/matrices/base/batch01__Csv_1__printAndEscape__csv_1f_printAndEscape_line150_kill_matrix_long.csv
batch01__Csv_1__printComment__csv_1f_printComment_line100,8,6,3,2,0,11,test_results.csv,harness/reports/matrices/base/batch01__Csv_1__printComment__csv_1f_printComment_line100_kill_matrix.csv,harness/reports/matrices/base/batch01__Csv_1__printComment__csv_1f_printComment_line100_kill_matrix_long.csv
batch01__Csv_1__readEscape__csv_1f_readEscape_line63,3,2,3,3,0,6,test_results.csv,harness/reports/matrices/base/batch01__Csv_1__readEscape__csv_1f_readEscape_line63_kill_matrix.csv,harness/reports/matrices/base/batch01__Csv_1__readEscape__csv_1f_readEscape_line63_kill_matrix_long.csv
batch01__Csv_1__read__csv_1f_read_line79,8,3,2,2,0,3,test_results.csv,harness/reports/matrices/base/batch01__Csv_1__read__csv_1f_read_line79_kill_matrix.csv,harness/reports/matrices/base/batch01__Csv_1__read__csv_1f_read_line79_kill_matrix_long.csv
batch01__Csv_1__simpleTokenLexer__csv_1f_simpleTokenLexer_line137,8,6,30,30,0,81,test_results.csv,harness/reports/matrices/base/batch01__Csv_1__simpleTokenLexer__csv_1f_simpleTokenLexer_line137_kill_matrix.csv,harness/reports/matrices/base/batch01__Csv_1__simpleTokenLexer__csv_1f_simpleTokenLexer_line137_kill_matrix_long.csv
batch01__Csv_1__trimTrailingSpaces__csv_1f_trimTrailingSpaces_line82,7,3,5,5,0,13,test_results.csv,harness/reports/matrices/base/batch01__Csv_1__trimTrailingSpaces__csv_1f_trimTrailingSpaces_line82_kill_matrix.csv,harness/reports/matrices/base/batch01__Csv_1__trimTrailingSpaces__csv_1f_trimTrailingSpaces_line82_kill_matrix_long.csv
batch01__Csv_1__validate__csv_1f_validate_line175,5,5,39,39,0,195,test_results.csv,harness/reports/matrices/base/batch01__Csv_1__validate__csv_1f_validate_line175_kill_matrix.csv,harness/reports/matrices/base/batch01__Csv_1__validate__csv_1f_validate_line175_kill_matrix_long.csv
batch01__Lang_1__add__lang_1f_add_line173,6,5,23,23,0,68,test_results.csv,harness/reports/matrices/base/batch01__Lang_1__add__lang_1f_add_line173_kill_matrix.csv,harness/reports/matrices/base/batch01__Lang_1__add__lang_1f_add_line173_kill_matrix_long.csv
batch01__Lang_1__append__lang_1f_append_line821,7,7,24,12,0,32,test_results.csv,harness/reports/matrices/base/batch01__Lang_1__append__lang_1f_append_line821_kill_matrix.csv,harness/reports/matrices/base/batch01__Lang_1__append__lang_1f_append_line821_kill_matrix_long.csv
batch01__Lang_1__arrayMemberEquals__lang_1f_arrayMemberEquals_line287,8,2,2,1,0,2,test_results.csv,harness/reports/matrices/base/batch01__Lang_1__arrayMemberEquals__lang_1f_arrayMemberEquals_line287_kill_matrix.csv,harness/reports/matrices/base/batch01__Lang_1__arrayMemberEquals__lang_1f_arrayMemberEquals_line287_kill_matrix_long.csv
batch01__Lang_1__containsAny__lang_1f_containsAny_line1515,7,7,8,8,0,31,test_results.csv,harness/reports/matrices/base/batch01__Lang_1__containsAny__lang_1f_containsAny_line1515_kill_matrix.csv,harness/reports/matrices/base/batch01__Lang_1__containsAny__lang_1f_containsAny_line1515_kill_matrix_long.csv
batch01__Lang_1__containsNone__lang_1f_containsNone_line1771,8,5,9,9,0,18,test_results.csv,harness/reports/matrices/base/batch01__Lang_1__containsNone__lang_1f_containsNone_line1771_kill_matrix.csv,harness/reports/matrices/base/batch01__Lang_1__containsNone__lang_1f_containsNone_line1771_kill_matrix_long.csv
batch01__Lang_1__createBigInteger__lang_1f_createBigInteger_line723,6,6,5,4,0,14,test_results.csv,harness/reports/matrices/base/batch01__Lang_1__createBigInteger__lang_1f_createBigInteger_line723_kill_matrix.csv,harness/reports/matrices/base/batch01__Lang_1__createBigInteger__lang_1f_createBigInteger_line723_kill_matrix_long.csv
batch01__Lang_1__equals__lang_1f_equals_line122,7,3,7,4,0,6,test_results.csv,harness/reports/matrices/base/batch01__Lang_1__equals__lang_1f_equals_line122_kill_matrix.csv,harness/reports/matrices/base/batch01__Lang_1__equals__lang_1f_equals_line122_kill_matrix_long.csv
batch01__Lang_1__lastIndexOf__lang_1f_lastIndexOf_line1687,7,4,2,2,0,7,test_results.csv,harness/reports/matrices/base/batch01__Lang_1__lastIndexOf__lang_1f_lastIndexOf_line1687_kill_matrix.csv,harness/reports/matrices/base/batch01__Lang_1__lastIndexOf__lang_1f_lastIndexOf_line1687_kill_matrix_long.csv
batch01__Lang_1__pow__lang_1f_pow_line546,8,7,1,1,0,7,test_results.csv,harness/reports/matrices/base/batch01__Lang_1__pow__lang_1f_pow_line546_kill_matrix.csv,harness/reports/matrices/base/batch01__Lang_1__pow__lang_1f_pow_line546_kill_matrix_long.csv
batch01__Lang_1__toMap__lang_1f_toMap_line234,6,4,1,1,0,4,test_results.csv,harness/reports/matrices/base/batch01__Lang_1__toMap__lang_1f_toMap_line234_kill_matrix.csv,harness/reports/matrices/base/batch01__Lang_1__toMap__lang_1f_toMap_line234_kill_matrix_long.csv
batch01__Math_1__cdf__math_1f_cdf_line149,8,2,1,1,0,2,test_results.csv,harness/reports/matrices/base/batch01__Math_1__cdf__math_1f_cdf_line149_kill_matrix.csv,harness/reports/matrices/base/batch01__Math_1__cdf__math_1f_cdf_line149_kill_matrix_long.csv
batch01__Math_1__equals__math_1f_equals_line368,8,1,2,2,0,2,test_results.csv,harness/reports/matrices/base/batch01__Math_1__equals__math_1f_equals_line368_kill_matrix.csv,harness/reports/matrices/base/batch01__Math_1__equals__math_1f_equals_line368_kill_matrix_long.csv
