catalog,target_id,subject,file_path,function_name,start_line,end_line,has_mapping,anomaly_types,confidence,notes,source_logs
defects4j_pilot_catalog,cli_1f_option__line48_94,Cli_1,CLI2Converter.java,option,48,94,False,warn_no_xml;warn_fallback,matching_suspect,coverage XML/class matching looked suspicious,logs/coverage/defects4j_pilot_catalog__coverage_20260428_022812.log
defects4j_pilot_catalog,math_1f_refineSolution__line503_537,Math_1,src/main/java/org/apache/commons/math3/linear/SymmLQ.java,refineSolution,503,537,False,no_methods,discovery_loss,test discovery lost some test classes/methods,logs/coverage/defects4j_pilot_catalog__coverage_20260428_022812.log
defects4j_pilot_catalog,math_1f_addObservations__line294_315,Math_1,src/main/java/org/apache/commons/math3/stat/regression/SimpleRegression.java,addObservations,294,315,False,no_methods,discovery_loss,test discovery lost some test classes/methods,logs/coverage/defects4j_pilot_catalog__coverage_20260428_022812.log
defects4j_final_catalog,chart_6f_calculateLabelAnchorPoint__line899_999,Chart_6,source/org/jfree/chart/renderer/category/BarRenderer.java,calculateLabelAnchorPoint,899,999,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,chart_1f_updatePlotProperties__line524_612,Chart_1,source/org/jfree/chart/editor/DefaultPlotEditor.java,updatePlotProperties,524,612,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,chart_25f_actionPerformed__line1315_1371,Chart_25,source/org/jfree/chart/ChartPanel.java,actionPerformed,1315,1371,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,chart_1f_createHotSpotBounds__line1373_1454,Chart_1,source/org/jfree/chart/renderer/category/BarRenderer.java,createHotSpotBounds,1373,1454,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,cli_28f_handleShortAndLongOption__line375_463,Cli_28,src/java/org/apache/commons/cli/DefaultParser.java,handleShortAndLongOption,375,463,False,no_methods,discovery_loss,test discovery lost some test classes/methods,logs/coverage/defects4j_final_catalog__coverage_20260428_114929.log;logs/coverage/defects4j_final_catalog__coverage_20260505_001249.log
defects4j_final_catalog,closure_107f_visitAny__line32_113,Closure_107,src/com/google/javascript/jscomp/parsing/parser/ParseTreeVisitor.java,visitAny,32,113,False,unresolved;no_methods,discovery_loss,test discovery lost some test classes/methods,logs/coverage/defects4j_final_catalog__coverage_20260428_114929.log;logs/coverage/defects4j_final_catalog__coverage_20260505_001249.log
defects4j_final_catalog,closure_107f_transformAny__line33_114,Closure_107,src/com/google/javascript/jscomp/parsing/parser/codegeneration/ParseTreeTransformer.java,transformAny,33,114,False,unresolved;no_methods,discovery_loss,test discovery lost some test classes/methods,logs/coverage/defects4j_final_catalog__coverage_20260428_114929.log;logs/coverage/defects4j_final_catalog__coverage_20260505_001249.log
