dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Chart_25,chart_25f_actionPerformed__line1315_1371,major_full_catalog_try2,actionPerformed,major_1,f79b63c80314a7878467cd4364241e7370f0b0142d0b71d41832b07d07ac343c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_25f_actionPerformed__line1315_1371/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,org.jfree.chart.ChartPanel,actionPerformed(java.awt.event.ActionEvent),1317,47314,event.getActionCommand(),null,1:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.jfree.chart.ChartPanel@actionPerformed(java.awt.event.ActionEvent):1317:47314:event.getActionCommand() |==> null
defects4j,Chart_25,chart_25f_actionPerformed__line1315_1371,major_full_catalog_try2,actionPerformed,major_2,0a0e0c2d5339dd8c40a7a94f2193ce0ca30ebeb0947440d2e73c6ce8f823aa48,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_25f_actionPerformed__line1315_1371/run.log,LVR,POS:0,org.jfree.chart.ChartPanel,actionPerformed(java.awt.event.ActionEvent),1322,47544,1.0,0.0,2:LVR:POS:0:org.jfree.chart.ChartPanel@actionPerformed(java.awt.event.ActionEvent):1322:47544:1.0 |==> 0.0
defects4j,Chart_25,chart_25f_actionPerformed__line1315_1371,major_full_catalog_try2,actionPerformed,major_3,7e593388048aa966d146137e353a6e4fa6ba9ef2ecf6e3176d0e7bcd572de3a5,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_25f_actionPerformed__line1315_1371/run.log,LVR,POS:NEG,org.jfree.chart.ChartPanel,actionPerformed(java.awt.event.ActionEvent),1322,47544,1.0,-1.0,3:LVR:POS:NEG:org.jfree.chart.ChartPanel@actionPerformed(java.awt.event.ActionEvent):1322:47544:1.0 |==> -1.0
defects4j,Chart_25,chart_25f_actionPerformed__line1315_1371,major_full_catalog_try2,actionPerformed,major_4,b740becc264aae713abd6a5b00a517d0d2732e65ee26d71bb5655ad179f381fc,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_25f_actionPerformed__line1315_1371/run.log,LVR,POS:0,org.jfree.chart.ChartPanel,actionPerformed(java.awt.event.ActionEvent),1323,47576,1.0,0.0,4:LVR:POS:0:org.jfree.chart.ChartPanel@actionPerformed(java.awt.event.ActionEvent):1323:47576:1.0 |==> 0.0
defects4j,Chart_25,chart_25f_actionPerformed__line1315_1371,major_full_catalog_try2,actionPerformed,major_5,981e68876f9a5297c37c545448b080a708e7c88af5aa857efe1fe91785edb869,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_25f_actionPerformed__line1315_1371/run.log,LVR,POS:NEG,org.jfree.chart.ChartPanel,actionPerformed(java.awt.event.ActionEvent),1323,47576,1.0,-1.0,5:LVR:POS:NEG:org.jfree.chart.ChartPanel@actionPerformed(java.awt.event.ActionEvent):1323:47576:1.0 |==> -1.0
defects4j,Chart_25,chart_25f_actionPerformed__line1315_1371,major_full_catalog_try2,actionPerformed,major_6,d881523de0ffa17afba95879c8de626cc6fb38befce0ff70be08095d921dfcb4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_25f_actionPerformed__line1315_1371/run.log,EVR,<METHOD_INVOCATION(double)>:<DEFAULT>,org.jfree.chart.ChartPanel,actionPerformed(java.awt.event.ActionEvent),1325,47662,this.zoomPoint.getX(),0.0,6:EVR:<METHOD_INVOCATION(double)>:<DEFAULT>:org.jfree.chart.ChartPanel@actionPerformed(java.awt.event.ActionEvent):1325:47662:this.zoomPoint.getX() |==> 0.0
defects4j,Chart_25,chart_25f_actionPerformed__line1315_1371,major_full_catalog_try2,actionPerformed,major_7,bef4b114f8d0b345dc777098d4af87a061760883c2594df270d6a44b7272ac25,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_25f_actionPerformed__line1315_1371/run.log,EVR,<METHOD_INVOCATION(double)>:<DEFAULT>,org.jfree.chart.ChartPanel,actionPerformed(java.awt.event.ActionEvent),1326,47708,this.zoomPoint.getY(),0.0,7:EVR:<METHOD_INVOCATION(double)>:<DEFAULT>:org.jfree.chart.ChartPanel@actionPerformed(java.awt.event.ActionEvent):1326:47708:this.zoomPoint.getY() |==> 0.0
defects4j,Chart_25,chart_25f_actionPerformed__line1315_1371,major_full_catalog_try2,actionPerformed,major_8,c983acc5c33f81898b9e4fc65bcd9c0700fe2a759b5e45b247b9b93fbaa6b333,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_25f_actionPerformed__line1315_1371/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.jfree.chart.ChartPanel,actionPerformed(java.awt.event.ActionEvent),1329,47760,command.equals(PROPERTIES_COMMAND),false,8:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.jfree.chart.ChartPanel@actionPerformed(java.awt.event.ActionEvent):1329:47760:command.equals(PROPERTIES_COMMAND) |==> false
defects4j,Chart_25,chart_25f_actionPerformed__line1315_1371,major_full_catalog_try2,actionPerformed,major_9,4e927d9ace88ce09915d915e74ecfa23f6b0540955e00744c2e20120e5d405b6,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_25f_actionPerformed__line1315_1371/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.jfree.chart.ChartPanel,actionPerformed(java.awt.event.ActionEvent),1329,47760,command.equals(PROPERTIES_COMMAND),true,9:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.jfree.chart.ChartPanel@actionPerformed(java.awt.event.ActionEvent):1329:47760:command.equals(PROPERTIES_COMMAND) |==> true
defects4j,Chart_25,chart_25f_actionPerformed__line1315_1371,major_full_catalog_try2,actionPerformed,major_10,2f7830677f83f82c0c131443f509096212214eee5b8087c1a40f073294d8c4f8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_25f_actionPerformed__line1315_1371/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.jfree.chart.ChartPanel,actionPerformed(java.awt.event.ActionEvent),1332,47865,command.equals(SAVE_COMMAND),false,10:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.jfree.chart.ChartPanel@actionPerformed(java.awt.event.ActionEvent):1332:47865:command.equals(SAVE_COMMAND) |==> false
defects4j,Chart_25,chart_25f_actionPerformed__line1315_1371,major_full_catalog_try2,actionPerformed,major_11,b76d56f3759a96d7788284bc67ff0e85900cf7f9b56af6395b12162d267044c9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_25f_actionPerformed__line1315_1371/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.jfree.chart.ChartPanel,actionPerformed(java.awt.event.ActionEvent),1332,47865,command.equals(SAVE_COMMAND),true,11:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.jfree.chart.ChartPanel@actionPerformed(java.awt.event.ActionEvent):1332:47865:command.equals(SAVE_COMMAND) |==> true
