dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_1,fe1c49d6e89c30b0b7ed41eb5b69219765bee205461ff1e44a0ad7f668c8b258,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,0:POS,com.google.javascript.jscomp.NodeUtil,precedence(int),607,17183,0,1,1:LVR:0:POS:com.google.javascript.jscomp.NodeUtil@precedence(int):607:17183:0 |==> 1
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_2,99bffe5c281ecf911892046105f33df49fb91872b82c292916f785c810de7e1f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,0:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),607,17183,0,-1,2:LVR:0:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):607:17183:0 |==> -1
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_3,928ab9d6f888a5ca4657c2781b5d8ba778fa69151b19863deb9fb67533628522,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),619,17546,1,0,3:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):619:17546:1 |==> 0
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_4,5d2393a1dd94de8713ef367b241a1faa4107bf07d18290afd0a21843fabc3a09,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),619,17546,1,-1,4:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):619:17546:1 |==> -1
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_5,03bb97f1312c651bf3b7bf15f708999d158b28c45413c63ed7d0239ee16ee71f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),620,17581,2,0,5:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):620:17581:2 |==> 0
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_6,198321bc832b3fbf094d87a336afa96e8f78787c111374dab1b56dd3ef2e8226,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),620,17581,2,-2,6:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):620:17581:2 |==> -2
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_7,cd4301c59ad359932e9b451ef1cd5f80215be3d620f7aaa4a097b90bc5a8de46,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),621,17632,3,0,7:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):621:17632:3 |==> 0
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_8,5bdc16c4427ff33b959c9abe749fc1a81749f58874647ad99e70e207106e7ada,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),621,17632,3,-3,8:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):621:17632:3 |==> -3
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_9,a3720dfb040997b43b94f0fc9533b21b95e9d31449b8fd62202dc979c0e7e77a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),622,17667,4,0,9:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):622:17667:4 |==> 0
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_10,5fba0df141208a84df28f29ff1b3efa5807a8c0c59457722ad1dc94e09f5e745,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),622,17667,4,-4,10:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):622:17667:4 |==> -4
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_11,7a57830b479377d518d0921602bdbaa38497008ee8f20fb64a862c3af656bf8c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),623,17702,5,0,11:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):623:17702:5 |==> 0
