run_name,run_dir,created_at_utc,started_at_utc,completed_at_utc,run_mode,run_status,failure_reason,failure_message,dataset,subject_id,version,target_id,target_id_meta,batch_id,run_group_id,run_index_for_target,runs_per_target,function_name,file_path,start_line,end_line,language,experiment_name,mutant_source,model_name,model_provider,prompt_name,prompt_version,temperature,n_requested_mutants,n_accepted_mutants,n_rejected_mutants,acceptance_rate,rej_duplicate_mutant,rej_unchanged_mutant,rej_non_executable_change,rej_non_executable_structural_change,rej_precode_not_found,rej_ambiguous_precode_match,rej_missing_or_invalid_aftercode,rej_missing_or_invalid_precode,generation_mode,dataset_split,missing_target_tests_policy,target_test_coverage_status,eligible_test_count,target_tests_csv_path,parsed_mutants_integrity,loaded_mutant_count,recovered_mutant_count,missing_mutant_count,notes,requested_mutant_count,indexed_input_row_count,indexed_used_row_count,deduplicated,total_mutants,build_successes,executable_mutants,killed_mutants,survived_mutants,baseline_failures,build_success_rate,executable_yield,mutation_score,parse_failed,parse_error_message,rej_invalid_json_response,indexed_rejected_artifact_count,target_run_count,new_mutants_for_target_in_run,repeated_mutants_from_prior_runs,cumulative_unique_mutants_for_target
batch11__Chart_1__clipLine__chart_1f_clipLine_line62,harness/executions/java/llm/16/batch11__Chart_1__clipLine__chart_1f_clipLine_line62,2026-07-11T18:40:07.936710+00:00,2026-08-01T01:33:48.870879+00:00,2026-08-01T01:44:22.508109+00:00,overwrite,ok,,,defects4j,Chart_1,f,chart_1f_clipLine__line62_141,chart_1f_clipLine__line62,batch11,batch11__chart_1f_clipLine_line62,1,1,clipLine,source/org/jfree/chart/util/LineUtilities.java,62,141,java,batch11__Chart_1__clipLine__chart_1f_clipLine_line62,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,7,9,0.4375,8,0,1,0,0,0,,,batch_once,,report_and_skip,mapped,3,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,7,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,7,7,7,True,7,7,7,2,5,0,1.0,1.0,0.2857142857142857,False,,0,9,6,7,0,7
batch11__Chart_1__createHotSpotBounds__chart_1f_createHotSpotBounds_line1373,harness/executions/java/llm/16/batch11__Chart_1__createHotSpotBounds__chart_1f_createHotSpotBounds_line1373,2026-07-11T18:43:42.333472+00:00,2026-08-01T01:49:41.924197+00:00,2026-08-01T01:49:45.895062+00:00,overwrite,no_coverage,no_mapped_target_tests,No mapped target tests found in harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv for target chart_1f_createHotSpotBounds__line1373_1454,defects4j,Chart_1,f,chart_1f_createHotSpotBounds__line1373_1454,chart_1f_createHotSpotBounds__line1373,batch11,batch11__chart_1f_createHotSpotBounds_line1373,1,1,createHotSpotBounds,source/org/jfree/chart/renderer/category/BarRenderer.java,1373,1454,java,batch11__Chart_1__createHotSpotBounds__chart_1f_createHotSpotBounds_line1373,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,12,4,0.75,4,0,0,0,0,0,,,batch_once,,report_and_skip,no_coverage,0,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,12,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,12,,,,,,,,,,,,,False,,0,4,6,0,0,0
batch11__Chart_1__readResolve__chart_1f_readResolve_line213,harness/executions/java/llm/16/batch11__Chart_1__readResolve__chart_1f_readResolve_line213,2026-07-11T18:38:38.005260+00:00,2026-08-01T01:30:27.101196+00:00,2026-08-01T01:31:44.968299+00:00,overwrite,ok,,,defects4j,Chart_1,f,chart_1f_readResolve__line213_291,chart_1f_readResolve__line213,batch11,batch11__chart_1f_readResolve_line213,1,1,readResolve,source/org/jfree/chart/labels/ItemLabelAnchor.java,213,291,java,batch11__Chart_1__readResolve__chart_1f_readResolve_line213,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,11,3,0.6875,0,0,0,3,0,0,,,batch_once,,report_and_skip,mapped,69,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,11,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,11,11,11,True,11,8,8,7,1,0,0.7272727272727273,0.7272727272727273,0.875,False,,0,3,6,11,0,11
batch11__Chart_1__updatePlotProperties__chart_1f_updatePlotProperties_line524,harness/executions/java/llm/16/batch11__Chart_1__updatePlotProperties__chart_1f_updatePlotProperties_line524,2026-07-11T18:41:11.248909+00:00,2026-08-01T01:45:44.490382+00:00,2026-08-01T01:45:48.496080+00:00,overwrite,no_coverage,no_mapped_target_tests,No mapped target tests found in harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv for target chart_1f_updatePlotProperties__line524_612,defects4j,Chart_1,f,chart_1f_updatePlotProperties__line524_612,chart_1f_updatePlotProperties__line524,batch11,batch11__chart_1f_updatePlotProperties_line524,1,1,updatePlotProperties,source/org/jfree/chart/editor/DefaultPlotEditor.java,524,612,java,batch11__Chart_1__updatePlotProperties__chart_1f_updatePlotProperties_line524,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,9,7,0.5625,0,0,0,7,0,0,,,batch_once,,report_and_skip,no_coverage,0,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,9,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,9,,,,,,,,,,,,,False,,0,7,6,0,0,0
batch11__Chart_20__addSWTListener__chart_20f_addSWTListener_line1460,harness/executions/java/llm/16/batch11__Chart_20__addSWTListener__chart_20f_addSWTListener_line1460,2026-07-11T18:41:43.259472+00:00,2026-08-01T01:45:49.714708+00:00,2026-08-01T01:47:09.389670+00:00,overwrite,ok,,,defects4j,Chart_20,f,chart_20f_addSWTListener__line1460_1488,chart_20f_addSWTListener__line1460,batch11,batch11__chart_20f_addSWTListener_line1460,1,1,addSWTListener,swt/org/jfree/experimental/chart/swt/ChartComposite.java,1460,1488,java,batch11__Chart_20__addSWTListener__chart_20f_addSWTListener_line1460,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,14,2,0.875,0,0,0,2,0,0,,,batch_once,,report_and_skip,mapped,1,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,14,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,14,14,14,True,14,14,14,0,14,0,1.0,1.0,0.0,False,,0,2,6,14,0,14
batch11__Chart_20__widgetSelected__chart_20f_widgetSelected_line1386,harness/executions/java/llm/16/batch11__Chart_20__widgetSelected__chart_20f_widgetSelected_line1386,2026-07-11T18:42:14.056827+00:00,2026-08-01T01:47:09.722539+00:00,2026-08-01T01:48:17.122839+00:00,overwrite,ok,,,defects4j,Chart_20,f,chart_20f_widgetSelected__line1386_1433,chart_20f_widgetSelected__line1386,batch11,batch11__chart_20f_widgetSelected_line1386,1,1,widgetSelected,swt/org/jfree/experimental/chart/swt/ChartComposite.java,1386,1433,java,batch11__Chart_20__widgetSelected__chart_20f_widgetSelected_line1386,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,10,6,0.625,0,0,0,0,0,0,,,batch_once,,report_and_skip,mapped,1,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,10,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,10,10,10,True,10,10,10,0,10,0,1.0,1.0,0.0,False,,0,6,6,10,0,10
batch11__Chart_25__actionPerformed__chart_25f_actionPerformed_line1315,harness/executions/java/llm/16/batch11__Chart_25__actionPerformed__chart_25f_actionPerformed_line1315,2026-07-11T18:42:40.419169+00:00,2026-08-01T01:48:17.445464+00:00,2026-08-01T01:48:21.423307+00:00,overwrite,no_coverage,no_mapped_target_tests,No mapped target tests found in harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv for target chart_25f_actionPerformed__line1315_1371,defects4j,Chart_25,f,chart_25f_actionPerformed__line1315_1371,chart_25f_actionPerformed__line1315,batch11,batch11__chart_25f_actionPerformed_line1315,1,1,actionPerformed,source/org/jfree/chart/ChartPanel.java,1315,1371,java,batch11__Chart_25__actionPerformed__chart_25f_actionPerformed_line1315,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,14,2,0.875,0,0,0,0,0,0,,,batch_once,,report_and_skip,no_coverage,0,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,14,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,14,,,,,,,,,,,,,False,,0,2,6,0,0,0
batch11__Chart_26__drawAxisLine__chart_26f_drawAxisLine_line517,harness/executions/java/llm/16/batch11__Chart_26__drawAxisLine__chart_26f_drawAxisLine_line517,2026-07-11T18:43:07.770489+00:00,2026-08-01T01:48:22.615491+00:00,2026-08-01T01:49:41.594570+00:00,overwrite,ok,,,defects4j,Chart_26,f,chart_26f_drawAxisLine__line517_606,chart_26f_drawAxisLine__line517,batch11,batch11__chart_26f_drawAxisLine_line517,1,1,drawAxisLine,source/org/jfree/chart/axis/ValueAxis.java,517,606,java,batch11__Chart_26__drawAxisLine__chart_26f_drawAxisLine_line517,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,13,3,0.8125,1,0,0,2,0,0,,,batch_once,,report_and_skip,mapped,42,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,13,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,13,13,13,True,13,13,13,1,12,0,1.0,1.0,0.07692307692307693,False,,0,3,6,13,0,13
batch11__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,harness/executions/java/llm/16/batch11__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,2026-07-11T18:39:08.906098+00:00,2026-08-01T01:31:45.310097+00:00,2026-08-01T01:32:46.292609+00:00,overwrite,ok,,,defects4j,Chart_4,f,chart_4f_deriveRotationAnchorOffsets__line686_768,chart_4f_deriveRotationAnchorOffsets__line686,batch11,batch11__chart_4f_deriveRotationAnchorOffsets_line686,1,1,deriveRotationAnchorOffsets,source/org/jfree/chart/text/TextUtilities.java,686,768,java,batch11__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,7,9,0.4375,9,0,0,0,0,0,,,batch_once,,report_and_skip,mapped,65,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,7,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,7,7,7,True,7,7,7,0,7,0,1.0,1.0,0.0,False,,0,9,6,7,0,7
batch11__Chart_4__deriveTextBoundsAnchorOffsets__chart_4f_deriveTextBoundsAnchorOffsets_line599,harness/executions/java/llm/16/batch11__Chart_4__deriveTextBoundsAnchorOffsets__chart_4f_deriveTextBoundsAnchorOffsets_line599,2026-07-11T18:39:38.293112+00:00,2026-08-01T01:32:46.644424+00:00,2026-08-01T01:33:48.541228+00:00,overwrite,ok,,,defects4j,Chart_4,f,chart_4f_deriveTextBoundsAnchorOffsets__line599_673,chart_4f_deriveTextBoundsAnchorOffsets__line599,batch11,batch11__chart_4f_deriveTextBoundsAnchorOffsets_line599,1,1,deriveTextBoundsAnchorOffsets,source/org/jfree/chart/text/TextUtilities.java,599,673,java,batch11__Chart_4__deriveTextBoundsAnchorOffsets__chart_4f_deriveTextBoundsAnchorOffsets_line599,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,12,4,0.75,3,0,0,1,0,0,,,batch_once,,report_and_skip,mapped,70,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,12,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,12,12,12,True,12,8,8,0,8,0,0.6666666666666666,0.6666666666666666,0.0,False,,0,4,6,12,0,12
