dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,major_full_catalog_try2,parseEncapsulatedToken,major_1,7e40a79143e7000ac636f2cc7dd03e9e033e41acebce2777994736d52d02f51d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_2f_parseEncapsulatedToken__line198_242/run.log,EVR,<METHOD_INVOCATION(long)>:<DEFAULT>,org.apache.commons.csv.CSVLexer,parseEncapsulatedToken(org.apache.commons.csv.Token),200,7477,getLineNumber(),0L,1:EVR:<METHOD_INVOCATION(long)>:<DEFAULT>:org.apache.commons.csv.CSVLexer@parseEncapsulatedToken(org.apache.commons.csv.Token):200:7477:getLineNumber() |==> 0L
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,major_full_catalog_try2,parseEncapsulatedToken,major_2,0cf9cbfb12ef4d56c615b41593db4066c8f7ce4b9b5923ff2479d52fb8b4a142,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_2f_parseEncapsulatedToken__line198_242/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.apache.commons.csv.CSVLexer,parseEncapsulatedToken(org.apache.commons.csv.Token),203,7542,in.read(),0,2:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.apache.commons.csv.CSVLexer@parseEncapsulatedToken(org.apache.commons.csv.Token):203:7542:in.read() |==> 0
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,major_full_catalog_try2,parseEncapsulatedToken,major_3,4aae1503fa9e70420aa1814e6d866639044d96689c15865e36cd55a3e107497c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_2f_parseEncapsulatedToken__line198_242/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.csv.CSVLexer,parseEncapsulatedToken(org.apache.commons.csv.Token),205,7571,isEscape(c),false,3:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.csv.CSVLexer@parseEncapsulatedToken(org.apache.commons.csv.Token):205:7571:isEscape(c) |==> false
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,major_full_catalog_try2,parseEncapsulatedToken,major_4,75aa311822143c40638b4c7bb5ce8f1aed6ded14cf14c92c44288aafc9633588,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_2f_parseEncapsulatedToken__line198_242/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.csv.CSVLexer,parseEncapsulatedToken(org.apache.commons.csv.Token),205,7571,isEscape(c),true,4:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.csv.CSVLexer@parseEncapsulatedToken(org.apache.commons.csv.Token):205:7571:isEscape(c) |==> true
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,major_full_catalog_try2,parseEncapsulatedToken,major_5,2a2afea5dd71cf71e20a85e713ec6e8ea5ec24e59b6fccf36befd690c0b25b5a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_2f_parseEncapsulatedToken__line198_242/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.csv.CSVLexer,parseEncapsulatedToken(org.apache.commons.csv.Token),207,7669,isQuoteChar(c),false,5:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.csv.CSVLexer@parseEncapsulatedToken(org.apache.commons.csv.Token):207:7669:isQuoteChar(c) |==> false
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,major_full_catalog_try2,parseEncapsulatedToken,major_6,dc98fc8d15ae962ec4b243a3aa2dc8e55f556757180a1cb04dbc59c548c24051,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_2f_parseEncapsulatedToken__line198_242/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.csv.CSVLexer,parseEncapsulatedToken(org.apache.commons.csv.Token),207,7669,isQuoteChar(c),true,6:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.csv.CSVLexer@parseEncapsulatedToken(org.apache.commons.csv.Token):207:7669:isQuoteChar(c) |==> true
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,major_full_catalog_try2,parseEncapsulatedToken,major_7,5196d21c6de63dd8ac4be2bd1c010893b1dba9abd9ec59b56b060710c634eab6,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_2f_parseEncapsulatedToken__line198_242/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.csv.CSVLexer,parseEncapsulatedToken(org.apache.commons.csv.Token),208,7707,isQuoteChar(in.lookAhead()),false,7:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.csv.CSVLexer@parseEncapsulatedToken(org.apache.commons.csv.Token):208:7707:isQuoteChar(in.lookAhead()) |==> false
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,major_full_catalog_try2,parseEncapsulatedToken,major_8,282a944049b6991f2dacd98763208afcff5b91e01d3a6a60fd964eae78f333f8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_2f_parseEncapsulatedToken__line198_242/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.csv.CSVLexer,parseEncapsulatedToken(org.apache.commons.csv.Token),208,7707,isQuoteChar(in.lookAhead()),true,8:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.csv.CSVLexer@parseEncapsulatedToken(org.apache.commons.csv.Token):208:7707:isQuoteChar(in.lookAhead()) |==> true
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,major_full_catalog_try2,parseEncapsulatedToken,major_9,0edaacbf73bd87cf076dd41968aa48107c5625cc5094c26dc2892fd1e89ac5fb,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_2f_parseEncapsulatedToken__line198_242/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.apache.commons.csv.CSVLexer,parseEncapsulatedToken(org.apache.commons.csv.Token),210,7848,in.read(),0,9:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.apache.commons.csv.CSVLexer@parseEncapsulatedToken(org.apache.commons.csv.Token):210:7848:in.read() |==> 0
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,major_full_catalog_try2,parseEncapsulatedToken,major_10,3198a5cc378839ff9d4d388ce4b625d672bd339571a18c2c9f576a87e43b15e4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_2f_parseEncapsulatedToken__line198_242/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.apache.commons.csv.CSVLexer,parseEncapsulatedToken(org.apache.commons.csv.Token),215,8095,in.read(),0,10:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.apache.commons.csv.CSVLexer@parseEncapsulatedToken(org.apache.commons.csv.Token):215:8095:in.read() |==> 0
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,major_full_catalog_try2,parseEncapsulatedToken,major_11,517c37c7e363fa26e734fe3bf9a0415b82e53e7475c2c15b0a3963fa8cacb60d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_2f_parseEncapsulatedToken__line198_242/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.csv.CSVLexer,parseEncapsulatedToken(org.apache.commons.csv.Token),216,8138,isDelimiter(c),false,11:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.csv.CSVLexer@parseEncapsulatedToken(org.apache.commons.csv.Token):216:8138:isDelimiter(c) |==> false
