dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Compress_19,compress_19f_readDirectoryEntry__line291_374,major_full_catalog_try2,readDirectoryEntry,major_1,b7b71598d790194f0fcd05ffde1d90447454e67e1201469cd9134b5b9a5d3ac7,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_19f_readDirectoryEntry__line291_374/run.log,EVR,<METHOD_INVOCATION(long)>:<DEFAULT>,org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry),293,9216,entry.getEntrySize(),0L,1:EVR:<METHOD_INVOCATION(long)>:<DEFAULT>:org.apache.commons.compress.archivers.dump.DumpArchiveInputStream@readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry):293:9216:entry.getEntrySize() |==> 0L
defects4j,Compress_19,compress_19f_readDirectoryEntry__line291_374,major_full_catalog_try2,readDirectoryEntry,major_2,754b23d0ab2fa514d1dac1f41c3cd6cde80690d7ac4aa4649be53454c05f8613,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_19f_readDirectoryEntry__line291_374/run.log,LVR,TRUE:FALSE,org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry),294,9244,true,false,2:LVR:TRUE:FALSE:org.apache.commons.compress.archivers.dump.DumpArchiveInputStream@readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry):294:9244:true |==> false
defects4j,Compress_19,compress_19f_readDirectoryEntry__line291_374,major_full_catalog_try2,readDirectoryEntry,major_3,9fedc8cd28fecd9210dd8a80c0c58f7f0a9a4c9efdb549672dae753ea097b93e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_19f_readDirectoryEntry__line291_374/run.log,COR,<IDENTIFIER(boolean)>:FALSE,org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry),299,9432,first,false,3:COR:<IDENTIFIER(boolean)>:FALSE:org.apache.commons.compress.archivers.dump.DumpArchiveInputStream@readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry):299:9432:first |==> false
defects4j,Compress_19,compress_19f_readDirectoryEntry__line291_374,major_full_catalog_try2,readDirectoryEntry,major_4,da7afcb645ea5ccf7d7639c52c4b7f9eae95224fc68a6515a2dc4c7749a24c2d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_19f_readDirectoryEntry__line291_374/run.log,COR,<IDENTIFIER(boolean)>:TRUE,org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry),299,9432,first,true,4:COR:<IDENTIFIER(boolean)>:TRUE:org.apache.commons.compress.archivers.dump.DumpArchiveInputStream@readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry):299:9432:first |==> true
defects4j,Compress_19,compress_19f_readDirectoryEntry__line291_374,major_full_catalog_try2,readDirectoryEntry,major_5,65c7608f054b2f861e88287f2c3315c92adb496e81a2e9d9fc1b6ec7b01a3a5f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_19f_readDirectoryEntry__line291_374/run.log,EVR,<MULTIPLY(int)>:<DEFAULT>,org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry),308,9790,DumpArchiveConstants.TP_SIZE * entry.getHeaderCount(),0,5:EVR:<MULTIPLY(int)>:<DEFAULT>:org.apache.commons.compress.archivers.dump.DumpArchiveInputStream@readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry):308:9790:DumpArchiveConstants.TP_SIZE * entry.getHeaderCount() |==> 0
defects4j,Compress_19,compress_19f_readDirectoryEntry__line291_374,major_full_catalog_try2,readDirectoryEntry,major_6,060cb74fa543b3305e5f997461bd3ce4be07bb4e1e0ec23e55855bd58c76efa4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_19f_readDirectoryEntry__line291_374/run.log,EVR,<NEW_ARRAY(byte[])>:<DEFAULT>,org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry),311,9895,new byte[datalen],null,6:EVR:<NEW_ARRAY(byte[])>:<DEFAULT>:org.apache.commons.compress.archivers.dump.DumpArchiveInputStream@readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry):311:9895:new byte[datalen] |==> null
defects4j,Compress_19,compress_19f_readDirectoryEntry__line291_374,major_full_catalog_try2,readDirectoryEntry,major_7,135cfd7c13551804a4ad3f55589ad2fcb8386bbe313caa2d8589fcb5c3c85d26,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_19f_readDirectoryEntry__line291_374/run.log,LVR,0:POS,org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry),314,9967,0,1,7:LVR:0:POS:org.apache.commons.compress.archivers.dump.DumpArchiveInputStream@readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry):314:9967:0 |==> 1
defects4j,Compress_19,compress_19f_readDirectoryEntry__line291_374,major_full_catalog_try2,readDirectoryEntry,major_8,8ec9508ef14bb98ca0c63c8e7a8a89bff05a95c9ad99b1526af3c67402dbf856,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_19f_readDirectoryEntry__line291_374/run.log,LVR,0:NEG,org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry),314,9967,0,-1,8:LVR:0:NEG:org.apache.commons.compress.archivers.dump.DumpArchiveInputStream@readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry):314:9967:0 |==> -1
defects4j,Compress_19,compress_19f_readDirectoryEntry__line291_374,major_full_catalog_try2,readDirectoryEntry,major_9,27faef91cb42ec716ee9bbc7e50e2ae184bbd7ffa49576f345124a3b40f8fb47,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_19f_readDirectoryEntry__line291_374/run.log,LVR,0:POS,org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry),320,10104,0,1,9:LVR:0:POS:org.apache.commons.compress.archivers.dump.DumpArchiveInputStream@readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry):320:10104:0 |==> 1
defects4j,Compress_19,compress_19f_readDirectoryEntry__line291_374,major_full_catalog_try2,readDirectoryEntry,major_10,4b18cd3d57ac32ab06134ec0d209c4bc9c7482897a9b563ed5287a6ac31506e9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_19f_readDirectoryEntry__line291_374/run.log,LVR,0:NEG,org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry),320,10104,0,-1,10:LVR:0:NEG:org.apache.commons.compress.archivers.dump.DumpArchiveInputStream@readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry):320:10104:0 |==> -1
defects4j,Compress_19,compress_19f_readDirectoryEntry__line291_374,major_full_catalog_try2,readDirectoryEntry,major_11,9b827ae2beb3b78568dbec839a24ee8cd42990ccdc61aa620d4f479a1683fceb,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_19f_readDirectoryEntry__line291_374/run.log,LVR,POS:0,org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry),320,10123,8,0,11:LVR:POS:0:org.apache.commons.compress.archivers.dump.DumpArchiveInputStream@readDirectoryEntry(org.apache.commons.compress.archivers.dump.DumpArchiveEntry):320:10123:8 |==> 0
