dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Csv_4,csv_4f_parseEncapsulatedToken__line239_288,major_full_catalog_try2,parseEncapsulatedToken,major_1,7a65c2a72c676f8e5b83b4317d2c30254ea2d691f3fe2dd11f3064f898c3ee59,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_parseEncapsulatedToken__line239_288/run.log,EVR,<METHOD_INVOCATION(long)>:<DEFAULT>,org.apache.commons.csv.Lexer,parseEncapsulatedToken(org.apache.commons.csv.Token),241,9434,getCurrentLineNumber(),0L,1:EVR:<METHOD_INVOCATION(long)>:<DEFAULT>:org.apache.commons.csv.Lexer@parseEncapsulatedToken(org.apache.commons.csv.Token):241:9434:getCurrentLineNumber() |==> 0L
defects4j,Csv_4,csv_4f_parseEncapsulatedToken__line239_288,major_full_catalog_try2,parseEncapsulatedToken,major_2,0f7f992fc55aa68d8c31dd83ee275bec3363add82fe51e43e08428793ba0a474,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_parseEncapsulatedToken__line239_288/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.apache.commons.csv.Lexer,parseEncapsulatedToken(org.apache.commons.csv.Token),244,9499,in.read(),0,2:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.apache.commons.csv.Lexer@parseEncapsulatedToken(org.apache.commons.csv.Token):244:9499:in.read() |==> 0
defects4j,Csv_4,csv_4f_parseEncapsulatedToken__line239_288,major_full_catalog_try2,parseEncapsulatedToken,major_3,04c5e7e05c3eff44df104a6af8211ceaad01de488e8931212712f97bb1945b97,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_parseEncapsulatedToken__line239_288/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.csv.Lexer,parseEncapsulatedToken(org.apache.commons.csv.Token),246,9528,isEscape(c),false,3:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.csv.Lexer@parseEncapsulatedToken(org.apache.commons.csv.Token):246:9528:isEscape(c) |==> false
defects4j,Csv_4,csv_4f_parseEncapsulatedToken__line239_288,major_full_catalog_try2,parseEncapsulatedToken,major_4,3200836aac76c29d58c574c31dce65498ea6a064c89cc9360c183cf579d06624,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_parseEncapsulatedToken__line239_288/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.csv.Lexer,parseEncapsulatedToken(org.apache.commons.csv.Token),246,9528,isEscape(c),true,4:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.csv.Lexer@parseEncapsulatedToken(org.apache.commons.csv.Token):246:9528:isEscape(c) |==> true
defects4j,Csv_4,csv_4f_parseEncapsulatedToken__line239_288,major_full_catalog_try2,parseEncapsulatedToken,major_5,37c62894a66b9ee38b1af50e628b222570575ca2af403c68d227ad7523838435,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_parseEncapsulatedToken__line239_288/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.apache.commons.csv.Lexer,parseEncapsulatedToken(org.apache.commons.csv.Token),247,9583,readEscape(),0,5:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.apache.commons.csv.Lexer@parseEncapsulatedToken(org.apache.commons.csv.Token):247:9583:readEscape() |==> 0
defects4j,Csv_4,csv_4f_parseEncapsulatedToken__line239_288,major_full_catalog_try2,parseEncapsulatedToken,major_6,657b10fde0b0c397921d4044643862a7e9b705e0693f7e567af732708d1b6e8a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_parseEncapsulatedToken__line239_288/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.csv.Lexer,parseEncapsulatedToken(org.apache.commons.csv.Token),253,9900,isQuoteChar(c),false,6:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.csv.Lexer@parseEncapsulatedToken(org.apache.commons.csv.Token):253:9900:isQuoteChar(c) |==> false
defects4j,Csv_4,csv_4f_parseEncapsulatedToken__line239_288,major_full_catalog_try2,parseEncapsulatedToken,major_7,b953a46a203acbe62a97e51e6b8ee8a03d6f226a23492117c33b021f5f4b9c43,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_parseEncapsulatedToken__line239_288/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.csv.Lexer,parseEncapsulatedToken(org.apache.commons.csv.Token),253,9900,isQuoteChar(c),true,7:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.csv.Lexer@parseEncapsulatedToken(org.apache.commons.csv.Token):253:9900:isQuoteChar(c) |==> true
defects4j,Csv_4,csv_4f_parseEncapsulatedToken__line239_288,major_full_catalog_try2,parseEncapsulatedToken,major_8,5dee7a4ff6e62b8f4a3d3c04d71a86dfeeb49ebab9133613bb28ef87f9b670c0,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_parseEncapsulatedToken__line239_288/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.csv.Lexer,parseEncapsulatedToken(org.apache.commons.csv.Token),254,9938,isQuoteChar(in.lookAhead()),false,8:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.csv.Lexer@parseEncapsulatedToken(org.apache.commons.csv.Token):254:9938:isQuoteChar(in.lookAhead()) |==> false
defects4j,Csv_4,csv_4f_parseEncapsulatedToken__line239_288,major_full_catalog_try2,parseEncapsulatedToken,major_9,5672227b1ac349df5e1638f89c14f4a0adb615fbf78eb0676bbc05bb794baddc,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_parseEncapsulatedToken__line239_288/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.csv.Lexer,parseEncapsulatedToken(org.apache.commons.csv.Token),254,9938,isQuoteChar(in.lookAhead()),true,9:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.csv.Lexer@parseEncapsulatedToken(org.apache.commons.csv.Token):254:9938:isQuoteChar(in.lookAhead()) |==> true
defects4j,Csv_4,csv_4f_parseEncapsulatedToken__line239_288,major_full_catalog_try2,parseEncapsulatedToken,major_10,10b398140205b2cc784b5c8aadda74942797214c0b5b2e7dba4fc9700de7c80f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_parseEncapsulatedToken__line239_288/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.apache.commons.csv.Lexer,parseEncapsulatedToken(org.apache.commons.csv.Token),256,10079,in.read(),0,10:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.apache.commons.csv.Lexer@parseEncapsulatedToken(org.apache.commons.csv.Token):256:10079:in.read() |==> 0
defects4j,Csv_4,csv_4f_parseEncapsulatedToken__line239_288,major_full_catalog_try2,parseEncapsulatedToken,major_11,7709d66834375b2d6463e9d102633aeb96008ed6653b91c711b7621f3ce2bc30,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_parseEncapsulatedToken__line239_288/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.apache.commons.csv.Lexer,parseEncapsulatedToken(org.apache.commons.csv.Token),261,10328,in.read(),0,11:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.apache.commons.csv.Lexer@parseEncapsulatedToken(org.apache.commons.csv.Token):261:10328:in.read() |==> 0
