dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Mockito_25,mockito_25f_returnValueFor__line70_108,major_full_catalog_try2,returnValueFor,major_1,8c2c46e948d9acb783b494ac50b9cb4021425548ab4464724294a7bd55518b7a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_25f_returnValueFor__line70_108/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,returnValueFor(java.lang.Class<?>),71,2546,Primitives.isPrimitiveOrWrapper(type),false,1:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues@returnValueFor(java.lang.Class<?>):71:2546:Primitives.isPrimitiveOrWrapper(type) |==> false
defects4j,Mockito_25,mockito_25f_returnValueFor__line70_108,major_full_catalog_try2,returnValueFor,major_2,ce48fe971fefd99a443c6e342d94b2bce9a859ed654e3a50288b93a248cb2ad7,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_25f_returnValueFor__line70_108/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,returnValueFor(java.lang.Class<?>),71,2546,Primitives.isPrimitiveOrWrapper(type),true,2:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues@returnValueFor(java.lang.Class<?>):71:2546:Primitives.isPrimitiveOrWrapper(type) |==> true
defects4j,Mockito_25,mockito_25f_returnValueFor__line70_108,major_full_catalog_try2,returnValueFor,major_3,10cf74bbf03160c25143c2a20a88a295952e70a2a873ed97e4d68af2225544b8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_25f_returnValueFor__line70_108/run.log,EVR,<METHOD_INVOCATION(capture#426 of ?)>:<DEFAULT>,org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,returnValueFor(java.lang.Class<?>),72,2619,Primitives.defaultValueForPrimitiveOrWrapper(type),null,3:EVR:<METHOD_INVOCATION(capture#426 of ?)>:<DEFAULT>:org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues@returnValueFor(java.lang.Class<?>):72:2619:Primitives.defaultValueForPrimitiveOrWrapper(type) |==> null
defects4j,Mockito_25,mockito_25f_returnValueFor__line70_108,major_full_catalog_try2,returnValueFor,major_4,8a1a075e6e7a854b78abef454891779d024baf82fc666c53d43077833fabe11a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_25f_returnValueFor__line70_108/run.log,EVR,<NEW_CLASS(java.util.LinkedList<java.lang.Object>)>:<DEFAULT>,org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,returnValueFor(java.lang.Class<?>),76,2864,new LinkedList<Object>(),null,4:EVR:<NEW_CLASS(java.util.LinkedList<java.lang.Object>)>:<DEFAULT>:org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues@returnValueFor(java.lang.Class<?>):76:2864:new LinkedList<Object>() |==> null
defects4j,Mockito_25,mockito_25f_returnValueFor__line70_108,major_full_catalog_try2,returnValueFor,major_5,7807a1705a2613aeef85517f3448f0e15a9102470b59125942d12ebba15ce572,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_25f_returnValueFor__line70_108/run.log,EVR,<NEW_CLASS(java.util.HashSet<java.lang.Object>)>:<DEFAULT>,org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,returnValueFor(java.lang.Class<?>),78,2949,new HashSet<Object>(),null,5:EVR:<NEW_CLASS(java.util.HashSet<java.lang.Object>)>:<DEFAULT>:org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues@returnValueFor(java.lang.Class<?>):78:2949:new HashSet<Object>() |==> null
defects4j,Mockito_25,mockito_25f_returnValueFor__line70_108,major_full_catalog_try2,returnValueFor,major_6,dc67de05535339f3a866f94766496d1c8d6a6c55a79c07cb4aec5be2c3fc19a7,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_25f_returnValueFor__line70_108/run.log,EVR,<NEW_CLASS(java.util.HashSet<java.lang.Object>)>:<DEFAULT>,org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,returnValueFor(java.lang.Class<?>),80,3035,new HashSet<Object>(),null,6:EVR:<NEW_CLASS(java.util.HashSet<java.lang.Object>)>:<DEFAULT>:org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues@returnValueFor(java.lang.Class<?>):80:3035:new HashSet<Object>() |==> null
defects4j,Mockito_25,mockito_25f_returnValueFor__line70_108,major_full_catalog_try2,returnValueFor,major_7,886a5196a5908c5e879675db5bf89f7fcaf4f60a66e8f8d4f34181ad3062db7d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_25f_returnValueFor__line70_108/run.log,EVR,<NEW_CLASS(java.util.TreeSet<java.lang.Object>)>:<DEFAULT>,org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,returnValueFor(java.lang.Class<?>),82,3123,new TreeSet<Object>(),null,7:EVR:<NEW_CLASS(java.util.TreeSet<java.lang.Object>)>:<DEFAULT>:org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues@returnValueFor(java.lang.Class<?>):82:3123:new TreeSet<Object>() |==> null
defects4j,Mockito_25,mockito_25f_returnValueFor__line70_108,major_full_catalog_try2,returnValueFor,major_8,7dd353b6876adda9993aca9e3e421fed60610ec30481e432941e6a40e1a9f684,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_25f_returnValueFor__line70_108/run.log,EVR,<NEW_CLASS(java.util.TreeSet<java.lang.Object>)>:<DEFAULT>,org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,returnValueFor(java.lang.Class<?>),84,3209,new TreeSet<Object>(),null,8:EVR:<NEW_CLASS(java.util.TreeSet<java.lang.Object>)>:<DEFAULT>:org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues@returnValueFor(java.lang.Class<?>):84:3209:new TreeSet<Object>() |==> null
defects4j,Mockito_25,mockito_25f_returnValueFor__line70_108,major_full_catalog_try2,returnValueFor,major_9,29acb594cfecdc2234a8361d0a8a77b9a9f8a9fc9024ad94c4d37320a7be93ad,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_25f_returnValueFor__line70_108/run.log,EVR,<NEW_CLASS(java.util.LinkedHashSet<java.lang.Object>)>:<DEFAULT>,org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,returnValueFor(java.lang.Class<?>),86,3301,new LinkedHashSet<Object>(),null,9:EVR:<NEW_CLASS(java.util.LinkedHashSet<java.lang.Object>)>:<DEFAULT>:org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues@returnValueFor(java.lang.Class<?>):86:3301:new LinkedHashSet<Object>() |==> null
defects4j,Mockito_25,mockito_25f_returnValueFor__line70_108,major_full_catalog_try2,returnValueFor,major_10,d545f7c0497746568ac10b39982997af37faffaff6645a24329762d34738999b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_25f_returnValueFor__line70_108/run.log,EVR,<NEW_CLASS(java.util.LinkedList<java.lang.Object>)>:<DEFAULT>,org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,returnValueFor(java.lang.Class<?>),88,3390,new LinkedList<Object>(),null,10:EVR:<NEW_CLASS(java.util.LinkedList<java.lang.Object>)>:<DEFAULT>:org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues@returnValueFor(java.lang.Class<?>):88:3390:new LinkedList<Object>() |==> null
defects4j,Mockito_25,mockito_25f_returnValueFor__line70_108,major_full_catalog_try2,returnValueFor,major_11,85b23aeaa72e0e04a5ad7b6d87060fc126891de84218a6ef20a66f24feec26f9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_25f_returnValueFor__line70_108/run.log,EVR,<NEW_CLASS(java.util.LinkedList<java.lang.Object>)>:<DEFAULT>,org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,returnValueFor(java.lang.Class<?>),90,3482,new LinkedList<Object>(),null,11:EVR:<NEW_CLASS(java.util.LinkedList<java.lang.Object>)>:<DEFAULT>:org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues@returnValueFor(java.lang.Class<?>):90:3482:new LinkedList<Object>() |==> null
