run_name,run_dir,created_at_utc,started_at_utc,completed_at_utc,run_mode,run_status,failure_reason,failure_message,dataset,subject_id,version,target_id,target_id_meta,batch_id,run_group_id,run_index_for_target,runs_per_target,function_name,file_path,start_line,end_line,language,experiment_name,mutant_source,model_name,model_provider,prompt_name,prompt_version,temperature,n_requested_mutants,n_accepted_mutants,n_rejected_mutants,acceptance_rate,rej_duplicate_mutant,rej_unchanged_mutant,rej_non_executable_change,rej_non_executable_structural_change,rej_precode_not_found,rej_ambiguous_precode_match,generation_mode,dataset_split,missing_target_tests_policy,target_test_coverage_status,eligible_test_count,target_tests_csv_path,parsed_mutants_integrity,loaded_mutant_count,recovered_mutant_count,missing_mutant_count,notes,requested_mutant_count,indexed_input_row_count,indexed_used_row_count,deduplicated,total_mutants,build_successes,executable_mutants,killed_mutants,survived_mutants,baseline_failures,build_success_rate,executable_yield,mutation_score,parse_failed,parse_error_message,rej_invalid_json_response,indexed_rejected_artifact_count,target_run_count,new_mutants_for_target_in_run,repeated_mutants_from_prior_runs,cumulative_unique_mutants_for_target
batch01__Chart_1__readResolve__chart_1f_readResolve_line213,harness/executions/java/llm/batch01/runs/batch01__Chart_1__readResolve__chart_1f_readResolve_line213,2026-04-18T11:49:23.183541+00:00,2026-06-18T03:59:58.156752+00:00,2026-06-18T04:00:03.003006+00:00,overwrite,failure,missing_target_tests_file,Target tests CSV not found: harness/datasets/coverage/catalogs/defects4j_240funcs_topbranch/target_tests.csv,defects4j,Chart_1,f,chart_1f_readResolve__line213_291,chart_1f_readResolve__line213_291,batch01,batch01__chart_1f_readResolve_line213,1,1,readResolve,source/org/jfree/chart/labels/ItemLabelAnchor.java,213,291,java,batch01__Chart_1__readResolve__chart_1f_readResolve_line213,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,8,6,2,0.75,0,0,0,2,0,0,batch_once,,report_and_skip,,,,ok,6,0,0,Target tests CSV not found: harness/datasets/coverage/catalogs/defects4j_240funcs_topbranch/target_tests.csv,0,,,,,,,,,,,,,False,,0,2,1,0,0,0
batch01__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,harness/executions/java/llm/batch01/runs/batch01__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,2026-04-18T11:49:41.682059+00:00,2026-06-18T04:00:03.090849+00:00,2026-06-18T04:00:07.884767+00:00,overwrite,failure,missing_target_tests_file,Target tests CSV not found: harness/datasets/coverage/catalogs/defects4j_240funcs_topbranch/target_tests.csv,defects4j,Chart_4,f,chart_4f_deriveRotationAnchorOffsets__line686_768,chart_4f_deriveRotationAnchorOffsets__line686_768,batch01,batch01__chart_4f_deriveRotationAnchorOffsets_line686,1,1,deriveRotationAnchorOffsets,source/org/jfree/chart/text/TextUtilities.java,686,768,java,batch01__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,8,8,0,1.0,0,0,0,0,0,0,batch_once,,report_and_skip,,,,ok,8,0,0,Target tests CSV not found: harness/datasets/coverage/catalogs/defects4j_240funcs_topbranch/target_tests.csv,0,,,,,,,,,,,,,False,,0,0,1,0,0,0
batch01__Chart_4__deriveTextBoundsAnchorOffsets__chart_4f_deriveTextBoundsAnchorOffsets_line599,harness/executions/java/llm/batch01/runs/batch01__Chart_4__deriveTextBoundsAnchorOffsets__chart_4f_deriveTextBoundsAnchorOffsets_line599,2026-04-18T11:50:01.021512+00:00,2026-06-18T04:00:07.967548+00:00,2026-06-18T04:00:12.765716+00:00,overwrite,failure,missing_target_tests_file,Target tests CSV not found: harness/datasets/coverage/catalogs/defects4j_240funcs_topbranch/target_tests.csv,defects4j,Chart_4,f,chart_4f_deriveTextBoundsAnchorOffsets__line599_673,chart_4f_deriveTextBoundsAnchorOffsets__line599_673,batch01,batch01__chart_4f_deriveTextBoundsAnchorOffsets_line599,1,1,deriveTextBoundsAnchorOffsets,source/org/jfree/chart/text/TextUtilities.java,599,673,java,batch01__Chart_4__deriveTextBoundsAnchorOffsets__chart_4f_deriveTextBoundsAnchorOffsets_line599,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,8,8,0,1.0,0,0,0,0,0,0,batch_once,,report_and_skip,,,,ok,8,0,0,Target tests CSV not found: harness/datasets/coverage/catalogs/defects4j_240funcs_topbranch/target_tests.csv,0,,,,,,,,,,,,,False,,0,0,1,0,0,0
batch01__Chart_6__calculateLabelAnchorPoint__chart_6f_calculateLabelAnchorPoint_line899,harness/executions/java/llm/batch01/runs/batch01__Chart_6__calculateLabelAnchorPoint__chart_6f_calculateLabelAnchorPoint_line899,2026-04-18T11:49:03.950626+00:00,2026-06-18T04:05:16.119893+00:00,2026-06-18T04:05:20.039433+00:00,overwrite,no_coverage,no_mapped_target_tests,No mapped target tests found in harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv for target chart_6f_calculateLabelAnchorPoint__line899_999,defects4j,Chart_6,f,chart_6f_calculateLabelAnchorPoint__line899_999,chart_6f_calculateLabelAnchorPoint__line899_999,batch01,batch01__chart_6f_calculateLabelAnchorPoint_line899,1,1,calculateLabelAnchorPoint,source/org/jfree/chart/renderer/category/BarRenderer.java,899,999,java,batch01__Chart_6__calculateLabelAnchorPoint__chart_6f_calculateLabelAnchorPoint_line899,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,8,8,0,1.0,0,0,0,0,0,0,batch_once,,report_and_skip,no_coverage,0,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,8,0,0,Target tests CSV not found: harness/datasets/coverage/catalogs/defects4j_240funcs_topbranch/target_tests.csv,8,,,,,,,,,,,,,False,,0,0,1,0,0,0
batch01__Collections_17__verbosePrintInternal__collections_17f_verbosePrintInternal_line954,harness/executions/java/llm/batch01/runs/batch01__Collections_17__verbosePrintInternal__collections_17f_verbosePrintInternal_line954,2026-04-18T12:04:22.775802+00:00,2026-04-18T12:04:06.697465+00:00,2026-04-18T12:04:22.775770+00:00,overwrite,no_valid_mutants,,,defects4j,Collections_17,f,collections_17f_verbosePrintInternal__line954_1020,collections_17f_verbosePrintInternal__line954_1020,batch01,batch01__collections_17f_verbosePrintInternal_line954,1,1,verbosePrintInternal,src/main/java/org/apache/commons/collections/MapUtils.java,954,1020,java,batch01__Collections_17__verbosePrintInternal__collections_17f_verbosePrintInternal_line954,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,8,0,8,0.0,0,0,0,4,0,0,batch_once,,,,,,,,,,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,0,,,,,,,,,,,,,False,,0,8,5,0,0,0
batch01__Collections_21__verbosePrintInternal__collections_21f_verbosePrintInternal_line966,harness/executions/java/llm/batch01/runs/batch01__Collections_21__verbosePrintInternal__collections_21f_verbosePrintInternal_line966,2026-04-18T12:04:39.679716+00:00,2026-04-18T12:04:23.041005+00:00,2026-04-18T12:04:39.816832+00:00,overwrite,failure,invalid_json_response,"Failed to parse extracted JSON object: Expecting ',' delimiter: line 42 column 30 (char 1893)",defects4j,Collections_21,f,collections_21f_verbosePrintInternal__line966_1028,collections_21f_verbosePrintInternal__line966_1028,batch01,batch01__collections_21f_verbosePrintInternal_line966,1,1,verbosePrintInternal,src/main/java/org/apache/commons/collections4/MapUtils.java,966,1028,java,batch01__Collections_21__verbosePrintInternal__collections_21f_verbosePrintInternal_line966,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,8,0,8,0.0,0,0,0,0,0,0,batch_once,,,,,,,,,,"Failed to parse extracted JSON object: Expecting ',' delimiter: line 42 column 30 (char 1893)",8,,,,,,,,,,,,,True,"Failed to parse extracted JSON object: Expecting ',' delimiter: line 42 column 30 (char 1893)",1,0,6,0,0,0
batch01__Gson_11__doPeek__gson_11f_doPeek_line461,harness/executions/java/llm/batch01/runs/batch01__Gson_11__doPeek__gson_11f_doPeek_line461,2026-04-18T12:12:52.591770+00:00,2026-04-18T12:12:39.689295+00:00,2026-04-18T12:12:52.591751+00:00,overwrite,no_valid_mutants,,,defects4j,Gson_11,f,gson_11f_doPeek__line461_515,gson_11f_doPeek__line461_515,batch01,batch01__gson_11f_doPeek_line461,1,1,doPeek,gson/src/main/java/com/google/gson/stream/JsonReader.java,461,515,java,batch01__Gson_11__doPeek__gson_11f_doPeek_line461,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,8,0,8,0.0,0,0,1,7,0,0,batch_once,,,,,,,,,,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,0,,,,,,,,,,,,,False,,0,8,6,0,0,0
batch01__Gson_11__skipValue__gson_11f_skipValue_line1219,harness/executions/java/llm/batch01/runs/batch01__Gson_11__skipValue__gson_11f_skipValue_line1219,2026-04-18T12:13:30.277985+00:00,2026-04-18T12:13:16.960389+00:00,2026-04-18T12:13:30.363896+00:00,overwrite,failure,invalid_json_response,Failed to parse extracted JSON object: Invalid \escape: line 36 column 71 (char 1409),defects4j,Gson_11,f,gson_11f_skipValue__line1219_1253,gson_11f_skipValue__line1219_1253,batch01,batch01__gson_11f_skipValue_line1219,1,1,skipValue,gson/src/main/java/com/google/gson/stream/JsonReader.java,1219,1253,java,batch01__Gson_11__skipValue__gson_11f_skipValue_line1219,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,8,0,8,0.0,0,0,0,0,0,0,batch_once,,,,,,,,,,Failed to parse extracted JSON object: Invalid \escape: line 36 column 71 (char 1409),8,,,,,,,,,,,,,True,Failed to parse extracted JSON object: Invalid \escape: line 36 column 71 (char 1409),1,0,5,0,0,0
batch01__JacksonCore_1__writeSimpleObject__jacksoncore_1f_writeSimpleObject_line465,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_1__writeSimpleObject__jacksoncore_1f_writeSimpleObject_line465,2026-04-18T12:15:57.086341+00:00,2026-04-18T12:15:44.259375+00:00,2026-04-18T12:15:57.086312+00:00,overwrite,no_valid_mutants,,,defects4j,JacksonCore_1,f,jacksoncore_1f__writeSimpleObject__line465_528,jacksoncore_1f__writeSimpleObject__line465_528,batch01,batch01__jacksoncore_1f_writeSimpleObject_line465,1,1,_writeSimpleObject,src/main/java/com/fasterxml/jackson/core/base/GeneratorBase.java,465,528,java,batch01__JacksonCore_1__writeSimpleObject__jacksoncore_1f_writeSimpleObject_line465,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,8,0,8,0.0,0,0,0,1,0,0,batch_once,,,,,,,,,,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,0,,,,,,,,,,,,,False,,0,8,3,0,0,0
batch01__JacksonCore_22__parseAposName__jacksoncore_22f_parseAposName_line2054,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_22__parseAposName__jacksoncore_22f_parseAposName_line2054,2026-04-18T12:15:14.396282+00:00,2026-04-18T12:14:56.951167+00:00,2026-04-18T12:15:14.486780+00:00,overwrite,failure,invalid_json_response,Failed to parse extracted JSON object: Invalid \escape: line 49 column 30 (char 2564),defects4j,JacksonCore_22,f,jacksoncore_22f__parseAposName__line2054_2153,jacksoncore_22f__parseAposName__line2054_2153,batch01,batch01__jacksoncore_22f_parseAposName_line2054,1,1,_parseAposName,src/main/java/com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java,2054,2153,java,batch01__JacksonCore_22__parseAposName__jacksoncore_22f_parseAposName_line2054,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,8,0,8,0.0,0,0,0,0,0,0,batch_once,,,,,,,,,,Failed to parse extracted JSON object: Invalid \escape: line 49 column 30 (char 2564),8,,,,,,,,,,,,,True,Failed to parse extracted JSON object: Invalid \escape: line 49 column 30 (char 2564),1,0,5,0,0,0
