Return valid JSON only. Do not include markdown fences. Do not include any text outside the JSON.

You are an expert in software mutation testing for C programs.

Below is a C function. Before generating mutants, reason briefly about
its behavior: identify the key computational properties and boundary
conditions that a test should verify.

Function:
  1: static int
  2: TIFFWriteDirectorySec(TIFF* tif, int isimage, int imagedone, uint64* pdiroff)
  3: {
  4: 	static const char module[] = "TIFFWriteDirectorySec";
  5: 	uint32 ndir;
  6: 	TIFFDirEntry* dir;
  7: 	uint32 dirsize;
  8: 	void* dirmem;
  9: 	uint32 m;
 10: 	if (tif->tif_mode == O_RDONLY)
 11: 		return (1);
 12: 	/*
 13: 	 * Clear write state so that subsequent images with
 14: 	 * different characteristics get the right buffers
 15: 	 * setup for them.
 16: 	 */
 17: 	if (imagedone)
 18: 	{
 19:                 tmsize_t orig_rawcc = tif->tif_rawcc;
 20: 
 21: 		if (tif->tif_flags & TIFF_POSTENCODE)
 22: 		{
 23: 			tif->tif_flags &= ~TIFF_POSTENCODE;
 24: 			if (!(*tif->tif_postencode)(tif))
 25: 			{
 26: 				TIFFErrorExt(tif->tif_clientdata,module,
 27: 				    "Error post-encoding before directory write");
 28: 				return (0);
 29: 			}
 30: 		}
 31: 		(*tif->tif_close)(tif);       /* shutdown encoder */
 32: 		/*
 33: 		 * Flush any data that might have been written
 34: 		 * by the compression close+cleanup routines.  But
 35:                  * be careful not to write stuff if we didn't add data
 36:                  * in the previous steps as the "rawcc" data may well be
 37:                  * a previously read tile/strip in mixed read/write mode.
 38: 		 */
 39: 		if (tif->tif_rawcc > 0 && tif->tif_rawcc != orig_rawcc
 40: 		    && (tif->tif_flags & TIFF_BEENWRITING) != 0
 41: 		    && !TIFFFlushData1(tif))
 42: 		{
 43: 			TIFFErrorExt(tif->tif_clientdata, module,
 44: 			    "Error flushing data before directory write");
 45: 			return (0);
 46: 		}
 47: 		if ((tif->tif_flags & TIFF_MYBUFFER) && tif->tif_rawdata)
 48: 		{
 49: 			_TIFFfree(tif->tif_rawdata);
 50: 			tif->tif_rawdata = NULL;
 51: 			tif->tif_rawcc = 0;
 52: 			tif->tif_rawdatasize = 0;
 53: 		}
 54: 		tif->tif_flags &= ~(TIFF_BEENWRITING|TIFF_BUFFERSETUP);
 55: 	}
 56: 	dir=NULL;
 57: 	dirmem=NULL;
 58: 	dirsize=0;
 59: 	while (1)
 60: 	{
 61: 		ndir=0;
 62: 		if (isimage)
 63: 		{
 64: 			if (TIFFFieldSet(tif,FIELD_IMAGEDIMENSIONS))
 65: 			{
 66: 				if (!TIFFWriteDirectoryTagShortLong(tif,&ndir,dir,TIFFTAG_IMAGEWIDTH,tif->tif_dir.td_imagewidth))
 67: 					goto bad;
 68: 				if (!TIFFWriteDirectoryTagShortLong(tif,&ndir,dir,TIFFTAG_IMAGELENGTH,tif->tif_dir.td_imagelength))
 69: 					goto bad;
 70: 			}
 71: 			if (TIFFFieldSet(tif,FIELD_TILEDIMENSIONS))
 72: 			{
 73: 				if (!TIFFWriteDirectoryTagShortLong(tif,&ndir,dir,TIFFTAG_TILEWIDTH,tif->tif_dir.td_tilewidth))
 74: 					goto bad;
 75: 				if (!TIFFWriteDirectoryTagShortLong(tif,&ndir,dir,TIFFTAG_TILELENGTH,tif->tif_dir.td_tilelength))
 76: 					goto bad;
 77: 			}
 78: 			if (TIFFFieldSet(tif,FIELD_RESOLUTION))
 79: 			{
 80: 				if (!TIFFWriteDirectoryTagRational(tif,&ndir,dir,TIFFTAG_XRESOLUTION,tif->tif_dir.td_xresolution))
 81: 					goto bad;
 82: 				if (!TIFFWriteDirectoryTagRational(tif,&ndir,dir,TIFFTAG_YRESOLUTION,tif->tif_dir.td_yresolution))
 83: 					goto bad;
 84: 			}
 85: 			if (TIFFFieldSet(tif,FIELD_POSITION))
 86: 			{
 87: 				if (!TIFFWriteDirectoryTagRational(tif,&ndir,dir,TIFFTAG_XPOSITION,tif->tif_dir.td_xposition))
 88: 					goto bad;
 89: 				if (!TIFFWriteDirectoryTagRational(tif,&ndir,dir,TIFFTAG_YPOSITION,tif->tif_dir.td_yposition))
 90: 					goto bad;
 91: 			}
 92: 			if (TIFFFieldSet(tif,FIELD_SUBFILETYPE))
 93: 			{
 94: 				if (!TIFFWriteDirectoryTagLong(tif,&ndir,dir,TIFFTAG_SUBFILETYPE,tif->tif_dir.td_subfiletype))
 95: 					goto bad;
 96: 			}
 97: 			if (TIFFFieldSet(tif,FIELD_BITSPERSAMPLE))
 98: 			{
 99: 				if (!TIFFWriteDirectoryTagShortPerSample(tif,&ndir,dir,TIFFTAG_BITSPERSAMPLE,tif->tif_dir.td_bitspersample))
100: 					goto bad;
101: 			}
102: 			if (TIFFFieldSet(tif,FIELD_COMPRESSION))
103: 			{
104: 				if (!TIFFWriteDirectoryTagShort(tif,&ndir,dir,TIFFTAG_COMPRESSION,tif->tif_dir.td_compression))
105: 					goto bad;
106: 			}
107: 			if (TIFFFieldSet(tif,FIELD_PHOTOMETRIC))
108: 			{
109: 				if (!TIFFWriteDirectoryTagShort(tif,&ndir,dir,TIFFTAG_PHOTOMETRIC,tif->tif_dir.td_photometric))
110: 					goto bad;
111: 			}
112: 			if (TIFFFieldSet(tif,FIELD_THRESHHOLDING))
113: 			{
