mutant_ids,group_size,excess_duplicates
['cxx_add_to_sub:/experiment/src/inflate.c:411:20'],1,0
['cxx_add_to_sub:/experiment/src/inflate.c:418:40'],1,0
['cxx_add_to_sub:/experiment/src/inflate.c:420:18'],1,0
['cxx_add_to_sub:/experiment/src/inflate.c:433:43'],1,0
['cxx_add_to_sub:/experiment/src/inflate.c:440:20'],1,0
['cxx_add_to_sub:/experiment/src/inflate.c:450:26'],1,0
['cxx_eq_to_ne:/experiment/src/inflate.c:336:12'],1,0
['cxx_eq_to_ne:/experiment/src/inflate.c:433:70'],1,0
['cxx_ge_to_gt:/experiment/src/inflate.c:459:13'],1,0
['cxx_ge_to_lt:/experiment/src/inflate.c:459:13'],1,0
['cxx_gt_to_ge:/experiment/src/inflate.c:363:19'],1,0
['cxx_gt_to_ge:/experiment/src/inflate.c:411:16'],1,0
['cxx_gt_to_ge:/experiment/src/inflate.c:417:25'],1,0
['cxx_gt_to_ge:/experiment/src/inflate.c:418:36'],1,0
['cxx_gt_to_le:/experiment/src/inflate.c:363:19'],1,0
['cxx_gt_to_le:/experiment/src/inflate.c:411:16'],1,0
['cxx_gt_to_le:/experiment/src/inflate.c:417:25'],1,0
['cxx_gt_to_le:/experiment/src/inflate.c:418:36'],1,0
['cxx_le_to_gt:/experiment/src/inflate.c:353:17'],1,0
['cxx_le_to_gt:/experiment/src/inflate.c:404:12'],1,0
['cxx_le_to_gt:/experiment/src/inflate.c:425:22'],1,0
['cxx_le_to_lt:/experiment/src/inflate.c:353:17'],1,0
['cxx_le_to_lt:/experiment/src/inflate.c:404:12'],1,0
['cxx_le_to_lt:/experiment/src/inflate.c:425:22'],1,0
['cxx_lt_to_ge:/experiment/src/inflate.c:357:19'],1,0
['cxx_lt_to_ge:/experiment/src/inflate.c:369:22'],1,0
['cxx_lt_to_ge:/experiment/src/inflate.c:370:21'],1,0
['cxx_lt_to_ge:/experiment/src/inflate.c:372:19'],1,0
['cxx_lt_to_ge:/experiment/src/inflate.c:390:16'],1,0
['cxx_lt_to_ge:/experiment/src/inflate.c:422:10'],1,0
['cxx_lt_to_ge:/experiment/src/inflate.c:423:17'],1,0
['cxx_lt_to_ge:/experiment/src/inflate.c:461:19'],1,0
['cxx_lt_to_ge:/experiment/src/inflate.c:463:24'],1,0
['cxx_lt_to_ge:/experiment/src/inflate.c:475:26'],1,0
['cxx_lt_to_le:/experiment/src/inflate.c:357:19'],1,0
['cxx_lt_to_le:/experiment/src/inflate.c:369:22'],1,0
['cxx_lt_to_le:/experiment/src/inflate.c:370:21'],1,0
['cxx_lt_to_le:/experiment/src/inflate.c:372:19'],1,0
['cxx_lt_to_le:/experiment/src/inflate.c:390:16'],1,0
['cxx_lt_to_le:/experiment/src/inflate.c:422:10'],1,0
['cxx_lt_to_le:/experiment/src/inflate.c:423:17'],1,0
['cxx_lt_to_le:/experiment/src/inflate.c:461:19'],1,0
['cxx_lt_to_le:/experiment/src/inflate.c:463:24'],1,0
['cxx_lt_to_le:/experiment/src/inflate.c:475:26'],1,0
['cxx_minus_to_noop:/experiment/src/inflate.c:398:7'],1,0
['cxx_mul_to_div:/experiment/src/inflate.c:433:47'],1,0
['cxx_ne_to_eq:/experiment/src/inflate.c:388:20'],1,0
['cxx_ne_to_eq:/experiment/src/inflate.c:484:35'],1,0
['cxx_ne_to_eq:/experiment/src/inflate.c:494:12'],1,0
['cxx_ne_to_eq:/experiment/src/inflate.c:494:22'],1,0
['cxx_post_inc_to_post_dec:/experiment/src/inflate.c:333:10'],1,0
['cxx_post_inc_to_post_dec:/experiment/src/inflate.c:353:27'],1,0
['cxx_post_inc_to_post_dec:/experiment/src/inflate.c:369:28'],1,0
['cxx_post_inc_to_post_dec:/experiment/src/inflate.c:389:13'],1,0
['cxx_post_inc_to_post_dec:/experiment/src/inflate.c:404:19'],1,0
['cxx_post_inc_to_post_dec:/experiment/src/inflate.c:413:10'],1,0
['cxx_pre_inc_to_pre_dec:/experiment/src/inflate.c:390:12'],1,0
['cxx_pre_inc_to_pre_dec:/experiment/src/inflate.c:423:13'],1,0
['cxx_sub_to_add:/experiment/src/inflate.c:417:20'],1,0
['cxx_sub_to_add:/experiment/src/inflate.c:418:30'],1,0
['cxx_sub_to_add:/experiment/src/inflate.c:452:23'],1,0
['cxx_sub_to_add:/experiment/src/inflate.c:453:14'],1,0
['cxx_sub_to_add:/experiment/src/inflate.c:458:21'],1,0
['cxx_sub_to_add:/experiment/src/inflate.c:469:25'],1,0
['cxx_sub_to_add:/experiment/src/inflate.c:470:24'],1,0
['cxx_sub_to_add:/experiment/src/inflate.c:474:19'],1,0
['cxx_sub_to_add:/experiment/src/inflate.c:479:24'],1,0
['cxx_sub_to_add:/experiment/src/inflate.c:484:29'],1,0
['cxx_lt_to_ge:/experiment/src/gzip.c:656:13'],1,0
['cxx_lt_to_ge:/experiment/src/gzip.c:674:13'],1,0
['cxx_lt_to_le:/experiment/src/gzip.c:656:13'],1,0
['cxx_lt_to_le:/experiment/src/gzip.c:674:13'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:640:40'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:668:45'],1,0
['cxx_sub_to_add:/experiment/src/gzip.c:683:28'],1,0
['cxx_sub_to_add:/experiment/src/gzip.c:683:39'],1,0
['cxx_add_to_sub:/experiment/src/gzip.c:1362:32'],1,0
['cxx_add_to_sub:/experiment/src/gzip.c:1376:27'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1278:38'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1279:45'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1356:16'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1375:14'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1379:46'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1379:60'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1380:46'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1390:45'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1394:44'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1399:44'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1412:17'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1418:15'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1421:37'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1423:17'],1,0
['cxx_ge_to_gt:/experiment/src/gzip.c:1357:13'],1,0
['cxx_ge_to_gt:/experiment/src/gzip.c:1410:16'],1,0
['cxx_ge_to_lt:/experiment/src/gzip.c:1357:13'],1,0
['cxx_ge_to_lt:/experiment/src/gzip.c:1410:16'],1,0
['cxx_gt_to_ge:/experiment/src/gzip.c:1346:53'],1,0
['cxx_gt_to_le:/experiment/src/gzip.c:1346:53'],1,0
['cxx_le_to_gt:/experiment/src/gzip.c:1304:16'],1,0
['cxx_le_to_gt:/experiment/src/gzip.c:1311:16'],1,0
['cxx_le_to_lt:/experiment/src/gzip.c:1304:16'],1,0
['cxx_le_to_lt:/experiment/src/gzip.c:1311:16'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1282:13'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1292:26'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1299:29'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1306:25'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1317:12'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1326:29'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1334:28'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1345:26'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1349:31'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1372:24'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1373:24'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1386:24'],1,0
['cxx_post_inc_to_post_dec:/experiment/src/gzip.c:1273:12'],1,0
['cxx_add_to_sub:/experiment/src/gzip.c:1353:46'],1,0
['cxx_add_to_sub:/experiment/src/gzip.c:1367:34'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1269:38'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1270:45'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1347:30'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1366:21'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1370:46'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1370:60'],1,0
