target_id,model_name,mutant_id,mutant_hash,n_tests_killed,is_dominator,is_indistinguishable
gzip_2009_08_16_huft_build__line292_495,mull,cxx_add_to_sub:/experiment/src/inflate.c:411:20,,1,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_add_to_sub:/experiment/src/inflate.c:418:40,,1,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_add_to_sub:/experiment/src/inflate.c:420:18,,0,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_add_to_sub:/experiment/src/inflate.c:433:43,,2,True,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_add_to_sub:/experiment/src/inflate.c:440:20,,0,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_add_to_sub:/experiment/src/inflate.c:450:26,,0,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_eq_to_ne:/experiment/src/inflate.c:336:12,,2,True,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_eq_to_ne:/experiment/src/inflate.c:433:70,,2,True,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_ge_to_gt:/experiment/src/inflate.c:459:13,,0,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_ge_to_lt:/experiment/src/inflate.c:459:13,,1,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_gt_to_ge:/experiment/src/inflate.c:363:19,,0,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_gt_to_ge:/experiment/src/inflate.c:411:16,,1,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_gt_to_ge:/experiment/src/inflate.c:417:25,,0,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_gt_to_ge:/experiment/src/inflate.c:418:36,,0,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_gt_to_le:/experiment/src/inflate.c:363:19,,1,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_gt_to_le:/experiment/src/inflate.c:411:16,,2,True,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_gt_to_le:/experiment/src/inflate.c:417:25,,0,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_gt_to_le:/experiment/src/inflate.c:418:36,,1,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_le_to_gt:/experiment/src/inflate.c:353:17,,0,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_le_to_gt:/experiment/src/inflate.c:404:12,,2,True,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_le_to_gt:/experiment/src/inflate.c:425:22,,1,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_le_to_lt:/experiment/src/inflate.c:353:17,,0,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_le_to_lt:/experiment/src/inflate.c:404:12,,2,True,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_le_to_lt:/experiment/src/inflate.c:425:22,,0,False,True
gzip_2009_08_16_huft_build__line292_495,mull,cxx_lt_to_ge:/experiment/src/inflate.c:357:19,,1,False,True
