dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Mockito_38,mockito_38f_matches__line18_42,major_full_catalog_try2,matches,major_1,c7a8e68c6246020eef25effa4a65a755a3fe6b2a548798f3a9f41a925c3a1531,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_38f_matches__line18_42/run.log,EVR,<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>,org.mockito.internal.matchers.ArrayEquals,matches(java.lang.Object),19,442,getWanted(),null,1:EVR:<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>:org.mockito.internal.matchers.ArrayEquals@matches(java.lang.Object):19:442:getWanted() |==> null
defects4j,Mockito_38,mockito_38f_matches__line18_42,major_full_catalog_try2,matches,major_2,5b2c2be031c77bcac817cf9430ccf0f792cc9ed097dae6e263fab4468fc23e5c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_38f_matches__line18_42/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.mockito.internal.matchers.ArrayEquals,matches(java.lang.Object),21,526,super.matches(actual),false,2:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.mockito.internal.matchers.ArrayEquals@matches(java.lang.Object):21:526:super.matches(actual) |==> false
defects4j,Mockito_38,mockito_38f_matches__line18_42,major_full_catalog_try2,matches,major_3,a11f71f032abaeba4b29c1c3205d0a400beb550fb441482990d0a42cff6181a9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_38f_matches__line18_42/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.mockito.internal.matchers.ArrayEquals,matches(java.lang.Object),23,649,"Arrays.equals((boolean[])wanted, (boolean[])actual)",false,"3:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.mockito.internal.matchers.ArrayEquals@matches(java.lang.Object):23:649:Arrays.equals((boolean[])wanted, (boolean[])actual) |==> false"
defects4j,Mockito_38,mockito_38f_matches__line18_42,major_full_catalog_try2,matches,major_4,71c3ec3a79e5cafdc0ae0d6c997b72f9d0e230ff4fd47e92b31a8f7f95b2705c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_38f_matches__line18_42/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.mockito.internal.matchers.ArrayEquals,matches(java.lang.Object),25,798,"Arrays.equals((byte[])wanted, (byte[])actual)",false,"4:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.mockito.internal.matchers.ArrayEquals@matches(java.lang.Object):25:798:Arrays.equals((byte[])wanted, (byte[])actual) |==> false"
defects4j,Mockito_38,mockito_38f_matches__line18_42,major_full_catalog_try2,matches,major_5,307ff1a2a729880f81073d5d7c4a011219bfb48cb1bf21f95bc22354c3510fde,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_38f_matches__line18_42/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.mockito.internal.matchers.ArrayEquals,matches(java.lang.Object),27,941,"Arrays.equals((char[])wanted, (char[])actual)",false,"5:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.mockito.internal.matchers.ArrayEquals@matches(java.lang.Object):27:941:Arrays.equals((char[])wanted, (char[])actual) |==> false"
defects4j,Mockito_38,mockito_38f_matches__line18_42,major_full_catalog_try2,matches,major_6,1e57985e6f523f96cd525730bf2a7289b7ab3c183d541efb17dd1bf57f133631,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_38f_matches__line18_42/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.mockito.internal.matchers.ArrayEquals,matches(java.lang.Object),29,1088,"Arrays.equals((double[])wanted, (double[])actual)",false,"6:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.mockito.internal.matchers.ArrayEquals@matches(java.lang.Object):29:1088:Arrays.equals((double[])wanted, (double[])actual) |==> false"
defects4j,Mockito_38,mockito_38f_matches__line18_42,major_full_catalog_try2,matches,major_7,86630706dcbce195709aec80bef03be86502782b731fa30af30915c620e0f4a1,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_38f_matches__line18_42/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.mockito.internal.matchers.ArrayEquals,matches(java.lang.Object),31,1237,"Arrays.equals((float[])wanted, (float[])actual)",false,"7:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.mockito.internal.matchers.ArrayEquals@matches(java.lang.Object):31:1237:Arrays.equals((float[])wanted, (float[])actual) |==> false"
defects4j,Mockito_38,mockito_38f_matches__line18_42,major_full_catalog_try2,matches,major_8,0780f4e53ed06d1861715b7626ece9fb41b0197ab03bdf3fb44592d86e404b73,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_38f_matches__line18_42/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.mockito.internal.matchers.ArrayEquals,matches(java.lang.Object),33,1380,"Arrays.equals((int[])wanted, (int[])actual)",false,"8:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.mockito.internal.matchers.ArrayEquals@matches(java.lang.Object):33:1380:Arrays.equals((int[])wanted, (int[])actual) |==> false"
defects4j,Mockito_38,mockito_38f_matches__line18_42,major_full_catalog_try2,matches,major_9,a10994a3d7f93b15887df9b74d887225b847ee249bf364f49890bc0464da5822,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_38f_matches__line18_42/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.mockito.internal.matchers.ArrayEquals,matches(java.lang.Object),35,1521,"Arrays.equals((long[])wanted, (long[])actual)",false,"9:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.mockito.internal.matchers.ArrayEquals@matches(java.lang.Object):35:1521:Arrays.equals((long[])wanted, (long[])actual) |==> false"
defects4j,Mockito_38,mockito_38f_matches__line18_42,major_full_catalog_try2,matches,major_10,1920db6adb1794f7d2a8b03e04c20be60e52f3289434f9625604388b60e284a2,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_38f_matches__line18_42/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.mockito.internal.matchers.ArrayEquals,matches(java.lang.Object),37,1666,"Arrays.equals((short[])wanted, (short[])actual)",false,"10:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.mockito.internal.matchers.ArrayEquals@matches(java.lang.Object):37:1666:Arrays.equals((short[])wanted, (short[])actual) |==> false"
defects4j,Mockito_38,mockito_38f_matches__line18_42,major_full_catalog_try2,matches,major_11,4f93ebc39641ea73dc3ef1a87e66effba4cd1acb2615bc424f389a9947405239,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_38f_matches__line18_42/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.mockito.internal.matchers.ArrayEquals,matches(java.lang.Object),39,1815,"Arrays.equals((Object[])wanted, (Object[])actual)",false,"11:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.mockito.internal.matchers.ArrayEquals@matches(java.lang.Object):39:1815:Arrays.equals((Object[])wanted, (Object[])actual) |==> false"
