target_id,subject,version,function_name,major_target_dir,run_name,config_path,exported_mutant_java_files,status,return_code,run_dir,execution_summary_json
chart_1f_readResolve__line213_291,Chart_1,f,readResolve,/home/francisco/mt-harness/harness/executions/java/major/major_with_exports/targets/chart_1f_readResolve__line213_291,major_exec__major_with_exports_exec_v1__chart_1f_readResolve__line213_291,/home/francisco/mt-harness/harness/executions/java/major/execution/major_with_exports_exec_v1/configs/chart_1f_readResolve__line213_291.json,76,ok,0,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__chart_1f_readResolve__line213_291,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__chart_1f_readResolve__line213_291/execution/summary.json
closure_106f_precedence__line605_680,Closure_106,f,precedence,/home/francisco/mt-harness/harness/executions/java/major/major_with_exports/targets/closure_106f_precedence__line605_680,major_exec__major_with_exports_exec_v1__closure_106f_precedence__line605_680,/home/francisco/mt-harness/harness/executions/java/major/execution/major_with_exports_exec_v1/configs/closure_106f_precedence__line605_680.json,33,ok,0,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__closure_106f_precedence__line605_680,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__closure_106f_precedence__line605_680/execution/summary.json
codec_9f_read__line76_117,Codec_9,f,read,/home/francisco/mt-harness/harness/executions/java/major/major_with_exports/targets/codec_9f_read__line76_117,major_exec__major_with_exports_exec_v1__codec_9f_read__line76_117,/home/francisco/mt-harness/harness/executions/java/major/execution/major_with_exports_exec_v1/configs/codec_9f_read__line76_117.json,29,ok,0,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__codec_9f_read__line76_117,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__codec_9f_read__line76_117/execution/summary.json
codec_17f_transcodeRemaining__line118_167,Codec_17,f,transcodeRemaining,/home/francisco/mt-harness/harness/executions/java/major/major_with_exports/targets/codec_17f_transcodeRemaining__line118_167,major_exec__major_with_exports_exec_v1__codec_17f_transcodeRemaining__line118_167,/home/francisco/mt-harness/harness/executions/java/major/execution/major_with_exports_exec_v1/configs/codec_17f_transcodeRemaining__line118_167.json,14,ok,0,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__codec_17f_transcodeRemaining__line118_167,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__codec_17f_transcodeRemaining__line118_167/execution/summary.json
collections_17f_put__line254_330,Collections_17,f,put,/home/francisco/mt-harness/harness/executions/java/major/major_with_exports/targets/collections_17f_put__line254_330,major_exec__major_with_exports_exec_v1__collections_17f_put__line254_330,/home/francisco/mt-harness/harness/executions/java/major/execution/major_with_exports_exec_v1/configs/collections_17f_put__line254_330.json,34,ok,0,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__collections_17f_put__line254_330,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__collections_17f_put__line254_330/execution/summary.json
collections_21f_put__line290_366,Collections_21,f,put,/home/francisco/mt-harness/harness/executions/java/major/major_with_exports/targets/collections_21f_put__line290_366,major_exec__major_with_exports_exec_v1__collections_21f_put__line290_366,/home/francisco/mt-harness/harness/executions/java/major/execution/major_with_exports_exec_v1/configs/collections_21f_put__line290_366.json,34,ok,0,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__collections_21f_put__line290_366,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__collections_21f_put__line290_366/execution/summary.json
compress_7f_paxHeaders__line233_302,Compress_7,f,paxHeaders,/home/francisco/mt-harness/harness/executions/java/major/major_with_exports/targets/compress_7f_paxHeaders__line233_302,major_exec__major_with_exports_exec_v1__compress_7f_paxHeaders__line233_302,/home/francisco/mt-harness/harness/executions/java/major/execution/major_with_exports_exec_v1/configs/compress_7f_paxHeaders__line233_302.json,49,failed,1,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__compress_7f_paxHeaders__line233_302,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__compress_7f_paxHeaders__line233_302/execution/summary.json
compress_1f_generateMTFValues__line1542_1638,Compress_1,f,generateMTFValues,/home/francisco/mt-harness/harness/executions/java/major/major_with_exports/targets/compress_1f_generateMTFValues__line1542_1638,major_exec__major_with_exports_exec_v1__compress_1f_generateMTFValues__line1542_1638,/home/francisco/mt-harness/harness/executions/java/major/execution/major_with_exports_exec_v1/configs/compress_1f_generateMTFValues__line1542_1638.json,56,ok,0,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__compress_1f_generateMTFValues__line1542_1638,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__compress_1f_generateMTFValues__line1542_1638/execution/summary.json
compress_10f_read__line212_291,Compress_10,f,read,/home/francisco/mt-harness/harness/executions/java/major/major_with_exports/targets/compress_10f_read__line212_291,major_exec__major_with_exports_exec_v1__compress_10f_read__line212_291,/home/francisco/mt-harness/harness/executions/java/major/execution/major_with_exports_exec_v1/configs/compress_10f_read__line212_291.json,47,ok,0,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__compress_10f_read__line212_291,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__compress_10f_read__line212_291/execution/summary.json
compress_7f_recvDecodingTables__line416_495,Compress_7,f,recvDecodingTables,/home/francisco/mt-harness/harness/executions/java/major/major_with_exports/targets/compress_7f_recvDecodingTables__line416_495,major_exec__major_with_exports_exec_v1__compress_7f_recvDecodingTables__line416_495,/home/francisco/mt-harness/harness/executions/java/major/execution/major_with_exports_exec_v1/configs/compress_7f_recvDecodingTables__line416_495.json,79,ok,0,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__compress_7f_recvDecodingTables__line416_495,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__compress_7f_recvDecodingTables__line416_495/execution/summary.json
