target_id,subject,function,status,generated_mutants,has_pipeline_error,zero_mutant_reason,error_category,error_detail,log_file,target_dir,project,current_assessment,recommended_action,priority,rerun_candidate
chart_6f_calculateLabelAnchorPoint__line899_999,Chart_6,calculateLabelAnchorPoint,ok,0,False,major_generated_zero_mutants,,,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_6f_calculateLabelAnchorPoint__line899_999/run.log,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_6f_calculateLabelAnchorPoint__line899_999,Chart,no_pipeline_error,keep_as_zero_mutants,low,False
chart_4f_deriveRotationAnchorOffsets__line686_768,Chart_4,deriveRotationAnchorOffsets,ok,0,False,major_generated_zero_mutants,,,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_4f_deriveRotationAnchorOffsets__line686_768/run.log,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_4f_deriveRotationAnchorOffsets__line686_768,Chart,no_pipeline_error,keep_as_zero_mutants,low,False
chart_4f_deriveTextBoundsAnchorOffsets__line599_673,Chart_4,deriveTextBoundsAnchorOffsets,ok,0,False,major_generated_zero_mutants,,,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_4f_deriveTextBoundsAnchorOffsets__line599_673/run.log,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_4f_deriveTextBoundsAnchorOffsets__line599_673,Chart,no_pipeline_error,keep_as_zero_mutants,low,False
chart_1f_clipLine__line62_141,Chart_1,clipLine,ok,0,False,major_generated_zero_mutants,,,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_1f_clipLine__line62_141/run.log,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_1f_clipLine__line62_141,Chart,no_pipeline_error,keep_as_zero_mutants,low,False
chart_6f_equals__line1488_1582,Chart_6,equals,ok,0,False,major_generated_zero_mutants,,,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_6f_equals__line1488_1582/run.log,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_6f_equals__line1488_1582,Chart,no_pipeline_error,keep_as_zero_mutants,low,False
chart_1f_updatePlotProperties__line524_612,Chart_1,updatePlotProperties,ok,0,False,major_generated_zero_mutants,,,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_1f_updatePlotProperties__line524_612/run.log,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_1f_updatePlotProperties__line524_612,Chart,no_pipeline_error,keep_as_zero_mutants,low,False
chart_20f_addSWTListener__line1460_1488,Chart_20,addSWTListener,ok,0,False,major_generated_zero_mutants,,,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_20f_addSWTListener__line1460_1488/run.log,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_20f_addSWTListener__line1460_1488,Chart,no_pipeline_error,keep_as_zero_mutants,low,False
chart_20f_widgetSelected__line1386_1433,Chart_20,widgetSelected,ok,0,False,major_generated_zero_mutants,,,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_20f_widgetSelected__line1386_1433/run.log,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_20f_widgetSelected__line1386_1433,Chart,no_pipeline_error,keep_as_zero_mutants,low,False
chart_25f_actionPerformed__line1315_1371,Chart_25,actionPerformed,ok,0,False,major_generated_zero_mutants,,,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_25f_actionPerformed__line1315_1371/run.log,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_25f_actionPerformed__line1315_1371,Chart,no_pipeline_error,keep_as_zero_mutants,low,False
chart_26f_drawAxisLine__line517_606,Chart_26,drawAxisLine,ok,0,False,major_generated_zero_mutants,,,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_26f_drawAxisLine__line517_606/run.log,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target/targets/chart_26f_drawAxisLine__line517_606,Chart,no_pipeline_error,keep_as_zero_mutants,low,False
