dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_1,b5441bfa5a8f0b1b95b3408cfdc4e7e35a04e1b4d3f23e711390d7e1be8e4a9e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,0:POS,org.apache.commons.lang3.Conversion,binaryToHexDigitMsb0_4bits(boolean[]),383,13175,0,1,1:LVR:0:POS:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[]):383:13175:0 |==> 1
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_2,8cefe292a5b9e1156b3fd670e1f7f90396878279aaa50fa6e9683cd0b8998458,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,0:NEG,org.apache.commons.lang3.Conversion,binaryToHexDigitMsb0_4bits(boolean[]),383,13175,0,-1,2:LVR:0:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[]):383:13175:0 |==> -1
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_3,d8c3106529d2b36c0e86fa6075539e8ddab47632345c4ceff5121a11a0640a88,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",404,13978,8,0,"3:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):404:13978:8 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_4,cb942a2033d6bd4c8dc93a4e0fcc71e897faa287ac6ec9d6c24f11d9fe700b51,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",404,13978,8,-8,"4:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):404:13978:8 |==> -8"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_5,89a842b2a346b9401a4f31d6bd9fa9c1fb9d3b5f034bb13e152d9d0b3960a9c1,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",405,14030,"""src.length>8: src.length=""","""""","5:LVR:<CLASS>:<EMPTY>:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):405:14030:""src.length>8: src.length="" |==> """""
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_6,34e319e07087259b5f6b183a7f8cd99c5c5cbd59222143b77e59a305b404b776,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",407,14117,4,0,"6:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):407:14117:4 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_7,b95c3f3e22fec354f9f6a6640514e2b1322c54382397e261e3c86c78e640026f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",407,14117,4,-4,"7:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):407:14117:4 |==> -4"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_8,9a6d942645744b10905f14e8e1ff944ada1cafd087783895edaa457a6d5e0e51,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",408,14169,"""src.length-srcPos<4: src.length=""","""""","8:LVR:<CLASS>:<EMPTY>:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):408:14169:""src.length-srcPos<4: src.length="" |==> """""
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_9,d16e6d1d70e86e652540742b1cf59a7c1fea600b0893ee4af9573edb4b08e8d8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",410,14251,""", srcPos=""","""""","9:LVR:<CLASS>:<EMPTY>:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):410:14251:"", srcPos="" |==> """""
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_10,3b02863df76b66700ff4224463d27fc060ff11f285dd9179f9a4730c5bc524ad,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",413,14325,3,0,"10:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):413:14325:3 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_11,cd977b7dc6eaabcff2de645b44b11c92e89e809a5978ded52426a81aa5d30514,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",413,14325,3,-3,"11:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):413:14325:3 |==> -3"
