dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_1,5dbabf42aac99ed17bfc1e6021f9fe057766a78445130805cc7a6c1e47b8e7ec,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,NEG:0,org.apache.commons.math.util.FastMath,"scalb(double,int)",3039,90868,-1023,0,"1:LVR:NEG:0:org.apache.commons.math.util.FastMath@scalb(double,int):3039:90868:-1023 |==> 0"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_2,6590321bfa237ae915492901e2eee1acaf88a624385cee219f970c0d48d3d8ed,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,NEG:POS,org.apache.commons.math.util.FastMath,"scalb(double,int)",3039,90868,-1023,1023,"2:LVR:NEG:POS:org.apache.commons.math.util.FastMath@scalb(double,int):3039:90868:-1023 |==> 1023"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_3,8e3b9a2e1e0ac96dbb22d9ae43ec81bf6ad87216669edd453c7878a7cea34fab,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,POS:0,org.apache.commons.math.util.FastMath,"scalb(double,int)",3039,90883,1024,0,"3:LVR:POS:0:org.apache.commons.math.util.FastMath@scalb(double,int):3039:90883:1024 |==> 0"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_4,769a9d2ca55858b9b30e49174dd13103267727aec109458f43f69fa1ecb24502,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,POS:NEG,org.apache.commons.math.util.FastMath,"scalb(double,int)",3039,90883,1024,-1024,"4:LVR:POS:NEG:org.apache.commons.math.util.FastMath@scalb(double,int):3039:90883:1024 |==> -1024"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_5,6c23729b7fde947393f762d0094f471ec57de66bd4ffd6b97a6e50849b4e8f9a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,POS:0,org.apache.commons.math.util.FastMath,"scalb(double,int)",3040,90952,1023,0,"5:LVR:POS:0:org.apache.commons.math.util.FastMath@scalb(double,int):3040:90952:1023 |==> 0"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_6,7438252a9520b0c25dd416e94c90743c5eac1be7399b277fc506a9f1b2e3e24a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,POS:NEG,org.apache.commons.math.util.FastMath,"scalb(double,int)",3040,90952,1023,-1023,"6:LVR:POS:NEG:org.apache.commons.math.util.FastMath@scalb(double,int):3040:90952:1023 |==> -1023"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_7,ad55764fdf53fcdead0a9a9174d74fcfe9f6510c7b37c1470463c42a76a53a14,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,POS:0,org.apache.commons.math.util.FastMath,"scalb(double,int)",3040,90962,52,0,"7:LVR:POS:0:org.apache.commons.math.util.FastMath@scalb(double,int):3040:90962:52 |==> 0"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_8,77238747293b8057efb70e64c0afeed56c02e90b81706104888270e50cb5a1bc,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,POS:NEG,org.apache.commons.math.util.FastMath,"scalb(double,int)",3040,90962,52,-52,"8:LVR:POS:NEG:org.apache.commons.math.util.FastMath@scalb(double,int):3040:90962:52 |==> -52"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_9,db22e673689af6a6e7fb90ae97dbda83c6d7173980b2d4837a7fe71dd5c09b5b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,0:POS,org.apache.commons.math.util.FastMath,"scalb(double,int)",3044,91071,0,1,"9:LVR:0:POS:org.apache.commons.math.util.FastMath@scalb(double,int):3044:91071:0 |==> 1"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_10,bf5b4d63a2df659dc46b5fe5fb1140562ef335dd060c25459cd63b346ff1ca9f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,0:NEG,org.apache.commons.math.util.FastMath,"scalb(double,int)",3044,91071,0,-1,"10:LVR:0:NEG:org.apache.commons.math.util.FastMath@scalb(double,int):3044:91071:0 |==> -1"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_11,05a50927015e26838f4a4fb09ac046c0867b1285c19f56d4588f1ce60e6eefd3,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,EVR,<IDENTIFIER(double)>:<DEFAULT>,org.apache.commons.math.util.FastMath,"scalb(double,int)",3045,91096,d,0.0,"11:EVR:<IDENTIFIER(double)>:<DEFAULT>:org.apache.commons.math.util.FastMath@scalb(double,int):3045:91096:d |==> 0.0"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_12,364ba6670d0dc6beb2a22d45df36430342b2b7b5feeb39e29e85aa76943b8737,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,NEG:0,org.apache.commons.math.util.FastMath,"scalb(double,int)",3047,91125,-2098,0,"12:LVR:NEG:0:org.apache.commons.math.util.FastMath@scalb(double,int):3047:91125:-2098 |==> 0"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_13,d9bc0441fbf6975e2d1a97374656135dbc3a7f5cea4dacb476ce87dbfeffb48a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,NEG:POS,org.apache.commons.math.util.FastMath,"scalb(double,int)",3047,91125,-2098,2098,"13:LVR:NEG:POS:org.apache.commons.math.util.FastMath@scalb(double,int):3047:91125:-2098 |==> 2098"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_14,bb2ccab521b28ab0922223db88439e271572eb8c8170f8851ba5c101cbcabe1b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,0:POS,org.apache.commons.math.util.FastMath,"scalb(double,int)",3048,91158,0,1,"14:LVR:0:POS:org.apache.commons.math.util.FastMath@scalb(double,int):3048:91158:0 |==> 1"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_15,54cef88854e5ed0814a56c7427fb2349470026d2ff51c77134e2ba55639df0a2,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,0:NEG,org.apache.commons.math.util.FastMath,"scalb(double,int)",3048,91158,0,-1,"15:LVR:0:NEG:org.apache.commons.math.util.FastMath@scalb(double,int):3048:91158:0 |==> -1"
defects4j,Math_45,math_45f_scalb__line3036_3112,major_all_supported_local_full_rerun_final,scalb,major_16,e6044d6a5d830bfa6da7d3e88b10cdfb2e28c1f31dc08ecdb7d1e43ee396370e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_45f_scalb__line3036_3112/run.log,LVR,0:POS,org.apache.commons.math.util.FastMath,"scalb(double,int)",3048,91163,0.0,1.0,"16:LVR:0:POS:org.apache.commons.math.util.FastMath@scalb(double,int):3048:91163:0.0 |==> 1.0"
